501-1000,text,Label
40654,"More than 41.10 Cr vaccine doses provided to States/UTs.

More than 2.51 Cr doses still available with States/UTs and private hospitals to be administered.

Uttar Pradesh Becomes First State in India to administer more than 4 Crore #CovidVaccine 

@myogiadityanath
@myogioffice https://t.co/nFDaKTx1I5",0
86184,"Get your Vaccine Passport...t shirt
#vaccination #vaccinepasport #CovidVaccine 
#Covid_19 #COVIDVaccination #VaccineDiscrimination
https://t.co/zaINeWh6no",0
90930,"Great news.. UK medicine regulator MHRA finally approves Oxford-AstraZeneca #covid19 vaccine..
#oxfordvaccine #Covid19UK #CovidVaccine",0
41868,"If there is one thing EU citizens deserve after COVID, it is justice, especially after complete failure of its poli… https://t.co/oW0CYykGrL",0
89253,The sad truth of an African child.  #COVID19 #CovidVaccine #COVIDSecondWave https://t.co/hV98gCBTbD,0
51122,"Great show of support for mask mandates! Way to be safe guys!!#OmicronVariant 
#maskup 
#CovidVaccine https://t.co/lgTwAOHdyL",0
89575,"‘Getting vaccinated means protecting myself against the virus so that I can be there to help my friends, family and… https://t.co/Mrj2DwT85p",0
17838,"Are you vulnerable or clinically extremely vulnerable as an SCI person? Know the difference, tell your GP and get t… https://t.co/cbzniFgkaE",0
57992,"Doesn't it stand to reason the guy who invented the PCR test knows it best?

#COVID19 #CovidVaccine #coronavirus https://t.co/IVc8Q30CSj",0
45864,"In other news, PLEASE GET VACCINATED. 29yo female, against vaccination, no risk factors, just died of covid at my hospital. Absolutely heartbreaking that a disease that is preventable is causing so much destruction. #GetVaccinatedNow #VaccinesWork #VaccinationCovid #CovidVaccine",0
99573,Queen and Prince Philip get vaccinated against COVID-19 | CBC News https://t.co/6KrcbI7vzL #UK #COVIDUK #COVID19UK… https://t.co/5tGbxL0BeD,0
44558,Done and dusted 😊💉 thank you #CovidVaccine #nhs https://t.co/wxRQs0uJI8,0
7600,"I got the #CovidVaccine to protect all my patients, and people in our community.  (@DrStager) https://t.co/okm63RtUk9",0
75674,Hey @CDC_eHealth For public health safety concerns Anything @FoxNews Air's including @CarlsonTonight &amp; any guests spreading false #CovidVaccine information should have a Warning label before &amp; after  ALL content! (This is for entertainment purposes Only) https://t.co/6BWObYI0iW,0
77202,"On Thursday, during a #COVID19 update, @GovPritzker announced all Illinoisans ages 16+ outside of Chicago will be e… https://t.co/IW56A0Zrmy",0
58717,One of the coolest videos on the #CovidVaccine that we’ve seen 🧬🔬🧪 https://t.co/IZ1ZbzM4hV,0
60089,How come people who refuse the #CovidVaccine and don't believe #CovidIsReal don't refuse treatment for #Covid? #PandemicOfTheUnvaccinated #VaccinesWork #antivaxx,0
68177,@humayunhussain @UKLabour @Tibou33969029 @nigib1 @AndyStill11 @islamicpash @MsCCollins1 @PalBint @Marshall_H15… https://t.co/dfMQtNdHHD,0
11340,Got my COVID booster shot. I’m fine. #CovidVaccine https://t.co/JUAoM4dQaV,0
97409,"For USA tester reviewer.
#Trump #CapitalHill #thursdaymorning #America #Capitol #whiteprivilege #thursdayvibes… https://t.co/heEOocseTe",0
78396,"Musical Stars Come Out – Until the Rain - for ‘We Love NYC Homecoming Concert’ in Central Park
-Here’s a Photo Replay
https://t.co/6LQRXNPLTc #WeLoveNYC #WeLoveNYCConcert #NYCHomecomingWeek .@nycmayor .@nycmayorsoffice .@clivejdavis .@livenation#COVID19 #GetCOVIDvax #COVIDvaccine",0
