"","X","misinformation"
"1",40527,"False"
"2",5141,"False"
"3",2970,"True"
"4",98651,"False"
"5",52445,"False"
"6",40425,"False"
"7",78133,"True"
"8",99770,"False"
"9",1525,"False"
"10",89272,"False"
"11",61442,"False"
"12",12235,"False"
"13",90151,"False"
"14",47825,"False"
"15",19105,"False"
"16",2294,"False"
"17",59285,"False"
"18",84909,"False"
"19",74520,"False"
"20",35059,"False"
"21",97138,"True"
"22",28544,"False"
"23",23520,"True"
"24",64118,"False"
"25",64269,"False"
"26",23662,"False"
"27",28700,"False"
"28",37233,"True"
"29",38087,"False"
"30",36121,"False"
"31",15296,"False"
"32",62949,"False"
"33",24572,"False"
"34",3164,"False"
"35",6368,"False"
"36",77415,"False"
"37",53069,"False"
"38",41456,"True"
"39",18770,"True"
"40",67309,"False"
"41",31577,"False"
"42",95783,"True"
"43",65674,"False"
"44",20169,"False"
"45",8608,"True"
"46",11885,"True"
"47",26046,"False"
"48",32978,"False"
"49",1527,"False"
"50",58535,"False"
"51",6464,"False"
"52",27245,"False"
"53",29420,"False"
"54",52347,"False"
"55",35006,"False"
"56",47844,"False"
"57",88978,"False"
"58",86038,"False"
"59",37343,"False"
"60",27389,"False"
"61",76611,"False"
"62",81750,"False"
"63",53960,"False"
"64",25060,"False"
"65",16739,"False"
"66",23551,"False"
"67",9140,"False"
"68",39999,"False"
"69",71540,"False"
"70",66363,"True"
"71",78110,"False"
"72",15146,"False"
"73",59488,"False"
"74",18409,"False"
"75",57943,"False"
"76",56932,"False"
"77",17394,"True"
"78",81567,NA
"79",84239,"True"
"80",28591,"True"
"81",95976,"False"
"82",71049,"True"
"83",99745,"False"
"84",6779,"False"
"85",15443,"False"
"86",81368,"False"
"87",47481,"False"
"88",94386,"False"
"89",93158,"True"
"90",47953,"False"
"91",60114,"False"
"92",674,"False"
"93",97599,"False"
"94",32266,"False"
"95",93847,"False"
"96",76864,"True"
"97",81733,"False"
"98",54584,"False"
"99",82519,"False"
"100",57705,"False"
"101",16869,"True"
"102",29790,"False"
"103",42614,"False"
"104",62830,"False"
"105",40605,"False"
"106",26367,"False"
"107",65455,"False"
"108",13761,"False"
"109",71858,"False"
"110",32410,"True"
"111",75854,"False"
"112",38265,"False"
"113",24837,"False"
"114",14527,"False"
"115",86062,"False"
"116",79605,"False"
"117",86585,"False"
"118",40595,"False"
"119",45292,"False"
"120",35148,"False"
"121",81720,"False"
"122",65338,"False"
"123",25261,"False"
"124",97088,"False"
"125",62074,"False"
"126",72752,"False"
"127",17468,"False"
"128",71195,"False"
"129",80857,"False"
"130",62426,"False"
"131",27159,"False"
"132",97886,"False"
"133",75890,"True"
"134",27687,"False"
"135",4473,"False"
"136",96806,"False"
"137",7345,"False"
"138",64709,"False"
"139",4373,"True"
"140",5701,"False"
"141",14758,"False"
"142",67241,"True"
"143",84177,"True"
"144",93556,"False"
"145",69420,"False"
"146",41657,"True"
"147",77177,"False"
"148",3862,"False"
"149",57094,"False"
"150",70339,"False"
"151",18352,"False"
"152",82004,"False"
"153",11213,"False"
"154",62621,"False"
"155",64423,"False"
"156",32819,"False"
"157",36401,"False"
"158",61991,"False"
"159",76798,"False"
"160",72274,"False"
"161",92740,"False"
"162",86718,"False"
"163",38230,"False"
"164",42036,"False"
"165",76146,"True"
"166",58909,"False"
"167",26363,"False"
"168",97534,"False"
"169",83571,"False"
"170",44720,"False"
"171",10261,"True"
"172",93851,"False"
"173",41281,"False"
"174",99950,"False"
"175",94105,"False"
"176",24603,"False"
"177",75459,"False"
"178",24155,"False"
"179",88670,"False"
"180",69669,"False"
"181",20364,"True"
"182",76847,"False"
"183",96762,"False"
"184",981,"False"
"185",84941,"False"
"186",9899,"True"
"187",50974,"False"
"188",1296,"False"
"189",66236,"False"
"190",28900,"False"
"191",19547,"False"
"192",80806,"False"
"193",37494,"True"
"194",9672,"False"
"195",87787,"False"
"196",59982,"False"
"197",35680,"True"
"198",72184,"True"
"199",31951,"False"
"200",82523,"False"
"201",30691,"False"
"202",21896,"False"
"203",84420,"False"
"204",7883,"False"
"205",97047,"True"
"206",8192,"False"
"207",24906,"False"
"208",83785,"False"
"209",51321,"False"
"210",58178,"False"
"211",27752,"False"
"212",66777,"False"
"213",89613,"False"
"214",85866,"False"
"215",95445,"False"
"216",61177,"False"
"217",76541,"False"
"218",16564,"False"
"219",98751,"False"
"220",1757,"False"
"221",61713,"False"
"222",60371,"False"
"223",25337,"False"
"224",50436,"True"
"225",55334,"True"
"226",39934,"False"
"227",25126,"True"
"228",3821,"True"
"229",75155,"False"
"230",95153,"False"
"231",49126,"False"
"232",99184,"False"
"233",6424,"False"
"234",17011,"False"
"235",84892,"False"
"236",82144,"False"
"237",19246,"False"
"238",7956,"False"
"239",89333,"False"
"240",69454,"False"
"241",99114,"False"
"242",13360,"False"
"243",65354,"False"
"244",94554,"False"
"245",265,"False"
"246",66918,"False"
"247",14594,"False"
"248",96112,"False"
"249",14386,"False"
"250",17756,"False"
"251",4127,"False"
