"X","misinformation","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
1773,2.9963365132311e-09,"Los Angeles, CA","ICU physician & researcher at UCLA, research interests includes EOL care, futile treatment, ethics; UCLA 3 Wishes Program Director, Tweets/opinions are my own.",894,749,3775,"False",2020-04-11,"Day after a busy &amp; sad #ICU week, I'm with @doc_in_a_box &amp; ready to enroll in #CovidVaccine trial—only to learn tha… https://t.co/FzPBmUEV6z","['ICU', 'CovidVaccine']",-0.0666666666666667,0.6,0.6,1,"Day after a busy amp sad ICU week Im with docinabox amp ready to enroll in CovidVaccine trialonly to learn tha ","['icu', 'covidvaccine']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3394,0.0535608987903286,"United States","Twitter account of Vaccinate Your Family (former twitter handle was @ShotofPrev). We discuss #vaccines for people of all ages.",8551,2205,2100,"False",2020-04-11,"Q&amp;A: How to address COVID-19 vaccine hesitancy in primary care https://t.co/gBZZiiDnWr via @GoHealio @DrPaulOffit… https://t.co/lBJWQrmC9d","[]",0.4,0.5,0,0,"QampA How to address COVID19 vaccine hesitancy in primary care  via GoHealio DrPaulOffit ","['qampa', 'covid19', 'gohealio']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4258,0.00942440998683018,"Virginia","I'm pro-science. I'm pro-government transparency & corporate accountability. I am pro-informed consent. I'm anti-ideology & pro knowledge development process.",3026,2211,26320,"False",2020-04-11,"Think arguments here in U.S. aren't being marshalled as well? Poor Carrie Buck. Her forced sterilization was made p… https://t.co/RGjQbf1UFB","[]",-0.35,0.4,0,0,"Think arguments here in US arent being marshalled as well Poor Carrie Buck Her forced sterilization was made p ","['us', 'poor carrie buck her']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5274,0.0538651915005548,"Fort Lauderdale & Miami,FL USA","Caricature Artist at Events in South Florida, Miami to West Palm Beach. Travel Consultant - International Greeting Card Illustrator",2975,2594,13853,"False",2020-04-09,"#Propaganda #AnotherLie by #CorruptPolitians #NotProven #NotTrue #VotethemOut #Liars State says it’s preparing for… https://t.co/539WOEEeVv","['Propaganda', 'AnotherLie', 'CorruptPolitians', 'NotProven', 'NotTrue', 'VotethemOut', 'Liars']",-0.1,0.1,0,0,"Propaganda AnotherLie by CorruptPolitians NotProven NotTrue VotethemOut Liars State says its preparing for ","['corruptpolitians', 'notproven', 'liars state']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6059,0.0125233638834697,"Tennessee","Retired Fire Captain/Paramedic I'm a fighter for Truth, Justice, and Equality for all and putting two spaces after a period!",309,890,37665,"False",2020-04-09,"Rushing a Vaccine into product during an Election year?  It’s happened before with disastrous consequences!… https://t.co/zWsHWDhi9X","[]",-0.7,0.8,0,0,"Rushing a Vaccine into product during an Election year  Its happened before with disastrous consequences ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6492,0.0601922378859949,"London","Science Correspondent Sky News. BAFTA winner. Award winning documentary maker. Leading Sky’s environment coverage & @SkyOceanRescue campaign Thomas.moore@sky.uk",6223,331,556,"True",2020-04-11,"#CovidVaccine: likely medical regulators will not allow a #COVID #vaccine to be given at the same time as the flu j… https://t.co/g3Y9dnknTG","['CovidVaccine', 'COVID', 'vaccine']",0,0.375,0.25,0.375,"CovidVaccine likely medical regulators will not allow a COVID vaccine to be given at the same time as the flu j ","['covidvaccine', 'covid']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9474,0.0533019149021971,"Sacramento, CA","California grown, Seattle educated. Progressive criminal justice professional, fervent social justice advocate.",53,334,511,"False",2020-04-09,"I'm sorry, you're telling me THIS WASN'T PART OF THE PLAN FROM THE START?!?!?! I don't know why I'm surprised, room… https://t.co/rkVQJqczg9","[]",-0.43828125,0.95,-0.0888888888888889,0.238888888888889,"Im sorry youre telling me THIS WASNT PART OF THE PLAN FROM THE START I dont know why Im surprised room ","['the', 'plan', 'im']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10976,0.0475951356564775,"Australia","Passionate about entrepreneurial women, functional medicine, politics & emotional intelligence. Publisher https://t.co/evip9GBoTD and https://t.co/NtuKfaa3gb",44,66,192,"False",2020-04-11,"Am I missing something here. PM announced that we are producing Astra Zeneca vaccines for CoVid next week. No appro… https://t.co/HNT8viTDd7","[]",-0.1,0.025,-0.025,0.75,"Am I missing something here PM announced that we are producing Astra Zeneca vaccines for CoVid next week No appro ","['pm', 'astra zeneca', 'covid']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15307,0.0943293941193492,"","A key influencer on Twitter. A little left & a lot more right. A proud Nationalist who despises Globalists/Communists🔹",3283,1941,48626,"False",2020-04-11,"#GreatAwakeningWorldWide  #Death in #CovidVaccine Study – No Safety Concerns? https://t.co/b0AMnFyENt","['GreatAwakeningWorldWide', 'Death', 'CovidVaccine']",0,0,0.233035714285714,0.589285714285714,"GreatAwakeningWorldWide  Death in CovidVaccine Study  No Safety Concerns ","['greatawakeningworldwide death', 'covidvaccine study no safety concerns']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15614,0.107946550934705,"Southern Pines, NC","We make fresh made to order #açaí bowls #pitaya bowls and #exotic #SuperFruits / recovery smoothies. Military Spouse owned and operated.",18,9,160,"False",2020-04-11,"Who wants an #Immunity #Boost ? 
     Come and Get it @BBowlful ! 

#BerriBowlful #CovidVaccine # https://t.co/b2a1NRHsdg","['Immunity', 'Boost', 'BerriBowlful', 'CovidVaccine']",0.25,0.1,0.233333333333333,0.533333333333333,"Who wants an Immunity Boost  
     Come and Get it BBowlful  

BerriBowlful CovidVaccine  ","['immunity boost come', 'bbowlful']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
