"X","misinformation","dominant_topic","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media","year","month","day","day_of_week"
53,0.185780165478779,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",38,0,0,"False",2022-04-13,"45+ # BBMP # Bengaluru # Availability 13/04 11:30AM FREE Slots 0 PAID Slots 0","['BBMP', 'Bengaluru', 'CovidVaccine']",0.4,0.8,0.133333333333333,0.266666666666667,"45  BBMP  Bengaluru  Availability 1304 1130AM FREE Slots 0 PAID Slots 0","['bbmp bengaluru', 'free', 'paid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4,13,"Wed"
77,0.197671119861391,"Clinic Updates and Information","iOS • Android","Hayti ( `` '' HAY-tie '' '' ) # blackowned app highlighting Black culture Black publishers . 1st app feature 200+ Black publishers Android iOS . # blacktech",1034,1128,123,"False",2022-04-14,"Need Second Booster Shot ?  # # # boostershot # # blackhealth","['covid19', 'vaccine', 'boostershot', 'covidvaccine', 'blackhealth']",0,0,-0.166666666666667,0.433333333333333,"Need Second Booster Shot      boostershot   blackhealth","['need']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4,14,"Thu"
311,0.228911758616975,"Case/Vaccination Statistics","Mohali, India","Official Twitter account PTC NEWS , leading Punjabi News channel , source news related Punjab Punjabiyat worldwide .",49500,6,212,"True",2022-04-16,"# India reported 975 new # cases last 24 hours daily case positivity rate 0.32 percent . # MinistryofHealthandFamilyWelfare # COVID19cases # Coronavirusupdate # # covidtest # IndiaCovidupdate # healthministry ","['India', 'Covid19', 'MinistryofHealthandFamilyWelfare', 'COVID19cases', 'Coronavirusupdate', 'covidvaccine', 'covidtest', 'IndiaCovidupdate', 'healthministry']",0.0454545454545454,0.173737373737374,0,0.4," India reported 975 new  cases last 24 hours daily case positivity rate 032 percent   MinistryofHealthandFamilyWelfare  COVID19cases  Coronavirusupdate   covidtest  IndiaCovidupdate  healthministry ","['india', 'ministryofhealthandfamilywelfare', 'indiacovidupdate']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4,16,"Sat"
377,0.210516255434241,"Gratitude and Optimism","USA","Benjamin Franklin , Philadelphia Federal Convention 1787 : “ republic keep it. ” America precipice .",1462,1101,93569,"False",2022-04-11,"@ HalfwayPost @ blamellors # love potion turn gay every time .","['CovidVaccine']",0.458333333333333,0.591666666666667,0,0," HalfwayPost  blamellors  love potion turn gay every time ","['halfwaypost']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4,11,"Mon"
381,0.182283214345667,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",38,0,0,"False",2022-04-10,"18-44 # BBMP # Bengaluru # Availability 10/04 12:00PM FREE Slots # COVISHIELD - Dose1:1110 , Dose2:2 # COVAXIN - Dose1:5 , Dose2:2 PAID Slots # COVISHIELD - Dose1:2076 , Dose2:116 # COVAXIN - Dose1:19 , Dose2:20 # SPUTNIKV - Dose1:0 , Dose2:1000","['BBMP', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN', 'COVISHIELD', 'COVAXIN', 'SPUTNIKV']",0.4,0.8,0.133333333333333,0.266666666666667,"1844  BBMP  Bengaluru  Availability 1004 1200PM FREE Slots  COVISHIELD  Dose11110  Dose22  COVAXIN  Dose15  Dose22 PAID Slots  COVISHIELD  Dose12076  Dose2116  COVAXIN  Dose119  Dose220  SPUTNIKV  Dose10  Dose21000","['bbmp bengaluru', 'free slots', 'covishield dose11110 dose22', 'dose15 dose22', 'slots covishield dose12076 dose2116', 'covaxin dose119 dose220', 'dose10 dose21000']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4,10,"Sun"
390,0.196580975544852,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",38,0,0,"False",2022-04-22,"18-44 # BBMP # Bengaluru # Availability 22/04 08:00AM FREE Slots # COVISHIELD - Dose1:1115 , Dose2:17 # COVAXIN - Dose1:8 , Dose2:17 PAID Slots # COVISHIELD - Dose1:2242 , Dose2:5 # SPUTNIKV - Dose1:10 , Dose2:1000","['BBMP', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN', 'COVISHIELD', 'SPUTNIKV']",0.4,0.8,0.133333333333333,0.266666666666667,"1844  BBMP  Bengaluru  Availability 2204 0800AM FREE Slots  COVISHIELD  Dose11115  Dose217  COVAXIN  Dose18  Dose217 PAID Slots  COVISHIELD  Dose12242  Dose25  SPUTNIKV  Dose110  Dose21000","['bbmp bengaluru', 'free slots', 'covishield dose11115 dose217', 'dose18 dose217', 'slots covishield dose12242 dose25', 'dose110 dose21000']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4,22,"Fri"
464,0.174688548264386,"Mask","Melbourne Australia","General Medical Practitioner , husband , father brother , son ! Advocate accessible health healthcare . Equity , justice , fair go !",7811,3276,19342,"False",2022-04-18,"Without vaccinations , would estimated 66 million additional infections nearly $ 900 billion associated health care costs  @ commonwealthfund # CovidIsNotOver # #","['CovidIsNotOver', 'covid19', 'CovidVaccine']",0.1,0.4,0.325,0.44375,"Without vaccinations  would estimated 66 million additional infections nearly  900 billion associated health care costs   commonwealthfund  CovidIsNotOver  ","['covidisnotover']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4,18,"Mon"
495,0.263119715054435,"COVID-19 in India","New Delhi, India","Official twitter handle UNI - India 's premier multilingual news agency",4713,0,192,"False",2022-04-27,"@ narendramodi 's matter pride every Indian 96 % adult population India administered first dose # : PM # CovidReviewMeet @ narendramodi ","['CovidVaccine', 'CovidReviewMeet']",0.175,0.316666666666667,0,0," narendramodi s matter pride every Indian 96  adult population India administered first dose   PM  CovidReviewMeet  narendramodi ","['india']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4,27,"Wed"
24354,0.208632351638964,"Vaccination Experiences","Las Vegas","Experience designer , plant-based foodie , student life .",14,93,79,"False",2022-04-21,"Finally starting feeling human # # VaccinesWork #","['covid', 'VaccinesWork', 'CovidVaccine']",0,0.1,0,0,"Finally starting feeling human   VaccinesWork ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4,21,"Thu"
29267,0.238169187112683,"Government Response","South Florida, USA","Contradictions : wallow nostalgia & explore cutting edge Believe : Form always follow Function",83,12,3502,"False",2022-04-26,"# Wordle311 4/6* @ NYTGames another # Wordle another 4⃣😀 ⬛🟨⬛🟨🟩 🏹 & gt ; ! 🙃🤔 ⬛🟩⬛🟨🟩 🤔🎰⚙️ ⬛🟩🟩⬛🟩 😞 & gt ; 🪙 🟩🟩🟩🟩🟩 🙂not SPLENDID b 🪙 😔😧🥴now ? 🇺🇦 # UkraineWar # CovidVaccine💉 # RamadanMubarak # NationalPoetryMonth # antiwordle @ reeddlegame # squardle","['Wordle311', 'Wordle', 'UkraineWar', 'CovidVaccine', 'RamadanMubarak', 'NationalPoetryMonth', 'antiwordle', 'squardle']",0.8333333,1,-0.6,0.9," Wordle311 46  NYTGames another  Wordle another 4    gt         gt    not SPLENDID b  now    UkraineWar  CovidVaccine  RamadanMubarak  NationalPoetryMonth  antiwordle  reeddlegame  squardle","['splendid', 'ukrainewar']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4,26,"Tue"
