"X","misinformation","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
41557,0.0521749343597728,"Melbourne, Victoria, Australia","KeepLeft, Despise LNP/IPA, Melb Dees 
 Asylum Seekers ARE legal",1566,2326,50338,"False",2020-08-19,".@nickcoatsworth1
Using us as guinea pigs.  Will Morrison etc get the jab?  Trials are held over years to see if th… https://t.co/pOdcO6JyoI","[]",0,0,0.2,0.2,"nickcoatsworth1
Using us as guinea pigs  Will Morrison etc get the jab  Trials are held over years to see if th ","['will morrison']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69274,0.0221452590606389,"","A news junkie, was a journalist. Views personal. Opinions, Following, RTs don't imply endorsements. #Space #Science #Technology #Politics #Literature",849,1207,2473,"False",2020-08-31,"#CovidVaccine in #India by the end of the year? #Covaxin 

""""Coronavirus vaccine Covaxin found safe and side-effect… https://t.co/52I9JIiErv","['CovidVaccine', 'India', 'Covaxin']",0.5,0.5,0,0.2,"CovidVaccine in India by the end of the year Covaxin 

Coronavirus vaccine Covaxin found safe and sideeffect ","['covidvaccine', 'india', 'covaxin coronavirus', 'covaxin']",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
78752,9.17879488962525e-10,"India and USA, 5 years Old","India's #1 Digital News website with 500+ English & Hindi Newspapers, and 100+ Menus, & keep adding. Try our Free Apps. Dynamic Team. #IndiaNews",3344,3084,876,"False",2020-08-21,"Russia looking for partnership with India for producing #COVIDvaccine #SputnikV, says official… https://t.co/J4R1KJpkJ1","['COVIDvaccine', 'SputnikV']",0,0,0.1,0.241666666666667,"Russia looking for partnership with India for producing COVIDvaccine SputnikV says official ","['russia', 'india', 'covidvaccine']",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.0292371890225747,"Henderson, NV","Order of Consecrated Virgins of the Catholic Church 🌟STL✝️ NSC📚🧠🔬Future MD-PhD👩🏻‍⚕️ Thinker| Hablo español 🇲🇽",174,699,3151,"False",2020-08-19,"1/n I’m especially concerned &amp; very upset that Latin America will be receiving an ethically controversial… https://t.co/f9XyoOMI9o","[]",0.133333333333333,0.633333333333333,0.1,0.35,"1n Im especially concerned amp very upset that Latin America will be receiving an ethically controversial ","['latin america']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.0566632200022503,"Washington, DC || Los Angeles","Epidemiologist 💊🧬 . Bibliophile📚 🤓 . Philocalist 🌷⛲️. Tweets are overreactions, mostly.",7326,214,9332,"False",2020-08-13,"Don’t trust the Americans, don’t trust the Russians, don’t trust the Chinese, don’t trust the Indians....... Kaun bacha ? 😃 #CovidVaccine","['CovidVaccine']",0,0,0.5,0.5,"Dont trust the Americans dont trust the Russians dont trust the Chinese dont trust the Indians Kaun bacha   CovidVaccine","['dont', 'russians', 'chinese', 'indians kaun', 'covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0.0509841181848696,"India","#WION: World Is One | Welcome to India’s first global news network. We present global stories with an Indian perspective. | https://t.co/V3tpBavoXE",253678,91,7566,"True",2020-08-27,"Russia's deputy Prime Minister Tatiana Golikova on Wednesday said that the country is preparing to approve a second… https://t.co/YAf0xehpgZ","[]",0,0,0.21,0.246666666666667,"Russias deputy Prime Minister Tatiana Golikova on Wednesday said that the country is preparing to approve a second ","['russias', 'tatiana golikova']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0.164925921246179,"United States","CUPP-Coalition United Pagans Party! Voters promoting political issues important to Pagans #TheResistance #ClimateCrisis #Animals #Science #Equality",570,2805,37543,"False",2020-08-09,"I will not receive any #COVIDVaccine until #DrFauci does 😉 #TrumpVirusDeathToll193K
#Biden2020 #VoteBlue","['COVIDVaccine', 'DrFauci', 'TrumpVirusDeathToll193K', 'Biden2020', 'VoteBlue']",0,0,0.2,0.55,"I will not receive any COVIDVaccine until DrFauci does  TrumpVirusDeathToll193K
Biden2020 VoteBlue","['drfauci', 'trumpvirusdeathtoll193k biden2020']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
301,0.0485751925214816,"New Delhi, India","#Amitchaturvedi #Single #Engineer by profession,Spiritual by nature,Fighter by attitude,Political by interest,Hindu by birth😎",1041,179,7610,"False",2020-08-20,"When Covid-19 vaccine is ready 

Everybody: 👇👇😂😂 https://t.co/w7nSO8PdIy #CoronaVaccine #vaccines #vaccinoCovid #CovidVaccine","['CoronaVaccine', 'vaccines', 'vaccinoCovid', 'CovidVaccine']",0.2,0.5,-0.0714285714285714,0.214285714285714,"When Covid19 vaccine is ready 

Everybody   CoronaVaccine vaccines vaccinoCovid CovidVaccine","['covid19']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,0.00784684945111839,"Shanghai","Archaeologist | PhD Researcher (Geochemistry) | SOA-MoE Marine Scholar | Research Associate @UPEACEHRC | @UNESCO Fellow 2018-19 |INFJ |Love 🐕🦈🦖☠️",1081,2649,15077,"False",2020-08-17,"#China inactivated vaccine (#Sinopharm) seems a safe candidate that generates immune response. Here latest article,… https://t.co/InfMTgBrRK","['China', 'Sinopharm']",0.5,0.7,0.5,0.6,"China inactivated vaccine Sinopharm seems a safe candidate that generates immune response Here latest article ","['china', 'sinopharm']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,2.9415758118985e-08,"Mumbai, India","Meloncholy Man!",3,97,35,"False",2020-08-20,"Many #hospitals haven't used #PPEs for #Covid_19!

@PMOIndia @narendramodi @AmitShah @AmitShahOffice @amitabhk87… https://t.co/zAtqxO5etH","['hospitals', 'PPEs', 'Covid_19']",0.625,0.5,0,0,"Many hospitals havent used PPEs for Covid19

PMOIndia narendramodi AmitShah AmitShahOffice amitabhk87 ","['ppes', 'covid19 pmoindia', 'amitshah']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,0.0668209088419267,"Hyderabad, India","",16,64,49,"False",2020-08-13,"Urgently required Plasma donor with B+ve blood group for https://t.co/iwE2elQp7S. Rakesh admitted in Sigma Hospital… https://t.co/xdzeg865xF","[]",0,0,0,0,"Urgently required Plasma donor with Bve blood group for  Rakesh admitted in Sigma Hospital ","['plasma', 'bve', 'rakesh', 'sigma', 'hospital']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,1.00519051375739e-08,"USA","We're a coalition of community groups taking on Big Pharma's price gouging. Because our lives and our health are not for sale.",397,968,769,"False",2020-08-19,"Drug corps like #Moderna are trying to make us pay twice for a #COVIDvaccine - first through our tax dollars grante… https://t.co/2reurS1Cmz","['Moderna', 'COVIDvaccine']",0.25,0.333333333333333,0,0.1,"Drug corps like Moderna are trying to make us pay twice for a COVIDvaccine  first through our tax dollars grante ","['drug', 'moderna', 'covidvaccine']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,0.018269583720255,"Melbourne, Victoria","Head & Neck Surgeon, Mother, Teacher, Entrepreneur, Researcher and more! Opinions are my own.",1536,2211,21578,"False",2020-08-09,"@SDHamiltonVIC @StuartKells @unimelb @latrobe #water in #murraydarlingbasin is as important to Australia's future a… https://t.co/MgWiILUb7l","['water', 'murraydarlingbasin']",0.2,0.5625,0.6125,0.75,"SDHamiltonVIC StuartKells unimelb latrobe water in murraydarlingbasin is as important to Australias future a ","['sdhamiltonvic', 'stuartkells', 'australias']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,1.59959263898219e-08,"Orange, New South Wales","Former diplomat and political commentator   

haigh.bruce@bigpond.com",6994,1264,91319,"False",2020-08-19,"#auspol #covidvaccine #motormouthmorrison is selling snake oil. There is no Covid vaccine. How much money has chang… https://t.co/3bHwz58tBE","['auspol', 'covidvaccine', 'motormouthmorrison']",0.2,0.2,0,0.05,"auspol covidvaccine motormouthmorrison is selling snake oil There is no Covid vaccine How much money has chang ","['how']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,0.0207303973829845,"Earth","Those who don't know me think I'm shy, those who do wish I were ;)",519,101,10928,"False",2020-08-31,"Was curious whatz happening on the #COVIDー19 #vaccine scene &amp; found this #NYTimes #Coronavirus vaccine tracker pret… https://t.co/LImpNi3T1h","['COVIDー19', 'vaccine', 'NYTimes', 'Coronavirus']",-0.1,1,-0.125,0.75,"Was curious whatz happening on the COVID19 vaccine scene amp found this NYTimes Coronavirus vaccine tracker pret ","['was', 'covid19', 'nytimes coronavirus']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,0.0508507883392216,"","",177,479,9398,"False",2020-08-30,"Will you take the #CovidVaccine ? 

#coronavirus 
#COVID19 
#COVIDー19","['CovidVaccine', 'coronavirus', 'COVID19', 'COVIDー19']",0,0,0,0,"Will you take the CovidVaccine  

coronavirus 
COVID19 
COVID19","['covidvaccine', 'covid19']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1239,0.0121841408216037,"","Blue-collar intellectual elitist who needs a bit of a trim.",3,8,16,"False",2020-08-15,"I only have one word for those willing to take the inadequately tested #CovidVaccine from Russia: Thalidomide","['CovidVaccine']",0.125,0.875,0.3,0.4,"I only have one word for those willing to take the inadequately tested CovidVaccine from Russia Thalidomide","['russia']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
