"X","misinformation","dominant_topic","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media","year","month","day","day_of_week"
246,0.217012557468221,"Vaccination Experiences","San Rafael, CA","Post-truth pre-fascism .",79,293,8583,"False",2022-09-08,"Third booster ( new bi-valent ) arm yesterday . Thankful # believe fewer fewer people get given side effects . Hoping next generation like flu shot .","['CovidVaccine']",0.0454545454545454,0.151515151515152,0,0,"Third booster  new bivalent  arm yesterday  Thankful  believe fewer fewer people get given side effects  Hoping next generation like flu shot ","['third']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,8,"Thu"
431,0.181699413612746,"Education","Anchorage, AK","Mom , wife , grandma , police dispatcher , Patriot . love family , baseball country every cell body .",358,817,14735,"False",2022-09-07,"bank accounts important @ lives people love . # VaccineDeaths # # vaccinetruth ","['VaccineDeaths', 'CovidVaccine', 'vaccinetruth']",0.45,0.8,0.5,0.6,"bank accounts important  lives people love   VaccineDeaths   vaccinetruth ","['vaccinedeaths']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,7,"Wed"
27245,0.207685478998675,"Case/Vaccination Statistics","","Daily UK numbers . Data …",74,1,0,"False",2022-08-14,"📈 UK Stats 1st January 1️⃣ Total 1st received : 0 ( 0.00 % population ) +0 since last Tweet 2️⃣ Total 2nd received : 0 ( 0.00 % population ) +0 since last Tweet # COVID_19 #","['COVID_19', 'CovidVaccine']",0,0.3266667,0,0," UK Stats 1st January 1 Total 1st received  0  000  population  0 since last Tweet 2 Total 2nd received  0  000  population  0 since last Tweet  COVID19 ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,14,"Sun"
55334,0.183919985962846,"US government","Q'onoS","US Navy Veteran🇺🇸 , love country 🇺🇲 RUSH Fan , piano player STAND 🇳🇱 FARMERS KAZARIAN MAFIA 🇺🇦 🚫PLEASE DMs 🚫",769,751,1794,"False",2022-08-12,"comply . n't either . Listen woman 's doctor . # CovidIsNotOver # Covid_19 # # DoNotComply ITALIAN DOCTOR - & ; apos ; & ; apos ; PEOPLE DIE LIKE FLIES & ; apos ; & ; apos ; ","['CovidIsNotOver', 'Covid_19', 'CovidVaccine', 'DoNotComply']",0,0,0.5,0.6,"comply  nt either  Listen woman s doctor   CovidIsNotOver  Covid19   DoNotComply ITALIAN DOCTOR    apos    apos  PEOPLE DIE LIKE FLIES   apos    apos  ","['covidisnotover covid19', 'italian', 'people']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,12,"Fri"
99114,0.172495662316175,"US government","","Hollywood K-Pop , MEAWW one stop latest scoops stories . TV Shows , Movies , Music , Artistes , name ! MEAWW News : @ meawwnews",1863,1319,1352,"False",2022-08-13,"Singer-songwriter Joseph Arthur sued Los Angeles Times $ 25 million damaging career media outlet labelled 'anti-vaxxer . Read story :  # JosephArthur # Music # News # #","['JosephArthur', 'Music', 'News', 'vaccine', 'CovidVaccine']",0,0,0.625,0.9,"Singersongwriter Joseph Arthur sued Los Angeles Times  25 million damaging career media outlet labelled antivaxxer  Read story    JosephArthur  Music  News  ","['joseph arthur', 'los angeles', 'josepharthur music news']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,13,"Sat"
888,0.217038757650157,"US government","","Journalist Opinion Writer @ WSOnlineNews coldcorn @ westernstandard.news",3161,4994,8323,"False",2022-08-09,"Federal government workers n't want head back office - # news # canada # politics # government # cdnpoli # work # trudeau # unions # # healthcare # # covidbooster # vaccinemandates ","['news', 'canada', 'politics', 'government', 'cdnpoli', 'work', 'trudeau', 'unions', 'covid', 'healthcare', 'covidvaccine', 'covidbooster', 'vaccinemandates']",0,0,0,0,"Federal government workers nt want head back office   news  canada  politics  government  cdnpoli  work  trudeau  unions   healthcare   covidbooster  vaccinemandates ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,9,"Tue"
891,0.19619232502284,"Trial Results","Grand Rapids Michigan","VistaSprings Community",151,154,48,"False",2022-09-06,"two-thirds seniors previously received plan receive upgraded vaccinations offered fall , study says . # # ","['COVID', 'COVIDVaccine']",-0.166666666666667,0.166666666666667,0,0,"twothirds seniors previously received plan receive upgraded vaccinations offered fall  study says    ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,6,"Tue"
1018,0.220138628705102,"Vaccination Experiences","South Florida, USA","Contradictions : wallow nostalgia & explore cutting edge Believe : Form always follow Function # Wordle # squaredle # waffle # WordLock # reeddle",60,29,6714,"False",2022-08-15,"08/15 # squaredle 159/19/5 difficulty★☆☆☆☆ @ SquaredleApp 🟩🟩🟩00 BEGIN # 1 longest # 3 1st fade 🟩🟩🟩05 STARTER 🟩🟩🟩08 COUNT ⬛️⬛️⬛️12 HINT ⬛️⬛️⬛️19 DONE 😀 # MoNerday🤓 # Wordle422 # VOTE # UkraineWar # # Jan6thHearings # CodifyRoe # HerChoice🤰 # UvaldeMassacre🟠","['squaredle', 'MoNerday', 'Wordle422', 'VOTE', 'UkraineWar', 'CovidVaccine', 'Jan6thHearings', 'CodifyRoe', 'HerChoice', 'UvaldeMassacre']",0,0,-0.6,0.9,"0815  squaredle 159195 difficulty  SquaredleApp 00 BEGIN  1 longest  3 1st fade 05 STARTER 08 COUNT 12 HINT 19 DONE   MoNerday  Wordle422  VOTE  UkraineWar   Jan6thHearings  CodifyRoe  HerChoice  UvaldeMassacre","['done']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,8,15,"Mon"
1203,0.217785530516891,"Case/Vaccination Statistics","North Tyneside","Together GP members deliver improved healthcare , closer home North Tyneside community . Account monitored Mon-Fri , 9-5pm . & Cs website .",796,1400,3894,"False",2022-09-06,"Care home residents staff alongside people housebound set among first invited next phase # booster doses . among first world receive new , variant-tackling jabs . ( 1/2 ) ","['CovidVaccine']",0.159090909090909,0.28030303030303,0,0,"Care home residents staff alongside people housebound set among first invited next phase  booster doses  among first world receive new  varianttackling jabs   12  ","['care']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,6,"Tue"
1678,0.208684496513264,"Vaccine Mandate","","",7,53,19,"False",2022-09-07,"@ WakeForestNews @ WakeForest @ wfuadmissions @ SerenaandLily @ NCM4Ever board members @ WakeForest @ BurchfieldBobby @ FlowAutomotive Ask board members believe kids guinea pigs new untested shot virus immune systems handle . @ NCM4Ever @ FreeCollegeKids # ","['CovidVaccine']",0.136363636363636,0.454545454545455,0,0," WakeForestNews  WakeForest  wfuadmissions  SerenaandLily  NCM4Ever board members  WakeForest  BurchfieldBobby  FlowAutomotive Ask board members believe kids guinea pigs new untested shot virus immune systems handle   NCM4Ever  FreeCollegeKids  ","['wakeforestnews', 'wakeforest', 'serenaandlily', 'wakeforest', 'ncm4ever']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,9,7,"Wed"
