"X","misinformation","dominant_topic","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media","year","month","day","day_of_week"
88,0.181335920412618,"Trial Results","","Husband , Dad , likes Football , snowboarding , wine , investing Property",95,180,348,"False",2021-12-12,"@ hughosmond Professor Eleanor Riley , immunology infecious diseases , University Edinburgh… “ Omnicron variant could act natural ” # NoMoreRestrictions # NoMoreLockdowns  # Omicron # # # # OmicronVirus","['NoMoreRestrictions', 'NoMoreLockdowns', 'Omicron', 'coronavirus', 'CovidVaccine', 'COVID19', 'OmicronVirus']",0.1,0.4,0,0," hughosmond Professor Eleanor Riley  immunology infecious diseases  University Edinburgh  Omnicron variant could act natural   NoMoreRestrictions  NoMoreLockdowns   Omicron     OmicronVirus","['university edinburgh omnicron', 'nomorerestrictions', 'omicron omicronvirus']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,12,"Sun"
97,0.19336446650973,"Trial Results","United Kingdom","$ NEXO $ CRO",1039,400,2412,"False",2021-12-17,"151,304 cardiac reactions . # # ","['CovidVaccine', 'COVID']",-0.05,0,0,0,"151304 cardiac reactions    ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,17,"Fri"
163,0.197879138223778,"Clinic Updates and Information","","@ NHSEngland @ NHSImprovement working together North West . account monitored Monday-Friday 9am-5pm .",6404,838,2750,"True",2021-12-15,"'s much going time year Christmas coming . Make sure add # booster calendar 're eligible stay protected . Find , including 're eligible :  ","['CovidVaccine']",0.35,0.544444444444444,0,0,"s much going time year Christmas coming  Make sure add  booster calendar re eligible stay protected  Find  including re eligible   ","['make']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,15,"Wed"
188,0.182632315895731,"Education","","@ NHSEngland @ NHSImprovement working together North West . account monitored Monday-Friday 9am-5pm .",6609,838,2833,"True",2022-01-07,"questions # pregnancy ? Join @ tommys midwifery obstetric experts Instagram Monday 1pm questions answered regarding boosters , pregnancy ! Visit :  ","['CovidVaccine']",0,0,0,0,"questions  pregnancy  Join  tommys midwifery obstetric experts Instagram Monday 1pm questions answered regarding boosters  pregnancy  Visit   ","['join', 'instagram', 'visit']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,1,7,"Fri"
213,0.154607802179417,"Trial Results","","Former believer innovative companies save humanity.Untill learned BigPharma operates .   ",2261,2311,21592,"False",2021-12-16,"following science devastating effects .Time best truth teller # # ","['COVID19', 'CovidVaccine']",0,0.466666666666667,0.25,0.5,"following science devastating effects Time best truth teller   ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,16,"Thu"
249,0.175538913769513,"Trial Results","St Louis, Phoenix, Las Vegas ","DONALD TRUMP DOMESTIC TERRORIST # TrumpIsGUILTY # LockHimUp # ArrestTrumpNow # TrumpCrimeFamilyForPrison # TraitorsSupportTraitorTrump # GOPTraitors # VoteBlue",21225,21091,2205,"False",2021-12-09,"# COVIDIOTS New Gender Gap : Men Refuse # , Men Spread # , Men Die  via @ dailysoundnfury","['COVIDIOTS', 'COVIDVaccine', 'COVID']",0.136363636363636,0.454545454545455,0,0.1," COVIDIOTS New Gender Gap  Men Refuse   Men Spread   Men Die  via  dailysoundnfury","['covidiots new']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,9,"Thu"
351,0.189204034190051,"Mask","Sydney, Australia","Dont experimental drugs pushed criminals Pronouns : Naturally Organic/Un contaminated ",745,2530,34362,"False",2021-12-23,"FYI vaccinated dont `` '' catch '' '' convid , poisoned spike protein # # # COVID19nsw # CovidVictoria # DoNotComplyEVER","['covid19', 'covidvaccine', 'COVID19nsw', 'CovidVictoria', 'DoNotComplyEVER']",0,0,0.1,0.4,"FYI vaccinated dont   catch   convid  poisoned spike protein    COVID19nsw  CovidVictoria  DoNotComplyEVER","['fyi', 'covid19nsw']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2021,12,23,"Thu"
382,0.283022278862539,"COVID-19 in India","Hicksville, NY","New York based publication geared provide news stories reflecting lifestyles , aspirations trends South Asian Community US .",660,501,112,"False",2021-12-26,"India start giving booster shots health frontline workers 60 January 10 : PM # NarendraModi # # BoosterJab # BoosterShots # elderly # HealthCareWorkers # frontlineworkers # India ","['NarendraModi', 'CovidVaccine', 'BoosterJab', 'BoosterShots', 'elderly', 'HealthCareWorkers', 'frontlineworkers', 'India']",0,0,0.0681818181818182,0.227272727272727,"India start giving booster shots health frontline workers 60 January 10  PM  NarendraModi   BoosterJab  BoosterShots  elderly  HealthCareWorkers  frontlineworkers  India ","['india', 'healthcareworkers', 'india']",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,26,"Sun"
386,0.217458844379799,"US government","Republic of Florida","Founder leader Brotherhood Purebloods . 're future , . longer matter . war begun . superior/Mighty Unjabbed One",193,254,25325,"False",2021-12-28,"`` `` 's great symptom mitigator '' '' another attempt Branch Covidians convince religion n't complete bullshit #","['CovidVaccine']",0.45,0.575,0,0.125,"  s great symptom mitigator   another attempt Branch Covidians convince religion nt complete bullshit ","['branch covidians']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,28,"Tue"
405,0.33815235111269,"Case/Vaccination Statistics","Visakhapatnam, India","Special Correspondent @ DeccanChronicle @ TheAsianAgeNews , Worked @ timesofindia & @ NewIndianXpress . Trainee @ bbcworld , @ the_hindu . # kamalvphonephoto & Poet క.వి",535,731,611,"False",2021-12-17,"41 countries still able # vaccinate 10 percent populations , 98 countries reached 40 percent : @ # # Covid_19 # OmicronVarient","['vaccinate', 'CovidVaccine', 'Covid_19', 'OmicronVarient']",0.5,0.625,0.357142857142857,0.571428571428571,"41 countries still able  vaccinate 10 percent populations  98 countries reached 40 percent     Covid19  OmicronVarient","['covid19']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,17,"Fri"
428,0.352997075506999,"US government","United States","",41,403,3989,"False",2021-12-10,"# COVID_19 # # Learn Truth… . happened Doctors hypocritical OATH ? ! ? # vaers # Myocarditis # AdverseReactions 👀 ","['COVID_19', 'covid19', 'CovidVaccine', 'vaers', 'Myocarditis', 'AdverseReactions']",0,0,0,0," COVID19   Learn Truth  happened Doctors hypocritical OATH     vaers  Myocarditis  AdverseReactions  ","['covid19', 'learn truth', 'doctors', 'oath']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,10,"Fri"
450,0.192044324398783,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",36,0,0,"False",2021-12-27,"45+ # BBMP # Bengaluru # Availability 27/12 08:30AM FREE Slots 0 PAID Slots # COVISHIELD - Dose1:259 , Dose2:256 # COVAXIN - Dose1:74 , Dose2:99","['BBMP', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN']",0.4,0.8,0.133333333333333,0.266666666666667,"45  BBMP  Bengaluru  Availability 2712 0830AM FREE Slots 0 PAID Slots  COVISHIELD  Dose1259  Dose2256  COVAXIN  Dose174  Dose299","['bbmp bengaluru', 'free', 'paid slots', 'covishield dose1259 dose2256', 'dose174 dose299']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,27,"Mon"
1757,0.202574737287398,"US government","States of America","'s plain speaking , clear understanding . Maltese Falcon • 1941",1712,2709,10894,"False",2021-12-26,"# Trump ‘ reads mainstream news ’ 😵‍💫 “ comes generation—I ’ seen people older exact perspective , like , came time TV , internet , able conduct independent research. ” Candace Owens ","['CovidVaccine']",0.229166666666667,0.333333333333333,-0.0571428571428571,0.370238095238095," Trump  reads mainstream news    comes generationI  seen people older exact perspective  like  came time TV  internet  able conduct independent research  Candace Owens ","['trump', 'candace owens']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,26,"Sun"
2199,0.190062109285145,"Vaccination Experiences","United States","Website coming 2022 . Also facebook , parler , gettr , gab @ LibtardReport instagram @ LibtardReportDotCom",14,389,13,"False",2021-12-11,"*Womp womp* # mask # maskup # masks # masking # # # covid_19 # covidvacccine # # variant # omicron # fauci # lies # lie # flattenthecurve # booster # vax # # # # coronaviruslockdown # coronaviruspandemic # pandemic # pandemiclife # mandate ","['mask', 'maskup', 'masks', 'masking', 'covid', 'covid19', 'covid_19', 'covidvacccine', 'covidvaccine', 'variant', 'omicron', 'fauci', 'lies', 'lie', 'flattenthecurve', 'booster', 'vax', 'vaccine', 'vaccination', 'coronavirus', 'coronaviruslockdown', 'coronaviruspandemic', 'pandemic', 'pandemiclife', 'mandate']",0,0,0,0,"Womp womp  mask  maskup  masks  masking    covid19  covidvacccine   variant  omicron  fauci  lies  lie  flattenthecurve  booster  vax     coronaviruslockdown  coronaviruspandemic  pandemic  pandemiclife  mandate ","['womp']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,11,"Sat"
2970,0.212291435949295,"US government","","comply..you blindly giving freedoms away , end say Follow life instagram",10245,2259,48871,"False",2021-12-16,"Guys forget rolling sleeve invest short sleeved shirts , lots jibby jabs come become anti vaxxer conspiracy theorist lol ! # covidbooster # # GetBoostedNow ","['covidbooster', 'covidvaccine', 'GetBoostedNow']",0.5,0.5,-0.5,0.666666666666667,"Guys forget rolling sleeve invest short sleeved shirts  lots jibby jabs come become anti vaxxer conspiracy theorist lol   covidbooster   GetBoostedNow ","['guys']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,16,"Thu"
7228,0.174934699801497,"US government","Baltimore, MD USA","Revelation 14:6-12 Third Angels Message",2196,4029,3707,"False",2021-12-12,"# # # CovidPlanB # # Covid_19 # CovidLong # coronaprotest # coronadebat # # Corona # VaccinePassports # VaccineMandate Destruction Jerusalem Great Controversy ( 1911 )  Secret Terrorists   ","['COVID19', 'COVID', 'CovidPlanB', 'CovidVaccine', 'Covid_19', 'CovidLong', 'coronaprotest', 'coronadebat', 'coronavirus', 'Corona', 'VaccinePassports', 'VaccineMandate']",0.2,0.725,0,0,"   CovidPlanB   Covid19  CovidLong  coronaprotest  coronadebat   Corona  VaccinePassports  VaccineMandate Destruction Jerusalem Great Controversy  1911   Secret Terrorists   ","['covidplanb', 'covid19 covidlong', 'corona vaccinepassports', 'vaccinemandate', 'jerusalem great']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,12,"Sun"
7883,0.204820230142314,"US government","San Antonio, TX","# Ret.Combat Medic , # RespiratoryTherapist . # IraqWarVet.Better half @ 1988VOR seen death combat ... . # GetVaccinated PLEASE",37618,31617,140763,"False",2021-12-22,"Let 's put way MAGA understand : `` '' place saved Trump recklessly exposed , made # 'll save us . Republican governors members Congress scramble take . '' '' ","['CovidVaccine']",0,0,-0.166666666666667,0.166666666666667,"Let s put way MAGA understand    place saved Trump recklessly exposed  made  ll save us  Republican governors members Congress scramble take    ","['maga', 'trump', 'republican', 'congress']",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,22,"Wed"
10261,0.380021606239081,"Trial Results","Southfield, Michigan","non-profit corporation founded Raj Padma Vattikuti 1997 . aim improve quality care Robotic Surgery .",1260,123,4733,"False",2021-12-24,"Vaccinations Found Effective Kidney Transplant Recipients . Read full news :  # # covidvariant # # Corona # # coronavaccine # COVIDVaccination # kidney # transplant # healthcare # health # healthy # Robotic ","['COVID19', 'covidvariant', 'coronavirus', 'Corona', 'CovidVaccine', 'coronavaccine', 'COVIDVaccination', 'kidney', 'transplant', 'healthcare', 'health', 'healthy', 'Robotic']",0.3375,0.5125,-0.1,0.2,"Vaccinations Found Effective Kidney Transplant Recipients  Read full news     covidvariant   Corona   coronavaccine  COVIDVaccination  kidney  transplant  healthcare  health  healthy  Robotic ","['found effective kidney transplant recipients read', 'corona', 'robotic']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,24,"Fri"
11162,0.200931131922008,"US government","","Believer , Husband , Father , Drummer , Business Owner , Writer ...",25,106,1225,"False",2021-12-17,"@ ClayTravis NFL say “ time another booster shot. ” many times take shot actually something right ? # BoosterJab # #","['BoosterJab', 'CovidVaccine', 'COVID19']",0.261904761904762,0.378571428571429,0,0," ClayTravis NFL say  time another booster shot  many times take shot actually something right   BoosterJab  ","['claytravis', 'boosterjab']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,17,"Fri"
14527,0.176657856687059,"Clinic Updates and Information","Coventry&Warwickshire, the UK","responsible planning , organising buying NHS-funded healthcare people Coventry & Warwickshire area .",4972,930,2692,"False",2021-12-26,"# clinics taking place Christmas . Get # Rugby Hillmorton Ex-Service Men ’ Club , High St , Hillmorton CV21 4EH 26th-28th December , 9am 6pm . appointment needed !  # GrabAJab ","['CovidVaccine', 'Vaccine', 'GrabAJab']",0.2,0.54,0.2,0.55," clinics taking place Christmas  Get  Rugby Hillmorton ExService Men  Club  High St  Hillmorton CV21 4EH 26th28th December  9am 6pm  appointment needed    GrabAJab ","['christmas get rugby hillmorton', 'hillmorton', 'grabajab']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,26,"Sun"
15620,0.197113890729194,"Clinic Updates and Information","Baton Rouge, La.","Louisiana Department Health | Promoting health access health services Louisiana residents .",24522,1086,1043,"True",2021-12-13,"💪+💉=💳 shot $ 100 waiting , Louisiana ! Get first dose # 12/31 receive $ 100 Visa debit card help holiday shopping . Visit  info . ","['COVIDvaccine']",0.25,0.333333333333333,0,0," shot  100 waiting  Louisiana  Get first dose  1231 receive  100 Visa debit card help holiday shopping  Visit  info  ","['louisiana get', 'visit']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2021,12,13,"Mon"
17110,0.177554076429681,"Clinic Updates and Information","Essex","Official feed Mid South Essex NHS Foundation Trust . chat Mon-Fri 9-5pm . new Trust values : excellent🌟 compassionate 🧑‍🤝‍🧑 respectful 🤝",3718,227,4145,"True",2021-12-16,"adults book booster . 're 18 second dose 2 months ago , book  # # BoosterJab # CovidBooster ","['CovidVaccine', 'BoosterJab', 'CovidBooster']",0,0,0.2121212,0.3848485,"adults book booster  re 18 second dose 2 months ago  book    BoosterJab  CovidBooster ","['boosterjab']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,16,"Thu"
20364,0.182632315895731,"Trial Results","","Musician ",123,242,1452,"False",2022-01-07,"Kill Severe Side Effects . reported . Retweet ! # # Covid_19 # covidvariant # # covidvaxexposed # VaccineDeaths # VaccineSideEffects # # VaccineMandates # # USA # Biden # Fauci # SupremeCourt # SCOTUS # Booster ","['COVID19', 'Covid_19', 'covidvariant', 'CovidVaccine', 'covidvaxexposed', 'VaccineDeaths', 'VaccineSideEffects', 'vaccines', 'VaccineMandates', 'vaccination', 'USA', 'Biden', 'Fauci', 'SupremeCourt', 'SCOTUS', 'Booster']",0,0,0,0,"Kill Severe Side Effects  reported  Retweet    Covid19  covidvariant   covidvaxexposed  VaccineDeaths  VaccineSideEffects   VaccineMandates   USA  Biden  Fauci  SupremeCourt  SCOTUS  Booster ","['kill', 'severe side effects', 'retweet covid19', 'vaccinedeaths', 'biden fauci']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,7,"Fri"
20972,0.21452302963764,"Government Response","Surat, India","chandrika",1371,1530,307155,"False",2021-12-25,"@ umashankarsingh Thanks @ narendramodi listening de-facto Work PM @ RahulGandhi delay always eventually listen # ","['CovidVaccine']",0.2,0.2,0,0," umashankarsingh Thanks  narendramodi listening defacto Work PM  RahulGandhi delay always eventually listen  ","['thanks']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,12,25,"Sat"
