"X","misinformation","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
74859,2.13536357622506e-09,"Pittsburgh, PA","System One has the contacts, experience and resources to make great career matches across our national network.",417,265,2900,"False",2020-02-09,"System One and @JouleClin_Sci are making an impact on the COVID-19 Pandemic. 

https://t.co/0c0FI9PK8l 

#Covid19… https://t.co/kMOTIVOAbN","['Covid19']",0,0,0.8,0.75,"System One and JouleClinSci are making an impact on the COVID19 Pandemic 

 

Covid19 ","['jouleclinsci', 'covid19 pandemic covid19']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95190,0.103344862634108,"Winnipeg","Winnipeg Alternative Media: Citizens Journalism for Prairie Truth News Updates & Discussion. Join In",947,2131,3092,"False",2020-02-09,"How about the option FUCK NO!
#Covid19MB #COVID__19 #CovidVaccine #BillGates #BillGatesEvil #prairietruth https://t.co/q8UeCzr49b","['Covid19MB', 'COVID__19', 'CovidVaccine', 'BillGates', 'BillGatesEvil', 'prairietruth']",-0.5,0.6,0,0,"How about the option FUCK NO
Covid19MB COVID19 CovidVaccine BillGates BillGatesEvil prairietruth ","['fuck']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5322,0.145770931241629,"Bhubaneswar, India","If something on Odisha is not on https://t.co/tklvVwUTgF, it is unlikely to be elsewhere...

Join us on Telegram:  https://t.co/Hu7tZ0QKiH
Follow us on Facebook: https://t.co/EYZelyrCNf",590096,276,314,"True",2020-02-11,"CureVac #CovidVaccine Induces Immune Response In Early Trial https://t.co/lFoBIfmCyg","['CovidVaccine']",0.1,0.3,-0.5,0.5,"CureVac CovidVaccine Induces Immune Response In Early Trial ","['curevac', 'covidvaccine induces', 'early']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6041,0.0485269389561567,"USA","Old-school computer geek, board gamer, gafiated fan. Jew.  God gave us more brains than our Australopithecus ancestors and expected us to use them. She/her.",350,250,64755,"False",2020-02-11,"@timwilliamsart I trust science.  I trust medecine.  I am pro-vaccination.  

I will have grave doubts about the sa… https://t.co/eGrZ2qCHK5","[]",0,0,0.2,0.45,"timwilliamsart I trust science  I trust medecine  I am provaccination  

I will have grave doubts about the sa ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9816,0.215954729904411,"Pittsburgh, PA","Of course, I have some rough edges; God's not done with me, yet.",69,235,310,"False",2020-02-09,"Uh...wow...Passport Ireland...#COVID19
#CovidVaccine #socialtracing
#GlobalistTakeover #NEWWORLDORDER
https://t.co/SLnmDmuTSZ","['COVID19', 'CovidVaccine', 'socialtracing', 'GlobalistTakeover', 'NEWWORLDORDER']",0,0,-0.1,0.4,"UhwowPassport IrelandCOVID19
CovidVaccine socialtracing
GlobalistTakeover NEWWORLDORDER
","['uhwowpassport', 'irelandcovid19', 'globalisttakeover']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12609,0.0418647322050094,"","You're in the right place for a peek behind the scenes...",318,696,0,"False",2020-02-09,"U.S. Refuses To Join 170 Countries Teaming Up To Produce A Coronavirus #CovidVaccine https://t.co/yj9jRr90ix https://t.co/dd5N9Hstqu","['CovidVaccine']",0,0,-0.0571428571428572,0.617857142857143,"US Refuses To Join 170 Countries Teaming Up To Produce A Coronavirus CovidVaccine  ","['us']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14003,0.0280208075542273,"Colorado, USA","Country is nothing; people living in the country is everything.
Cubs / Bears / Bulls / Shits & Giggles",10,212,2475,"False",2020-02-09,"Am I the only idiot that thinks the current administration is doing everything they can, both legally and illegally… https://t.co/HBKJsvULSx","[]",-0.15,0.6,0,0,"Am I the only idiot that thinks the current administration is doing everything they can both legally and illegally ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17336,0.0395039548396064,"Kingston, ON","",675,930,2112,"False",2020-02-09,"Since the crazies are hard at work attacking @CPHO_Canada, here's what Canada's actually looking at for a… https://t.co/MaPyihZ9Md","[]",-0.145833333333333,0.320833333333333,0,0,"Since the crazies are hard at work attacking CPHOCanada heres what Canadas actually looking at for a ","['cphocanada', 'canadas']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21129,0.01178521176146,"India","‘Aham Brahmasmi’ is the absolute truth. TRUTH and NEWS are not the same thing. IndSamachar delivers news “as is” and not colour it.",16614,0,945,"False",2020-02-09,"Canada has been forced to abandon the first proposed clinical trials for a Covid-19 vaccine in the country after Be… https://t.co/ix6jZRxQrW","[]",-0.025,0.266666666666667,0.1,0.5125,"Canada has been forced to abandon the first proposed clinical trials for a Covid19 vaccine in the country after Be ","['canada', 'covid19']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27401,9.69659571021902e-09,"","Blocking MAGAts and Purity Progressives with extreme prejudice.",883,712,62996,"False",2020-02-09,"It's a given: Trump *will* announce a #CovidVaccine as an #OctoberSurprise. It *will* have been rushed out prematur… https://t.co/Y7P7F3GtuI","['CovidVaccine', 'OctoberSurprise']",0,0,-0.125,1,"Its a given Trump will announce a CovidVaccine as an OctoberSurprise It will have been rushed out prematur ","['trump']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28756,0.0683521545383885,"Central Coast, California","Older boomer, dog lover, autodidact. Goal: creation of sustainable culture, healing the web of life for all species. Photo: sustainable housing, Cal Earth.",14,113,1107,"False",2020-02-09,"#CovidVaccine
How does this make any sense? This Administration wants endless death and illness. No PPE, no testing… https://t.co/wAwmxsRkMn","['CovidVaccine']",0.0375,0.425,0.166666666666667,0.333333333333333,"CovidVaccine
How does this make any sense This Administration wants endless death and illness No PPE no testing ","['administration', 'no']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28986,0.0812579196250293," Sydney, NSW, Australia 🇦🇺🐨","🌹🦢🕊Climate Emergency Denier🕊Descendant of Sir Winston Churchill🕊#TrumpLandslide2020🕊Followed by @MirandaDevine @PaulineHansonOz🕊author🕊🚫No DM’s🕊🦢🌹",4885,4333,47277,"False",2020-02-09,"The new vaccine is 110% safe to take folks  .. 🤣🤣🤣

#CovidVaccine #Orwells1984isHere #Marxism https://t.co/kYNQLJSN45","['CovidVaccine', 'Orwells1984isHere', 'Marxism']",0.318181818181818,0.477272727272727,0,0,"The new vaccine is 110 safe to take folks   

CovidVaccine Orwells1984isHere Marxism ","['covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33795,0.0565714323887786,"Washington, DC","The Partnership for Employer-Sponsored Coverage is the advocacy alliance for employers & hardworking Americans & their families who rely on ESC every day.",118,93,60,"False",2020-02-11,"#complianceMonday Follow this link to @CDCgov 's Ensuring the Safety of #COVID19 Vaccines in the United States:… https://t.co/zyRwRNwlVz","['complianceMonday', 'COVID19']",0,0,0,0,"complianceMonday Follow this link to CDCgov s Ensuring the Safety of COVID19 Vaccines in the United States ","['cdcgov', 'safety', 'covid19 vaccines', 'united states']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36369,0.0696711988782321,"London","“The one great principle of the English law is, to make business for itself.""""

Mathematician. Statistician. Computer Analyst.

#BRexit #JWexit #ADOS",145,176,9994,"False",2020-02-09,"Fat Boy wants to volunteer for #CovidVaccine https://t.co/fZkRQYRadD","['CovidVaccine']",0.2,0.1,0.4,0.375,"Fat Boy wants to volunteer for CovidVaccine ","['fat', 'boy', 'covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37096,0.0637780464315296,"Gujarat, In","Equity/Bullion. Geopolitical/ International Relations.",10,336,140,"False",2020-02-09,"@SpokespersonCHN 🤫🗝 reasons

1. Huge expense on R&amp;D to export #COVID__19 
2. Hiding key research and genocide of vi… https://t.co/pHKsRXCdcL","['COVID__19']",0.2,0.95,0,0,"SpokespersonCHN  reasons

1 Huge expense on RampD to export COVID19 
2 Hiding key research and genocide of vi ","['rampd', 'covid19']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
