"X","misinformation","dominant_topic","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media","year","month","day","day_of_week"
23,0.203931503619815,"Education","New Delhi !India","ACTF organisational aggregator , innovative concepts incepted Rural India . believe action , compassion , sympathy & consideration .",306,9,949,"False",2022-02-22,"Follow post 's Dont 's situation safety better health . # # # health # CovidIsNotOver # CoronavirusUpdates # healthiswealth # # StaySafe # HealthForAll # actfindia ","['COVID19', 'coronavirus', 'health', 'CovidIsNotOver', 'CoronavirusUpdates', 'healthiswealth', 'CovidVaccine', 'StaySafe', 'HealthForAll', 'actfindia']",0.5,0.5,0.2,0.366666666666667,"Follow post s Dont s situation safety better health     health  CovidIsNotOver  CoronavirusUpdates  healthiswealth   StaySafe  HealthForAll  actfindia ","['follow', 'dont', 'covidisnotover', 'staysafe']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2,22,"Tue"
34,0.190439968712205,"COVID-19 in India","USA","Andhravilas Gives # Tollywood # Bollywood film News , # AndhraPradesh # Telangana News , # National # Health # Business # Trending Visit ",2595,93,27,"False",2022-02-14,"Voter turnout 1 pm : 39.07 % , Uttarakhand 35.21 % & ; Goa 44.63 %  # Politics # Breakingnews # Indiapolitics # AndhraPolitics # NewsFeed # YSJagan # New Delhi , Feb 14 - voting percentage Monday till 1 p.m. second phase assembly poll…","['Politics', 'Breakingnews', 'Indiapolitics', 'AndhraPolitics', 'NewsFeed', 'YSJagan', 'CovidVaccine']",0.0681818181818182,0.227272727272727,0,0,"Voter turnout 1 pm  3907   Uttarakhand 3521    Goa 4463    Politics  Breakingnews  Indiapolitics  AndhraPolitics  NewsFeed  YSJagan  New Delhi  Feb 14  voting percentage Monday till 1 pm second phase assembly poll","['delhi feb']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2,14,"Mon"
42,0.199492387880426,"Trial Results","Pollachi, Tamilnadu, India","🌾விவசாயி🌴 🕸️தன்னார்வலர் ⚖️ 🗞️📋கல்வி சார் சேவைகள்📇",401,127,824,"False",2022-02-21,"Biological E Limited 's # Corbevax , # India 's first indigenously developed Receptor Binding Domain ( # RBD ) Protein sub-unit # , received emergency use authorisation ( EUA ) # DCGI 12 18-year age group : # BiologicalE # ","['Corbevax', 'India', 'RBD', 'COVID19', 'DCGI', 'BiologicalE', 'CovidVaccine']",0.0928571428571429,0.258730158730159,0,0,"Biological E Limited s  Corbevax   India s first indigenously developed Receptor Binding Domain   RBD  Protein subunit   received emergency use authorisation  EUA   DCGI 12 18year age group   BiologicalE  ","['biological', 'corbevax india', 'domain rbd protein', 'eua', 'biologicale']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,2,21,"Mon"
78,0.21039607842939,"Mask","Texas","La vida es bella !",845,3401,44451,"False",2022-02-26,"Suicide # # ","['CovidVaccine']",0,0,0,0,"Suicide   ","['suicide']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2,26,"Sat"
118,0.200264626126185,"US government","USA","Andhravilas Gives # Tollywood # Bollywood film News , # AndhraPradesh # Telangana News , # National # Health # Business # Trending Visit ",2595,93,27,"False",2022-02-18,"Bill Gates address BioAsia fireside chat KTR  # KCR # Breakingnews # Indiapolitics # AndhraPolitics # NewsFeed # # IndiaCovid Hyderabad , Feb 18 - Microsoft co-founder co-chair Bill & ; ; Melinda Gates Foundation Bill Gates w…","['KCR', 'Breakingnews', 'Indiapolitics', 'AndhraPolitics', 'NewsFeed', 'CovidVaccine', 'IndiaCovid']",0,0,0,0,"Bill Gates address BioAsia fireside chat KTR   KCR  Breakingnews  Indiapolitics  AndhraPolitics  NewsFeed   IndiaCovid Hyderabad  Feb 18  Microsoft cofounder cochair Bill    Melinda Gates Foundation Bill Gates w","['bill', 'gates', 'bioasia', 'ktr', 'microsoft', 'bill melinda gates', 'bill gates']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2022,2,18,"Fri"
151,0.172833348888561,"COVID-19 in India","New Delhi !India","ACTF organisational aggregator , innovative concepts incepted Rural India . believe action , compassion , sympathy & consideration .",303,11,953,"False",2022-03-07,"178.80 crore doses administered India far says government . # # # india # # maskupindia # # CovidIsNotOver # Covid_19 # StaySafe # StayHealthy # actfindia ","['COVID', 'coronavirus', 'india', 'CovidVaccine', 'maskupindia', 'vaccination', 'CovidIsNotOver', 'Covid_19', 'StaySafe', 'StayHealthy', 'actfindia']",0.1,1,0.2,0.366666666666667,"17880 crore doses administered India far says government     india   maskupindia   CovidIsNotOver  Covid19  StaySafe  StayHealthy  actfindia ","['india', 'covidisnotover covid19']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,3,7,"Mon"
324,0.148301016720648,"Mask","Cheshire, UK","Working communities partners ensure get best possible care",7433,548,2067,"True",2022-02-27,"# typically mild children younger people , unpleasant . ’ make informed choice children # .  # RealVaxxFacts ","['Covid19', 'CovidVaccine', 'RealVaxxFacts']",-0.105555555555556,0.483333333333333,0.5,0.65," typically mild children younger people  unpleasant   make informed choice children     RealVaxxFacts ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2,27,"Sun"
453,0.19199312181858,"Mask","Oakland, CA","Scroll media page - like , follow ! # RedPill # MemeMaker ( FORMER atheist , leftist , lgbtq , abortive ) happily married # Catholic ! Eat # Organic !",3249,4490,99544,"False",2022-02-21,"HEART HEART : Vaxxed Unvaxxed : Public Service Announcement : feel dizzy woozy , IMMEDIATELY sit & ; /or lie floor protect head fall . # pericarditis # myocarditis # # ","['pericarditis', 'myocarditis', 'COVID', 'CovidVaccine']",0,0.0666666666666667,0.05,0.2375,"HEART HEART  Vaxxed Unvaxxed  Public Service Announcement  feel dizzy woozy  IMMEDIATELY sit   or lie floor protect head fall   pericarditis  myocarditis   ","['immediately']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2,21,"Mon"
5503,0.154326575045231,"Clinic Updates and Information","Indianapolis","Welcome official Twitter Greater Indianapolis National Association Advancement Colored People ( NAACP ) .",1210,327,111,"False",2022-02-09,"Free clinic , partners Community Health Network , Indianapolis Recorder newspaper American Legion Post 249 . Saturday , Feb. 12 , 10 am- 2 pm . Walk-ins welcome . # FluShots # # COVIDbooster ","['FluShots', 'COVIDvaccine', 'COVIDbooster']",0.4,0.566666666666667,0.65,0.7,"Free clinic  partners Community Health Network  Indianapolis Recorder newspaper American Legion Post 249  Saturday  Feb 12  10 am 2 pm  Walkins welcome   FluShots   COVIDbooster ","['free', 'community health network', 'american legion', 'walkins', 'flushots']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2,9,"Wed"
12806,0.19671869841969,"Education","MICHIGAN","3rd ID Army vet . Colorado living Michigan . 🇺🇸 support BLM Blue lives matter despise looting bad cops . See something Say something . 🖕🐑",528,1680,17303,"False",2022-02-18,"@ joerogan actual facts 👇🏼👇🏼 # mRNA # ","['mRNA', 'CovidVaccine']",0,0.1,-0.233333333333333,0.255555555555556," joerogan actual facts   mRNA  ","['mrna']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022,2,18,"Fri"
16962,0.189309113583673,"Vaccine Mandate","","4th gen Arizonan . Mother . Election law attorney . Disability Rights Advocate . Developmental Disabilities Advisory Council . Views ; RTs =\= Endorse",1001,2347,18554,"False",2022-02-09,"outlying residents , # event . ","['CovidVaccine']",0,0,0,0,"outlying residents   event  ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2,9,"Wed"
28591,0.183557914226508,"Mask","VA, USA","enjoy video games , pokemon , coins , anime . Speaks mind ! ! !",150,299,3979,"False",2022-02-26,"Tell # safe ? ","['CovidVaccine']",0.5,0.5,0.78125,0.5,"Tell  safe  ","['tell']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2,26,"Sat"
33185,0.17947872616274,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",40,0,0,"False",2022-02-13,"45+ # RURAL # Bengaluru # Availability 13/02 12:30PM FREE Slots 0 PAID Slots 0","['RURAL', 'Bengaluru', 'CovidVaccine']",0.2,0.4,0.1333333,0.2666667,"45  RURAL  Bengaluru  Availability 1302 1230PM FREE Slots 0 PAID Slots 0","['rural bengaluru', 'free', 'paid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2,13,"Sun"
