"X","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
1067,"Corio, Geelong","Freelance writer (and would-be author) who's fandoms range from comic books to pro wrestling/MMA. Autistic and Proud!!!",256,343,2886,"False",2020-01-10,"Soon 🤞
#CovidVaccine #Covid19 
https://t.co/a9bAOepl92","['CovidVaccine', 'Covid19']",0,0,0.35,0.566666666666667,"Soon 
CovidVaccine Covid19 
","['covidvaccine covid19']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231,"Dubai Marina, Dubai","A one-stop destination for news from around the world in 30 seconds.
Download app now - https://t.co/ghxoaIkl8n",187,55,10,"False",2020-01-09,"#AstraZeneca's COVID-19 vaccine has reached Phase 3 clinical trials in US, the company announced in a statement. It… https://t.co/DLHxDY53zE","['AstraZeneca']",0,0,0,0,"AstraZenecas COVID19 vaccine has reached Phase 3 clinical trials in US the company announced in a statement It ","['astrazenecas', 'covid19', 'us']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8448,"Turtle Island","Former Hammer Thrower, Current Professor/Scientist, and Aspiring Drummer. Advocate & protector of the environment, civil rights & democracy. Opinions my own.",1765,1367,78681,"False",2020-01-10,"“If the vaccine is proven to be safe and effective, approval is unlikely until late March or early April.” #COVID19… https://t.co/oCFys4WEJn","['COVID19']",0.08,0.54,0.2,0.466666666666667,"If the vaccine is proven to be safe and effective approval is unlikely until late March or early April COVID19 ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9214,"Planet Earth","I tweet about #MacroEconomics I #EconomicDevelopment I #FinancialMarket I #InternationalTrade| #MMT follower(STAUNCH!) #JobGuarantee #GreenNewDeal #FiscalPolicy",2159,4993,52451,"False",2020-01-10,"Chimp pharma cracked it! #CovidVaccine https://t.co/XeYoSu0G2p","['CovidVaccine']",0,0,0,0,"Chimp pharma cracked it CovidVaccine ","['chimp']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9905,"Belgium","covid test kit provider for the UK and parts of Europe and the Middle East",111,105,4763,"False",2020-01-09,"Some lessons to learn.
""""Perfectly safe"""" 

#thalidomide 
#CovidVaccine 

https://t.co/RRRpOdyzB1","['thalidomide', 'CovidVaccine']",0.5,0.5,0,0,"Some lessons to learn
Perfectly safe 

thalidomide 
CovidVaccine 

","['perfectly', 'covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16183,"Olive Branch, Mississippi","God First, Wife, Mom, ♿️OBGYN Nurse,❤️Animals #SLE Patient #LupusAwareness | #TheResistance/ #ImpeachTrumpPence~~🙋🏽Hi My friends Let's Pray, Do and Believe🌻",2324,4998,62127,"False",2020-01-09,"@DonCheadle American citizens should refuse ANY VACCINE  the CDC or the FDA recommends because it is EXTREMELY too… https://t.co/m8WVt5hNlc","[]",-0.0625,0.5,0.25,0.333333333333333,"DonCheadle American citizens should refuse ANY VACCINE  the CDC or the FDA recommends because it is EXTREMELY too ","['american', 'any', 'cdc', 'fda', 'extremely']",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17190,"NHS.  EU","Therapist  Retired NHS Nurse, BBC News sceptic
believe everyone should have a voice, #mentalhealthmatters #wellbeing #lifehacks #depression #Anxiety",595,2134,998,"False",2020-01-09,"To  #bbcnews I won't be taking any #covidvaccine as I recall what happened to thalimide children  in the 60s.. and… https://t.co/kaOvPFz3ps","['bbcnews', 'covidvaccine']",0,0,0,0,"To  bbcnews I wont be taking any covidvaccine as I recall what happened to thalimide children  in the 60s and ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21395,"","Breaking news editor and writer of the Wall Street Breakfast @SeekingAlpha. Coverage focus on overnight and premarket stories. """"Ready for the market open.""""",8135,854,166,"False",2020-01-10,"#Moderna says its #CovidVaccine won't be ready before the U.S. election https://t.co/1pbUOAWpSW #coronavaccine… https://t.co/uYeunSw7yw","['Moderna', 'CovidVaccine', 'coronavaccine']",0.2,0.5,0.1,0.5,"Moderna says its CovidVaccine wont be ready before the US election  coronavaccine ","['moderna', 'us']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22494,"Canada","🇨🇦 Supporting my global neighbours in these strange times. Proud Canadian, 🌈 ally, protecting my optimism. NO LISTS. Bots get reported and blocked.",3556,5001,86381,"False",2020-01-09,"Sometimes my neighbours can be real bastards. I’m starting to hope our border never opens to Americans again. The r… https://t.co/VgcNkSZMak","[]",0.1,0.2,0.25,0.35,"Sometimes my neighbours can be real bastards Im starting to hope our border never opens to Americans again The r ","['americans']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26874,"Sri Lanka","Sri Lanka's oldest and the most circulated weekly English newspaper since 1928. Write to the Editor-in-Chief direct: dineshtheeditor@gmail.com",5020,62,322,"False",2020-01-09,"Twenty-two persons had tested positive for the #coronavirus, stated the Epidemiology Unit (at 9am). Accordingly, th… https://t.co/65veRfruh8","['coronavirus']",0.227272727272727,0.545454545454545,0.2,0.3,"Twentytwo persons had tested positive for the coronavirus stated the Epidemiology Unit at 9am Accordingly th ","['twentytwo', 'epidemiology unit']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
