"X","misinformation","dominant_topic","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media","year","month","day","day_of_week"
43,0.128238526042769,"Gratitude and Optimism","Ireland","Mum 2 , Carer/passionate advocate , raising awareness Disability esp severe/profound , Rare disease . # Connolly4Kids ! Health Crisis ! # HealthFirst",3047,4972,65397,"False",2022-01-10,"@ TodaywithClaire Thank @ KarinaButler15 done & ; worked hard last 2 years . # @ HSELive @ paulreiddublin @ DonnellyStephen","['CovidVaccine']",-0.145833333333333,0.304166666666667,0.46875,0.9," TodaywithClaire Thank  KarinaButler15 done   worked hard last 2 years    HSELive  paulreiddublin  DonnellyStephen","['todaywithclaire', 'thank karinabutler15', 'hselive', 'donnellystephen']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,10,"Mon"
112,0.158289119513122,"Mask","St Louis, MO, Planet Earth","Space & Rehab ( Space Rehab ! ) Simulation & safety . Scicomm . STEAM mentorship . Access & Equity . Live , love & care others . Powers . Use Good .",2901,722,46666,"False",2022-01-12,"could US . could everyone Earth . us still , . sake everyone know everyone n't : get vaccinated & ; boosted . Ask everyone know & ; n't know . # # # VaccinesWork ","['COVID19', 'CovidVaccine', 'VaccinesWork']",0,0,0.445454545454545,0.566666666666667,"could US  could everyone Earth  us still   sake everyone know everyone nt  get vaccinated   boosted  Ask everyone know   nt know     VaccinesWork ","['vaccineswork']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,12,"Wed"
117,0.187313266133567,"Clinic Updates and Information","Bradford, West Yorkshire","NHS Bradford District Craven Clinical Commissioning Group ( CCG ) plans , buys & monitors local health services . monitor tweets Mon-Fri 9-5pm .",7508,1229,7161,"True",2022-01-11,"❄️Get protected winter ❄️ booster jab strengthen protection # . find details Bradford District & ; Craven walk-in clinics book appointment go 👇  # GetBoostedNow # # ","['COVID19', 'GetBoostedNow', 'CovidVaccine', 'COVID']",0,0,0,0,"Get protected winter  booster jab strengthen protection   find details Bradford District   Craven walkin clinics book appointment go    GetBoostedNow   ","['get', 'bradford district craven', 'getboostednow']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,1,11,"Tue"
127,0.104733689982615,"Trial Results","EDEN","UN Sustainable Development NEW WORLD ORDER ! ! ! ! # STOPNWO # STOPGOVHOAX # STOPPOLITIC # DKPOL # STOPCOVID19HOAX",937,2910,16787,"False",2022-02-03,"“ see immune system performance adults aged 18 59 deteriorated worst levels yet since given . # # ","['covid19', 'CovidVaccine']",-0.55,0.7,0.332919034090909,0.454545454545455," see immune system performance adults aged 18 59 deteriorated worst levels yet since given    ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2,3,"Thu"
152,0.177201538590931,"Case/Vaccination Statistics","","Tweeting latest political news UK 🇬🇧 # UKPolitics",11,70,77,"False",2022-01-25,"🦠 Latest @ UKHSA data : 🧪 94,326 new cases ( 🔺 5,879 ) 439 deaths ( 🔺 383 ) 💉 1st dose : 52.25M ( 🔺 16,005 ) 💉💉 2nd dose : 48.22M ( 🔺 29,833 ) 💉💉💉 Booster : 37M ( 🔺 55,877 ) # UKPolitics | # | # ","['UKPolitics', 'COVID19', 'CovidVaccine']",0.212121212121212,0.451515151515151,0.25,0.5," Latest  UKHSA data   94326 new cases   5879  439 deaths   383   1st dose  5225M   16005   2nd dose  4822M   29833   Booster  37M   55877   UKPolitics     ","['latest', 'ukhsa']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,25,"Tue"
154,1.57524540707065e-07,"Trial Results","US","Texan 🇨🇱 MAGA 🇱🇷 Believer Constitution , Free speech , Freedom , NRA member ! Come Take ! !",320,476,3030,"False",2022-02-05,"vax makes blood coagulate clot . # # antivaxx # Fauci # antivaxxers # Covaxin # EndTheMandates # tatted ","['CovidVaccine', 'antivaxx', 'Fauci', 'antivaxxers', 'Covaxin', 'EndTheMandates', 'tatted']",0,0,0.78125,0.8,"vax makes blood coagulate clot    antivaxx  Fauci  antivaxxers  Covaxin  EndTheMandates  tatted ","['fauci', 'covaxin endthemandates']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,2,5,"Sat"
183,0.193633549306719,"Government Response","England, United Kingdom","Alive",1,46,315,"False",2022-01-29,"@ thisweirdworld_ @ NHS100K Follow money # # NHS100K","['CovidVaccine', 'NHS100K']",0,0,0.1,0.4," thisweirdworld  NHS100K Follow money   NHS100K","['nhs100k follow', 'nhs100k']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,29,"Sat"
197,0.182143809518669,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",40,0,0,"False",2022-01-19,"18-44 # RURAL # Bengaluru # Availability 19/01 11:00AM FREE Slots # COVISHIELD - Dose1:7 , Dose2:3 # COVAXIN - Dose1:0 , Dose2:2 PAID Slots 0","['RURAL', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN']",0.2,0.4,0.133333333333333,0.266666666666667,"1844  RURAL  Bengaluru  Availability 1901 1100AM FREE Slots  COVISHIELD  Dose17  Dose23  COVAXIN  Dose10  Dose22 PAID Slots 0","['rural bengaluru', 'free slots', 'covishield dose17 dose23', 'dose10 dose22']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,19,"Wed"
207,0.180726725973829,"COVID-19 in India","","Entertainment E-Sports , News GK One Place . Follow Jagran TV latest updates",112,221,11,"False",2022-02-05,"ZyCov-D : India 's first needle-free launched Patna # # ","['CovidVaccine', 'Covid19']",0.25,0.333333333333333,0.5,0.9,"ZyCovD  India s first needlefree launched Patna   ","['zycovd', 'india', 'patna']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2,5,"Sat"
222,0.173074619642389,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",40,0,0,"False",2022-01-11,"18-44 # RURAL # Bengaluru # Availability 11/01 10:00AM FREE Slots # COVISHIELD - Dose1:102 , Dose2:0 # COVAXIN - Dose1:101 , Dose2:99 PAID Slots # COVISHIELD - Dose1:49 , Dose2:48","['RURAL', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN', 'COVISHIELD']",0.2,0.4,0.133333333333333,0.266666666666667,"1844  RURAL  Bengaluru  Availability 1101 1000AM FREE Slots  COVISHIELD  Dose1102  Dose20  COVAXIN  Dose1101  Dose299 PAID Slots  COVISHIELD  Dose149  Dose248","['rural bengaluru', 'free slots', 'covishield dose1102 dose20', 'dose299 paid slots', 'covishield dose149 dose248']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,11,"Tue"
