"X","misinformation","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
2867,0.0357737172658516,"The World","Treatment updates for COVID 19. Following the science, facts, data. Daily world statistic updates",178,1843,91,"False",2020-07-11,"One mink-related strain of the virus, found in 12 people, which scientists say is less sensitive to protective anti… https://t.co/WRwLlQjT8f","[]",-0.0333333333333333,0.483333333333333,0,0.05,"One minkrelated strain of the virus found in 12 people which scientists say is less sensitive to protective anti ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3341,0.0534151039692397,"Nairobi, Kenya","Dream.. believe ...achieve.. .",1231,239,6561,"False",2020-07-11,"I will not be surprised if china releases corona vacine .. and all along they were sabotaging DT..#CovidVaccine","['CovidVaccine']",0.1,0.9,0,0,"I will not be surprised if china releases corona vacine  and all along they were sabotaging DTCovidVaccine","['dtcovidvaccine']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4031,0.0387167926149521,"Boston, MA","Passionate about connecting employers, providers, and individuals to the tools they need to attain optimal health. Right now, focused on our #COVID19 platform",14487,1406,1832,"False",2020-07-11,"As the vaccines to fight against #covid19 are being developed, It is essential to widen public access to informatio… https://t.co/vdeAwfrvWm","['covid19']",0.0333333333333333,0.222222222222222,0.117857142857143,0.692857142857143,"As the vaccines to fight against covid19 are being developed It is essential to widen public access to informatio ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5793,0.0668209088419267,"New York, NY","SAG-AFTRA Runner+Yoga+PrayerWarrior+Auntie+Sister+BeachGirl+MadeinNY+Liberal+Buy&SellVintage on etsy poshmark+Love love❤️",397,1734,7565,"False",2020-07-09,"#TrumpPressConference Is @realDonaldTrump using money from #federalreserve to pay #scientists to come up w a… https://t.co/IrT5uMcJoe","['TrumpPressConference', 'federalreserve', 'scientists']",0,0,0,0,"TrumpPressConference Is realDonaldTrump using money from federalreserve to pay scientists to come up w a ","['trumppressconference', 'realdonaldtrump']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8877,0.0714166153198444,"Orlando FL","Hello and welcome to my channel. I make game videos mostly about airplanes and aviation.",127,283,235,"False",2020-07-09,"Animation of What happens if you get Coronavirus COVID-19 https://t.co/ICPVed1tMK via @YouTube #COVID19 #COVID… https://t.co/rOwHgTLAYw","['COVID19', 'COVID']",0,0,0.3,0.6,"Animation of What happens if you get Coronavirus COVID19  via YouTube COVID19 COVID ","['coronavirus', 'covid19', 'youtube']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16585,0.0958394450587147,"Bristol, England","So much to learn too little time! 🌍😍💫",156,129,196,"False",2020-07-11,"🙌 🤩 hope for what dedicated people and science backed by government cash can achieve 🥰🙌 #CovidVaccine https://t.co/PBOiBPE9KC","['CovidVaccine']",0,0,-0.0171875,0.35,"  hope for what dedicated people and science backed by government cash can achieve  CovidVaccine ","['covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24224,0.00517254855928888,"Canada","I question everything. Fighter for the underdog. Exposing the minority report. Your title does not automatically = more knowledgeable, wise, or ethical.",1037,919,61707,"False",2020-07-11,"Al Gore. Didn't he say something about the oceans that is physically IMPOSSIBLE?

#ClimateChange aka #GlobalWarming… https://t.co/etVChm9LCf","['ClimateChange', 'GlobalWarming']",-0.666666666666667,1,0.466666666666667,0.666666666666667,"Al Gore Didnt he say something about the oceans that is physically IMPOSSIBLE

ClimateChange aka GlobalWarming ","['al', 'gore', 'impossible', 'climatechange']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24261,0.0497782698327001,"Brisbane, Queensland","A collaborative health network of QLD's leading universities, hospitals & research institutes, advancing #QLD translational research for better health outcomes",463,335,561,"False",2020-07-09,"💉This deal between #biotech @CSL &amp; the Australian Government could see the #CovidVaccine developed 
@UQscience… https://t.co/UffFliV0hr","['biotech', 'CovidVaccine']",0.05,0.15,0.5,0.5,"This deal between biotech CSL amp the Australian Government could see the CovidVaccine developed 
UQscience ","['csl', 'australian', 'covidvaccine', 'uqscience']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25634,0.0445761293236918,"New Delhi, India","Jagran English the new age Trending News site. Check out https://t.co/UuzBHS8KDs for all latest & top trends across globe.",7384,36,88,"True",2020-07-11,"The Government has been in the process of finalising a procedure to deliver the coronavirus vaccine and identifying… https://t.co/TIGIoeguSM","[]",0,0,0.284090909090909,0.463636363636364,"The Government has been in the process of finalising a procedure to deliver the coronavirus vaccine and identifying ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26940,4.72522512936313e-10,"New Delhi, India","National Herald—founded in 1938 by Jawaharlal Nehru—is a news website and weekly newspaper with a focus on people, governance and current affairs",100919,315,332,"True",2020-07-09,"#China puts #COVIDvaccine on display for first time .
#Coronavirus #COVID19 #coronavirus 
https://t.co/5Gam2RNLbU","['China', 'COVIDvaccine', 'Coronavirus', 'COVID19', 'coronavirus']",0.25,0.333333333333333,0,0.4,"China puts COVIDvaccine on display for first time 
Coronavirus COVID19 coronavirus 
","['china', 'covidvaccine', 'coronavirus']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27504,0.100005568416921,"WPB","graphic artist living and working in paradise.",235,110,1004,"False",2020-07-09,"@realDonaldTrump Look at you! Rushing a #CovidVaccine before the election. You have botched the entire #COVID19 pan… https://t.co/j3z3e5cgvD","['CovidVaccine', 'COVID19']",0,0.625,0,0.4,"realDonaldTrump Look at you Rushing a CovidVaccine before the election You have botched the entire COVID19 pan ","['realdonaldtrump look', 'covid19']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31294,0.232802205489801,"#USA","#Constitutionalist w/#Conservative leanings #WeThePeople #TheAnswerIs1776 #ComeAndTakeIt #Constitution #1A #2A #Patriot #Liberty #IIIPercenter #MAGA #KAG #NoPC",4271,4867,9705,"False",2020-07-09,"#SlowJoe Campaign Refuses to Accept #COVIDVaccine Before Election: ‘I Would Not Trust #DonaldTrump’

'He wants us t… https://t.co/ymuIHfp1BT","['SlowJoe', 'COVIDVaccine', 'DonaldTrump']",0.2,0.1,0,0,"SlowJoe Campaign Refuses to Accept COVIDVaccine Before Election I Would Not Trust DonaldTrump

He wants us t ","['slowjoe campaign', 'accept covidvaccine', 'trust']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31845,0.182924379010864,"Northern California","Neither race, religion, nationality, wealth, education or gender, gives you privilege. Human rights mean equal rights.
RT not endorsement
No lists please.",1430,1436,14002,"False",2020-07-09,"Irony is:
Best case scenario may play out, sufficient #CovidVaccine Phase 3 endpoints may be obtained for adequate… https://t.co/HVpZhDlAPh","['CovidVaccine']",1,0.3,-0.104166666666667,0.345833333333333,"Irony is
Best case scenario may play out sufficient CovidVaccine Phase 3 endpoints may be obtained for adequate ","['irony', 'best', 'covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
