"X","misinformation","dominant_topic","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media","year","month","day","day_of_week"
19728,0.213521541637845,"Clinic Updates and Information","51.892735,-0.485479","Operational Manager - Psychiatric Liaison Service - NHS - Views",245,1225,13777,"False",2022-07-10,"Wardown Park # healthchecks # ","['healthchecks', 'covidvaccine']",0,0,0,0,"Wardown Park  healthchecks  ","['wardown', 'park']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,10,"Sun"
87452,0.206723214827271,"Case/Vaccination Statistics","Hyderabad, India","Deccan Chronicle brings news views around world -- accurate immediate .",104081,236,1484,"True",2022-07-17,"India achieved major milestone programme cumulative doses administered country surpassed 200-crore mark # Covidvaccination # # 200CroreVaccinations ","['Covidvaccination', 'CovidVaccine', '200CroreVaccinations']",0.0625,0.5,0.4,0.6333333,"India achieved major milestone programme cumulative doses administered country surpassed 200crore mark  Covidvaccination   200CroreVaccinations ","['india']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,17,"Sun"
91430,0.188614747894571,"Mask","Lansing, MI","Hockey goalie , healthcare , politics . MSU Spartan , Shattuck St.Marys alum . Wanna-be chef . die-hard # lgrw . @ MIHospitalAssoc SVP . IG @ what_ruthie_made Tweets=mine",1173,1927,24280,"False",2022-07-13,"Please protect kids . current variants concerning - help keep illness becoming serious deadly . # covidisntover # Opinion : still need protect youngest kids  via @ freep","['covidisntover', 'CovidVaccine']",-0.02083333,0.5791667,0,0,"Please protect kids  current variants concerning  help keep illness becoming serious deadly   covidisntover  Opinion  still need protect youngest kids  via  freep","['please']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,7,13,"Wed"
98654,0.212210445084738,"Case/Vaccination Statistics","New Delhi, India","Official Account India News . Mainly focused Defense , Strategic External Affairs .",155,5,0,"False",2022-07-15,"India supplied 235 million total supplies 98 countries : NITI Aayog Vice-Chairman # India # # NITIAayog ","['India', 'CovidVaccine', 'NITIAayog']",0,0.75,0.08333333,0.2166667,"India supplied 235 million total supplies 98 countries  NITI Aayog ViceChairman  India   NITIAayog ","['india', 'niti aayog']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,15,"Fri"
828,0.202748299349559,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",38,0,0,"False",2022-07-14,"18-44 # URBAN # Bengaluru # Availability 14/07 03:00PM FREE Slots # COVISHIELD - Dose1:0 , Dose2:1 PAID Slots # COVISHIELD - Dose1:723 , Dose2:49","['URBAN', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVISHIELD']",0.2,0.4,0.133333333333333,0.266666666666667,"1844  URBAN  Bengaluru  Availability 1407 0300PM FREE Slots  COVISHIELD  Dose10  Dose21 PAID Slots  COVISHIELD  Dose1723  Dose249","['urban bengaluru', 'free slots', 'covishield dose10 dose21', 'slots covishield dose1723 dose249']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,14,"Thu"
859,0.207797096288339,"COVID-19 in India","USA","Andhravilas Gives # Tollywood # Bollywood film News , # AndhraPradesh # Telangana News , # National # Health # Business # Trending Visit ",2606,92,27,"False",2022-07-14,"Man-animal conflict Kerala takes 10th life elephant tramples farmer  # Mamata # Breakingnews # Indiapolitics # AndhraPolitics # NewsFeed # Modi # Telangana # # Politicalparty Thiruvananthapuram , July 14 - Residents Aralam farm near Ker…","['Mamata', 'Breakingnews', 'Indiapolitics', 'AndhraPolitics', 'NewsFeed', 'Modi', 'Telangana', 'CovidVaccine', 'Politicalparty']",0.1,0.4,0,0,"Mananimal conflict Kerala takes 10th life elephant tramples farmer   Mamata  Breakingnews  Indiapolitics  AndhraPolitics  NewsFeed  Modi  Telangana   Politicalparty Thiruvananthapuram  July 14  Residents Aralam farm near Ker","['mananimal', 'kerala', 'mamata breakingnews indiapolitics', 'aralam', 'ker']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,14,"Thu"
865,0.17636489287862,"Government Response","MCR➡️UB'ham➡️Watford&Cleveland","# Chronoptimist • NHS Dr 1996 • GP Partner 2001-2022 • Private GP @ clecliniclondon 2021 • LMC Rep •Trainer • Appraiser • Old Manc • VIEWS • 🏊🏃🚴‍♀️",5509,3768,54975,"False",2022-07-14,"# myocarditis # worse 's c20 per MILLION male adolescents ... . @ pash22 @ bmj_latest ","['myocarditis', 'CovidVaccine']",-0.2,0.35,0.05,0.2875," myocarditis  worse s c20 per MILLION male adolescents    pash22  bmjlatest ","['million']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,14,"Thu"
1146,0.200533119209726,"Trial Results","Florida USA","Air Force vet . 🇺🇸 Grew sci-fi flicks . living one . Mass hysteria real . # MassFormationPsychosis 🐊",481,2283,78466,"False",2022-07-16,"*People* regular menstrual cycles ? Women . would women . # # Biology 🤡🌏 ","['CovidVaccine', 'Biology']",0,0.0769230769230769,0.2,0.3,"People regular menstrual cycles  Women  would women    Biology  ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,16,"Sat"
1412,0.156711958383451,"Trial Results","","stories need sass , less suits whole lot subtweets . nationwide network , watch us live coast coast .",7245,188,1150,"True",2022-07-14,"Pfizer Moderna made sick , new way . 💉  @ novavax @ US_FDA # vax # # # # novavax # pfizer # moderna","['vax', 'covidvaccine', 'covid', 'vaccine', 'novavax', 'pfizer', 'moderna']",-0.288961038961039,0.655844155844156,0.0565656565656566,0.322222222222222,"Pfizer Moderna made sick  new way     novavax  USFDA  vax     novavax  pfizer  moderna","['pfizer', 'moderna', 'usfda']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,7,14,"Thu"
2125,0.194196721718805,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",38,0,0,"False",2022-07-09,"45+ # BBMP # Bengaluru # Availability 09/07 11:30AM FREE Slots 0 PAID Slots 0","['BBMP', 'Bengaluru', 'CovidVaccine']",0.4,0.8,0.133333333333333,0.266666666666667,"45  BBMP  Bengaluru  Availability 0907 1130AM FREE Slots 0 PAID Slots 0","['bbmp bengaluru', 'free', 'paid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,9,"Sat"
