"X","misinformation","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
3795,6.94737860276367e-09,"Sultanpur, New Delhi","editorji is your curated short video news platform. For the latest news and updates, download the editorji app:  https://t.co/WIarrMol8C",31781,104,224,"True",2020-06-11,"""""Team Halo"""" collaborates with researchers to show the process of developing Covid vaccines

#COVIDvaccine 

https://t.co/2oUbNEhjlv","['COVIDvaccine']",0,0,0.25,0.6,"Team Halo collaborates with researchers to show the process of developing Covid vaccines

COVIDvaccine 

","['team', 'halo', 'covid', 'covidvaccine']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5343,0.026192195140323,"United Kingdom","A free medical website exclusively for healthcare professionals",4628,4658,65,"False",2020-06-11,"The #NHSEngland Chief Executive was asked, on a scale of 1 to 10, how certain was he of at least some coronavirus v… https://t.co/j5D8i96O6c","['NHSEngland']",-0.0428571428571429,0.485714285714286,0.2,0.4,"The NHSEngland Chief Executive was asked on a scale of 1 to 10 how certain was he of at least some coronavirus v ","['nhsengland', 'executive']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009,0.0221072329181654,"India","Youtube: https://t.co/CPdYqOLlJo  Facebook: https://t.co/XoAifE1q1A Instagram: https://t.co/IvXWmqtHtw",598592,114,3,"True",2020-06-11,"#India to take heads of mission to tour #Pune vaccine facilities (From Agencies)

#CoronavirusUpdate… https://t.co/aPFQ2tFlpk","['India', 'Pune', 'CoronavirusUpdate']",0,0,0,0,"India to take heads of mission to tour Pune vaccine facilities From Agencies

CoronavirusUpdate ","['india', 'agencies', 'coronavirusupdate']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10076,0.215992813598486,"","A Medical Fruit,
medical blogger,
and content creator",6,152,0,"False",2020-06-11,"@Inbox_biz_tech There are millions of people everywhere who still don't care until what? until they are infected?
#COVID19 
#CovidVaccine","['COVID19', 'CovidVaccine']",0,0,0,0,"Inboxbiztech There are millions of people everywhere who still dont care until what until they are infected
COVID19 
CovidVaccine","['inboxbiztech', 'covid19']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11946,0.0668209088419267,"Roswell, GA","",0,24,34,"False",2020-06-09,"@realDonaldTrump I won’t be a guinea pig, for a rushed out vaccine, to treat a pandemic, your negligence caused. Le… https://t.co/8wXC0iwaQ5","[]",0,0,0,0,"realDonaldTrump I wont be a guinea pig for a rushed out vaccine to treat a pandemic your negligence caused Le ","['le']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12196,0.0418605928170678,"New Delhi","India's largest independent News Agency",55556,45,69,"True",2020-06-09,"The trials that were expected to commence in the first week of September have been delayed due to the safety approv… https://t.co/xmNXPoDoPL","[]",0.0083333333333333,0.369444444444444,0,0.125,"The trials that were expected to commence in the first week of September have been delayed due to the safety approv ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14277,0.149176391428998,"#GordDowniesCanada","#Equalist #BlackLivesMatter 
#Artist #Volunteer
#Premier18MustGo #UCPMustFall #YesItWasGenocide 

Don't get angry, ask questions
Talk to each other",2856,3035,22564,"False",2020-06-09,"If a person with the title of leadership from a #G7 country promises a #CovidVaccine through a process not endorsed… https://t.co/w2SBQL1KvL","['G7', 'CovidVaccine']",0,0,-0.3125,0.6875,"If a person with the title of leadership from a G7 country promises a CovidVaccine through a process not endorsed ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16647,8.18043020644105e-09,"RNA World","RNA(i) Therapeutics Investor-Scientist who loves to trade and tweet about biotech stocks

Not investment advice.
 
 

 .",9374,342,7341,"False",2020-06-09,"#covidvaccine 'race' current standings:

1. Oxford/AZ: weak potency, high fever

2. $BNTX/PFE: pulling ahead of… https://t.co/kPuCeY8DOT","['covidvaccine']",-0.0716666666666667,0.521666666666667,0,0,"covidvaccine race current standings

1 OxfordAZ weak potency high fever

2 BNTXPFE pulling ahead of ","['oxfordaz']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18870,0.0410211465132269,"London, England","Loves Twitter",0,0,10,"False",2020-06-11,"@realDonaldTrump #Chinnakavanam wins #China #CoronavirusPandemic #COVID19 #Pennsylvania2020 #TrumpMeltdown… https://t.co/D5xmGWdDGC","['Chinnakavanam', 'China', 'CoronavirusPandemic', 'COVID19', 'Pennsylvania2020', 'TrumpMeltdown']",0.3,0.2,0,0,"realDonaldTrump Chinnakavanam wins China CoronavirusPandemic COVID19 Pennsylvania2020 TrumpMeltdown ","['realdonaldtrump', 'chinnakavanam', 'china', 'coronaviruspandemic']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19858,0.0668209088419267,"Mumbai, India","India's largest compact newspaper.",394712,234,470,"True",2020-06-11,"Note sent to municipal commissioners, divisional commissioners and district collectors does not mention testing, ra… https://t.co/uN1rznFie1","[]",0,0,0,0,"Note sent to municipal commissioners divisional commissioners and district collectors does not mention testing ra ","['note']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20477,0.0163316396733632,"","Perfectly imperfect",8,138,805,"False",2020-06-09,"@bostonherald Congrats @MassGovernor &amp; @marty_walsh  your self serving posturing to use COVID as your political gra… https://t.co/7C5ke8Xj0t","[]",0,0.1,1,1,"bostonherald Congrats MassGovernor amp martywalsh  your self serving posturing to use COVID as your political gra ","['congrats', 'covid']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25910,0.0205159445952043,"Noida, India","One stop platform that tracks all breaking news & analysis of the pulsating healthcare industry.",6010,890,249,"True",2020-06-11,"ETHealthworld | India tops global survey on Covid-19 vaccination intent; rising hesitancy in many countries… https://t.co/NN4BGdIiTq","[]",0.25,0.25,0,0,"ETHealthworld  India tops global survey on Covid19 vaccination intent rising hesitancy in many countries ","['ethealthworld', 'india', 'covid19']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26657,0.0237269375225755,"New York","Stock Trader. I show chart setups & breakouts. But I can't hold your hand if you trade them  Go NY Rangers & Yankees",946,951,7759,"False",2020-06-09,"@Jerusalem_Post @SenKamalaHarris @realDonaldTrump #Harris is a Shady Moron on so many levels:
1 She is calling the… https://t.co/uiuPwXqLQF","['Harris']",-0.183333333333333,0.708333333333333,0,0,"JerusalemPost SenKamalaHarris realDonaldTrump Harris is a Shady Moron on so many levels
1 She is calling the ","['jerusalempost', 'senkamalaharris', 'realdonaldtrump harris']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28374,0.122900376013829,"Honolulu","",238,1231,3472,"False",2020-06-11,"Here is a rundown of some of the most promising vaccine prospects and how they work, in layman's terms
#COVIDー19… https://t.co/tNgKemfEEy","['COVIDー19']",0.35,0.5,0,0,"Here is a rundown of some of the most promising vaccine prospects and how they work in laymans terms
COVID19 ","['covid19']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29814,0.113827309390862,"","the natural, neutral point of view",0,41,60,"False",2020-06-11,"Will this #pandemic miraculously disappear if the @TheDemocrats win the #WhiteHouse, or will the #CovidVaccine magi… https://t.co/xgfzUrda7P","['pandemic', 'WhiteHouse', 'CovidVaccine']",0.8,0.4,0.1,0.4,"Will this pandemic miraculously disappear if the TheDemocrats win the WhiteHouse or will the CovidVaccine magi ","['whitehouse', 'covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32141,0.0526804946428875,"New York, USA","Magzter is the world’s largest digital reading destination that offers thousands of magazines and newspapers. Enjoy reading on iOS/Android devices and the web!",5614,1550,460,"False",2020-06-11,"Amid the #horrors of the #pandemic and #America’s #mishandling of it, some #goodnews: #OperationWarpSpeed could pro… https://t.co/qqD0Promhi","['horrors', 'pandemic', 'America', 'mishandling', 'goodnews', 'OperationWarpSpeed']",0,0,0.2,0.166666666666667,"Amid the horrors of the pandemic and Americas mishandling of it some goodnews OperationWarpSpeed could pro ","['americas']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33191,0.0425718350516729,"Vancouver 溫哥華, Canada 加拿大 🇨🇦","Newsaholic, atheist, and hashtag abuser with OCD. Most tweets are about #China #中國 #中国 🇨🇳 and some may shock and/or offend. Sorry, I can't always follow back.",1392,652,321,"False",2020-06-09,"Most Canadians confident government will be able to get a COVID-19 vaccine: Nanos survey https://t.co/2sxBh4qF2V… https://t.co/Az3xXiyQ59","[]",0.5,0.652777777777778,0,0.5,"Most Canadians confident government will be able to get a COVID19 vaccine Nanos survey  ","['covid19', 'nanos']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
