"X","misinformation","dominant_topic","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media","year","month","day","day_of_week"
13,0.19168948380022,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",38,0,0,"False",2022-07-05,"18-44 # URBAN # Bengaluru # Availability 05/07 01:00PM FREE Slots # COVISHIELD - Dose1:0 , Dose2:1 PAID Slots # COVISHIELD - Dose1:709 , Dose2:500","['URBAN', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVISHIELD']",0.2,0.4,0.133333333333333,0.266666666666667,"1844  URBAN  Bengaluru  Availability 0507 0100PM FREE Slots  COVISHIELD  Dose10  Dose21 PAID Slots  COVISHIELD  Dose1709  Dose2500","['urban bengaluru', 'free slots', 'covishield dose10 dose21', 'slots covishield dose1709 dose2500']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,5,"Tue"
91,0.12635425403462,"US government","USA","“ Play highest form research. ” – Albert Einstein ... . Ideas . n't shoot ; Always learning others ... messenger .",834,2247,17385,"False",2022-06-15,"@ epdevilla ? Get doses ? ! 💩 bodies ? NEEDED ! # 💩 ! Dangerous 💩 WORK ! ","['COVIDVACCINE']",-0.75,0.9,0,0," epdevilla  Get doses    bodies  NEEDED     Dangerous  WORK  ","['get', 'needed dangerous']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,6,15,"Wed"
187,0.208760891582545,"Vaccine Mandate","South haven, MI 🇺🇸","let roles play life make forget .",32,27,2953,"False",2022-06-10,"7 States `` '' Fire '' '' # news # coronavirustips # # health # ","['news', 'coronavirustips', 'covidvaccine', 'health', 'coronavirus']",0,0,0,0,"7 States   Fire    news  coronavirustips   health  ","['fire']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,6,10,"Fri"
240,0.220723456955377,"Mask","","unity strength",1438,1317,710,"False",2022-06-15,"# COVID19TN positive cases 14.6.2022- TN 332 Individuals Tested 11038 TPR TN 3.00 % . TPR yesterday 2.11 % . Testing . Fatalities 0 . Follow appropriate behavior avoid infections . Make masking must . # # coronaupdates # ","['COVID19TN', 'COVID19', 'coronaupdates', 'COVIDVACCINE']",0.363636363636364,0.522727272727273,0,0," COVID19TN positive cases 1462022 TN 332 Individuals Tested 11038 TPR TN 300   TPR yesterday 211   Testing  Fatalities 0  Follow appropriate behavior avoid infections  Make masking must    coronaupdates  ","['covid19tn', 'tpr', 'tpr']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,6,15,"Wed"
6621,0.190489571891811,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",38,0,0,"False",2022-07-04,"45+ # RURAL # Bengaluru # Availability 04/07 04:30PM FREE Slots 0 PAID Slots 0","['RURAL', 'Bengaluru', 'CovidVaccine']",0.2,0.4,0.133333333333333,0.266666666666667,"45  RURAL  Bengaluru  Availability 0407 0430PM FREE Slots 0 PAID Slots 0","['rural bengaluru', 'free', 'paid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,4,"Mon"
30542,0.202260679343076,"Government Response","Las Vegas, NV","Truth Seeker Realist .",56,18,1195,"False",2022-06-11,"X-FILES relevant ... X-FILES predict future ?  # BillGatesBioTerrorist # # TRUMP2024 # PierrePoilievreForCPC # ElonMusk # TrudeauIsDestroyingCanada","['BillGatesBioTerrorist', 'COVIDVACCINE', 'TRUMP2024', 'PierrePoilievreForCPC', 'ElonMusk', 'TrudeauIsDestroyingCanada']",0.2,0.5125,0,0,"XFILES relevant  XFILES predict future    BillGatesBioTerrorist   TRUMP2024  PierrePoilievreForCPC  ElonMusk  TrudeauIsDestroyingCanada","['xfiles', 'billgatesbioterrorist']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,6,11,"Sat"
42985,0.20681595566415,"COVID-19 in India","USA","Andhravilas Gives # Tollywood # Bollywood film News , # AndhraPradesh # Telangana News , # National # Health # Business # Trending Visit ",2607,92,27,"False",2022-06-12,"Vigil App , cops plainclothes : Goa drive make beaches clean safe  # # Breakingnews # Indiapolitics # AndhraPolitics # NewsFeed # RadheShyam # KCR # Lockdown Panaji , June 12 - Focusing revival tourism drop due th…","['CovidVaccine', 'Breakingnews', 'Indiapolitics', 'AndhraPolitics', 'NewsFeed', 'RadheShyam', 'KCR', 'Lockdown']",0.2472222,0.525,0,0,"Vigil App  cops plainclothes  Goa drive make beaches clean safe    Breakingnews  Indiapolitics  AndhraPolitics  NewsFeed  RadheShyam  KCR  Lockdown Panaji  June 12  Focusing revival tourism drop due th","['vigil', 'app', 'breakingnews indiapolitics', 'andhrapolitics', 'newsfeed', 'panaji']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,6,12,"Sun"
60127,0.207481548122489,"Mask","","",91,61,2452,"False",2022-06-09,"Stop Could Get Delta , Say Experts # coronavirustips # # health # news # ","['coronavirustips', 'coronavirus', 'health', 'news', 'covidvaccine']",0,0,0,0,"Stop Could Get Delta  Say Experts  coronavirustips   health  news  ","['stop', 'could get delta say experts']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,6,9,"Thu"
95594,0.17028380552898,"Mask","Bristol, United Kingdom 🇬🇧","person pull , 'm going let pull anymore .",145,14,2757,"False",2022-06-15,"Makes `` '' Much '' '' Likely Die , Virus Expert Says # coronavirustips # news # health # # ","['coronavirustips', 'news', 'health', 'covidvaccine', 'coronavirus']",0,1,0,0,"Makes   Much   Likely Die  Virus Expert Says  coronavirustips  news  health   ","['likely die virus expert says']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,6,15,"Wed"
512,0.176991024646475,"COVID-19 in India","USA","Andhravilas Gives # Tollywood # Bollywood film News , # AndhraPradesh # Telangana News , # National # Health # Business # Trending Visit ",2609,92,27,"False",2022-07-08,"Fake Twitter account created name Dakshineswar Kali Temple  # YSJagan # Breakingnews # Indiapolitics # AndhraPolitics # NewsFeed # Modi # Telangana # KCR # Kolkata , July 8 - Twitter message purportedly Kolkata 's iconic Dakshinesw…","['YSJagan', 'Breakingnews', 'Indiapolitics', 'AndhraPolitics', 'NewsFeed', 'Modi', 'Telangana', 'KCR', 'CovidVaccine']",0,0.75,0,0,"Fake Twitter account created name Dakshineswar Kali Temple   YSJagan  Breakingnews  Indiapolitics  AndhraPolitics  NewsFeed  Modi  Telangana  KCR  Kolkata  July 8  Twitter message purportedly Kolkata s iconic Dakshinesw","['fake', 'dakshineswar kali temple', 'kolkata', 'kolkata']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,8,"Fri"
