"X","misinformation","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
3591,0.0982011858892666,"Everywhere I want to be","Hard working woman...no time for drama...that's what TV is for. #teamscorpio #naturalhair",431,617,1845,"False",2020-03-09,"I am going to treat the #CovidVaccine like I do when Samsung releases a new phone. I'll wait.  You go first @CDCgov… https://t.co/dnDfbYQz8p","['CovidVaccine']",0.193181818181818,0.393939393939394,-0.291666666666667,0.541666666666667,"I am going to treat the CovidVaccine like I do when Samsung releases a new phone Ill wait  You go first CDCgov ","['covidvaccine', 'samsung', 'ill', 'cdcgov']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4214,0.0303259367356806,"","""""Now is the day and the hour...Let your motto be resistance!"""" - Henry Highland Garnet, 1843",228,328,5436,"False",2020-03-09,"#WeAreNotSafeInTrumpsAmerica - The .@CDCgov has announced .@realDonaldTrump's biggest, most dangerous con yet.… https://t.co/1SP36TpnV3","['WeAreNotSafeInTrumpsAmerica']",-0.05,0.7,0,0,"WeAreNotSafeInTrumpsAmerica  The CDCgov has announced realDonaldTrumps biggest most dangerous con yet ","['cdcgov']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6629,1.20362007487643e-08,"India","Tafrishaala is a platform that gives you the solutions with proper facts and figures for most of your doubts and knowledge desires in simplest and easiest way",14,7,21,"False",2020-03-09,"Tafrishaala Prime Time : 
.
.
.
.
 #PUBG 
#ChineseAppsBanned
#us
#india
#business
#covid19
#covidvaccine… https://t.co/fW4jnx69U2","['PUBG', 'ChineseAppsBanned', 'us', 'india', 'business', 'covid19', 'covidvaccine']",0,0,0.25,0.3,"Tafrishaala Prime Time  




 PUBG 
ChineseAppsBanned
us
india
business
covid19
covidvaccine ","['tafrishaala']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7192,0.039493362413056,"Derry, N Ireland","Californian living in Ireland - working in the world of e-learning",518,635,1043,"False",2020-03-11,"If my body can build up a long term immunity and I have a 99.4% chance of surviving, why do I need a vaccine?… https://t.co/d1zk9mC69H","[]",-0.05,0.4,0,0,"If my body can build up a long term immunity and I have a 994 chance of surviving why do I need a vaccine ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8397,0.0710551780180931,"Ireland","Smart Infection Control Technology",7,33,8,"False",2020-03-11,"Good news: Pharma giant Pfizer hopeful to start roll out of  covid vaccine by 2021!
https://t.co/4XXzQEsWGS… https://t.co/zzV4VscCXd","[]",0.35,0.8,0.214285714285714,0.642857142857143,"Good news Pharma giant Pfizer hopeful to start roll out of  covid vaccine by 2021
 ","['good', 'pharma', 'pfizer']",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
8441,0.0641099051526786,"","Music geek, media, pop culture, vinyl records",371,1518,12852,"False",2020-03-09,".@realDonaldTrump do you REALLY expect anyone to inject themselves with your snake oil version of a rushed to marke… https://t.co/uyokenZqNz","[]",0.2,0.2,0,0,"realDonaldTrump do you REALLY expect anyone to inject themselves with your snake oil version of a rushed to marke ","['realdonaldtrump']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10229,0.086062654688599,"Phoenix, AZ","Verbose Turophile",36,74,2309,"False",2020-03-09,"@KatieHill4CA It's going to be the best vaccine. Nobody knows more about vaccines than I do, which I've been lookin… https://t.co/d5rWKPFA3q","[]",0.75,0.4,0,0,"KatieHill4CA Its going to be the best vaccine Nobody knows more about vaccines than I do which Ive been lookin ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14817,1.55378801067494e-08,"RNA World","RNA(i) Therapeutics Investor-Scientist who loves to trade and tweet about biotech stocks

Not investment advice.
 
 

 .",9374,342,7341,"False",2020-03-09,"Sanofi-GSK rec protein #covidvaccine...have distinct impression $NVAX nanoparticle formulation more potent...Sanofi… https://t.co/XhJ2lBZlqV","['covidvaccine']",0.4,0.4,0,0,"SanofiGSK rec protein covidvaccinehave distinct impression NVAX nanoparticle formulation more potentSanofi ","['sanofigsk', 'nvax']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14861,0.0196491845794491,"Philadelphia, PA","Female, self-healer advocating for #socialequality, #dataprivacy, #patientcare, #airights, #womenempowerment & achieving attainable #transformation.",20,79,365,"False",2020-03-09,"The two adenoviruses being used as a base for the COVID-19 vaccine 👇. 

How a large scale of people already have im… https://t.co/rar2qzlFBB","[]",-0.292857142857143,0.714285714285714,0,0.166666666666667,"The two adenoviruses being used as a base for the COVID19 vaccine  

How a large scale of people already have im ","['covid19']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18180,0.10194826622213,"Noida, India","One stop platform that tracks all breaking news & analysis of the pulsating healthcare industry.",6010,890,249,"True",2020-03-11,"ETHealthworld | Bahrain announces emergency approval for use of Covid-19 vaccine candidate #CovidVaccine… https://t.co/4b3Hek8gpX","['CovidVaccine']",0,0,0,0,"ETHealthworld  Bahrain announces emergency approval for use of Covid19 vaccine candidate CovidVaccine ","['ethealthworld', 'bahrain', 'covid19', 'covidvaccine']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
