"X","misinformation","dominant_topic","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media","year","month","day","day_of_week"
2,0.180259815306366,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",40,0,0,"False",2022-03-10,"45+ # RURAL # Bengaluru # Availability 10/03 08:30AM FREE Slots 0 PAID Slots 0","['RURAL', 'Bengaluru', 'CovidVaccine']",0.2,0.4,0.133333333333333,0.266666666666667,"45  RURAL  Bengaluru  Availability 1003 0830AM FREE Slots 0 PAID Slots 0","['rural bengaluru', 'free', 'paid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,3,10,"Thu"
107,0.193349613187915,"Mask","Bridgeport, WV","father 2 , husband , CRNA",51,205,429,"False",2022-04-05,"# ’ recovering , home without oxygen supplementation need hospitalization , thankful # # booster protection provided .","['COVID19', 'CovidVaccine', 'booster']",0,0,0,0,"  recovering  home without oxygen supplementation need hospitalization  thankful   booster protection provided ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4,5,"Tue"
354,0.163953145003177,"Vaccine Mandate","Mumbai","Hauterrfly millennial woman ’ space . Unapologetic , proud opinionated Hauterfly taking stand things relevant trending .",3449,3331,2508,"False",2022-03-24,"US-based company filed 950 million US dollar lawsuit Namita Thapar ’ Emcure Pharmaceuticals Washington federal court using formula . # Hauterrfly # NamitaThapar # emcurepharmaceuticals # ","['Hauterrfly', 'NamitaThapar', 'emcurepharmaceuticals', 'CovidVaccine']",0,0,0.6,0.95,"USbased company filed 950 million US dollar lawsuit Namita Thapar  Emcure Pharmaceuticals Washington federal court using formula   Hauterrfly  NamitaThapar  emcurepharmaceuticals  ","['namita thapar emcure pharmaceuticals washington', 'hauterrfly namitathapar']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,3,24,"Thu"
361,0.198631150258966,"Gratitude and Optimism","Dublin City, Ireland","Anyone job ... one",54,238,2124,"False",2022-03-13,"@ SimonHarrisTD @ LeoVaradkar forever indebted & ; advisors & ; @ CMOIreland @ ronan_glynn # Holohan truly get us # rainbow thank time # ThankYou ","['Holohan', 'CovidVaccine', 'ThankYou']",0,0,0,0," SimonHarrisTD  LeoVaradkar forever indebted   advisors    CMOIreland  ronanglynn  Holohan truly get us  rainbow thank time  ThankYou ","['simonharristd', 'leovaradkar', 'cmoireland', 'holohan', 'thankyou']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,3,13,"Sun"
401,0.194950221623062,"Vaccination Experiences","Dallas, TX","Veteran Owned Pro GOD🙏 American🇺🇸 US NAVY🏴‍☠️ TEXAN 🇨🇱 Podcast :  YouTube : …",181,350,644,"False",2022-03-10,"? # usnavy # usnavyseals # usnavyveteran # # # vaccinemandate # # # lies # bidensamerica # bidensucks # usmilitary # usmilitarynews ","['usnavy', 'usnavyseals', 'usnavyveteran', 'covid', 'covid19', 'vaccinemandate', 'vaccines', 'covidvaccine', 'lies', 'bidensamerica', 'bidensucks', 'usmilitary', 'usmilitarynews']",0,0,0,0,"  usnavy  usnavyseals  usnavyveteran    vaccinemandate    lies  bidensamerica  bidensucks  usmilitary  usmilitarynews ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,3,10,"Thu"
410,0.202244540640483,"Clinic Updates and Information","Plymouth","award winning social enterprise providing integrated health social care services Plymouth , South Hams West Devon .",10192,623,3303,"True",2022-03-31,"rates still high # Plymouth . Please come forward . 's never late protect loved ones . come along session @ plymouthmarket ⬇ # # # covidvaccination ","['Plymouth', 'covid', 'covidvaccine', 'covidvaccination']",0.336666666666667,0.646666666666667,0.188888888888889,0.294444444444444,"rates still high  Plymouth  Please come forward  s never late protect loved ones  come along session  plymouthmarket     covidvaccination ","['plymouth']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,3,31,"Thu"
491,0.180582061252814,"Mask","Australia","Supports struggle people every country war takeover nation NEW WORLD ORDER , , super-rich & banks .",935,1112,2088,"False",2022-03-13,"ANYONE EVER ASK THINK REDUCING WORLD POPULATION ? BET N'T . # auspol # ","['auspol', 'CovidVaccine']",0,0,0.136363636363636,0.454545454545455,"ANYONE EVER ASK THINK REDUCING WORLD POPULATION  BET NT   auspol  ","['anyone', 'bet']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,3,13,"Sun"
499,0.181525838084031,"Clinic Updates and Information","Islington, London","Islington Council news , updates enquiries . 're 9am-5pm Mon-Fri. Get news events straight inbox : ",30984,869,6044,"True",2022-03-19,"latest times dates # clinics weekend website . ’ never late get 1st , 2nd Booster # . ➡️  ","['CovidVaccine', 'vaccine']",0.216666666666667,0.5,0.2,0.4,"latest times dates  clinics weekend website   never late get 1st  2nd Booster     ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,3,19,"Sat"
19005,0.178061363677317,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",40,0,0,"False",2022-03-10,"18-44 # BBMP # Bengaluru # Availability 10/03 10:00AM FREE Slots # COVISHIELD - Dose1:6414 , Dose2:12 # COVAXIN - Dose1:13 , Dose2:11 PAID Slots # COVISHIELD - Dose1:2411 , Dose2:49 # SPUTNIKV - Dose1:210 , Dose2:1080","['BBMP', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN', 'COVISHIELD', 'SPUTNIKV']",0.4,0.8,0.1333333,0.2666667,"1844  BBMP  Bengaluru  Availability 1003 1000AM FREE Slots  COVISHIELD  Dose16414  Dose212  COVAXIN  Dose113  Dose211 PAID Slots  COVISHIELD  Dose12411  Dose249  SPUTNIKV  Dose1210  Dose21080","['bbmp bengaluru', 'free slots', 'covishield dose16414 dose212', 'dose113 dose211', 'slots covishield dose12411 dose249']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,3,10,"Thu"
29101,0.186066477743155,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",40,0,0,"False",2022-03-15,"45+ # RURAL # Bengaluru # Availability 15/03 04:30PM FREE Slots 0 PAID Slots 0","['RURAL', 'Bengaluru', 'CovidVaccine']",0.2,0.4,0.1333333,0.2666667,"45  RURAL  Bengaluru  Availability 1503 0430PM FREE Slots 0 PAID Slots 0","['rural bengaluru', 'free', 'paid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,3,15,"Tue"
