"X","misinformation","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
384,0.0841541651168436,"Pune, India","I am a Director at MarkoMon Impex Pvt. Ltd., an E-commerce company.",3860,1046,275769,"False",2020-05-11,"#BharatBiotech’s #Covaxin could be launched in February: Govt scientist👨🏽‍🔬
https://t.co/tH0gPuMsEU
#COVID19… https://t.co/r2lhS9cYBS","['BharatBiotech', 'Covaxin', 'COVID19']",0,0,0,0,"BharatBiotechs Covaxin could be launched in February Govt scientist

COVID19 ","['bharatbiotechs', 'covaxin', 'covid19']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
526,0.0516507235213597,"Noida, India","One stop platform that tracks all breaking news & analysis of the pulsating healthcare industry.",6010,890,249,"True",2020-05-11,"ETHealthworld | India-made Covid-19 vaccine could be launched as early as February: Government scientist… https://t.co/LHaqRXyO0T","[]",0.1,0.3,0,0,"ETHealthworld  Indiamade Covid19 vaccine could be launched as early as February Government scientist ","['ethealthworld', 'indiamade covid19', 'february']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323,0.126161792277969,"Boardroom","Chief Content Mixer|FC Writer|CDM|MoneyIsIdentity #Fintech #Banking #InclusionandEducation #Insurtech #Diversity #AI #Space #Ocean #Energy #Sustainability #Chai",1573,748,82547,"False",2020-05-11,"Gold rush for a #CovidVaccine

A pandemic that has taken lakhs of lives should not be deemed as an occasion fit for… https://t.co/61DNSU7eHk","['CovidVaccine']",0.4,0.4,0,0,"Gold rush for a CovidVaccine

A pandemic that has taken lakhs of lives should not be deemed as an occasion fit for ","['gold']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2419,0.103880611946734,"","Physician",42,2,8196,"False",2020-05-11,"@realDonaldTrump Is it about the #CovidVaccine 🙌👌","['CovidVaccine']",0,0,0,0,"realDonaldTrump Is it about the CovidVaccine ","['realdonaldtrump', 'covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11921,0.00484687769390276,"Varanasi, India","I used to love my old twitter account, then everyone from work found me.....
 ⛔proud to be ⏩#indian
following @livelawindia and @indiatoday
@barandbench",10,70,215,"False",2020-05-11,"Serum Institute of India pune (SII) Adar poonawala said that Oxford vaccine could be available India soon after fin… https://t.co/wPp0crcKUC","[]",0.4,0.4,0.2,0.3,"Serum Institute of India pune SII Adar poonawala said that Oxford vaccine could be available India soon after fin ","['serum institute', 'india', 'sii adar', 'oxford', 'india']",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12633,0.0445601466270858,"Silicon Valley native","Former @potus admin US Chief Medical Officer & @HHSGov Chair of #PainTaskForce I @stanfordanes MD - @UCBerkeley Molecular Bio | #Pain doc views=own 🇺🇸🇺🇸USA",3358,1852,8154,"False",2020-05-11,"Thank you to all the brave trial participants who are putting themselves at risk to help our scientists produce a l… https://t.co/UQPDVKnxUy","[]",0.8,1,0,0,"Thank you to all the brave trial participants who are putting themselves at risk to help our scientists produce a l ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14600,0.571465504825745,"From Rajasthan","Tweets are personal views▫️I don't believe in Caste, Religeon and Language based Politics▫️Centrist",62,30,657,"False",2020-05-09,"Best of luck Nigeria #CovidVaccine #Covid_19 https://t.co/KtRYVA4iiN","['CovidVaccine', 'Covid_19']",1,0.3,0,0.3,"Best of luck Nigeria CovidVaccine Covid19 ","['nigeria']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18133,0.13614338539937,"","Official Campus Ambassador at International MUN",2,66,10,"False",2020-05-09,"#CovidVaccine 
#hope 
#pray

It's really a matter of concern. Just hoping for the best. https://t.co/WpHAVE32GB","['CovidVaccine', 'hope', 'pray']",0.6,0.25,0,0,"CovidVaccine 
hope 
pray

Its really a matter of concern Just hoping for the best ","['covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24425,0.0752916785293403,"India","Political & Social Analyst. #IndiaFirst Privilege - PM @narendramodi ji follows me. All views are Strictly Personal. RTs are not endorsements #VandeMataram",8304,177,30751,"False",2020-05-11,"India-made Covid vaccine could be launched as early as February 2021. Govt Scientists. #CovidVaccine… https://t.co/a19V8Igh96","['CovidVaccine']",0.1,0.3,0.0111111111111111,0.155555555555556,"Indiamade Covid vaccine could be launched as early as February 2021 Govt Scientists CovidVaccine ","['indiamade', 'covid', 'covidvaccine']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25146,0.096332341970641,"Ottawa, Ontario, Canada","Chauffeur / event manager / business booster / innovator / recruiter  
(Toronto, Ottawa, Montreal) #whiteshirtmovement",1869,2144,7442,"False",2020-05-09,"#whiteshirtmovement Why is it that the experts say that children will be the last to get the #CovidVaccine ?","['whiteshirtmovement', 'CovidVaccine']",0,0.0666666666666667,0,0,"whiteshirtmovement Why is it that the experts say that children will be the last to get the CovidVaccine ","['covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
