"X","misinformation","dominant_topic","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media","year","month","day","day_of_week"
24,0.189426157004344,"Government Response","India","Import business snd social worker Support Congress 🇮🇳",1394,1546,51552,"False",2021-05-25,"@ BJP4India already facing shortage # many us got","['CovidVaccine']",0.5,0.5,0.0333333333333333,0.0666666666666667," BJP4India already facing shortage  many us got","['bjp4india']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,5,25,"Tue"
32,0.17979719952691,"Education","बारीपदा, भारत","",27,304,532,"False",2021-05-28,"Fact vs myths . # COVID19India # ","['COVID19India', 'CovidVaccine']",0,0,0,0,"Fact vs myths   COVID19India  ","['fact', 'covid19india']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,5,28,"Fri"
98,0.145420499680071,"US government","Luton to nowhere 2007","TBI nearly walking/talking put hep c meds drained strengh , cant use limbs little finger n need hoist future uncertain",554,1553,8479,"False",2021-05-27,"@ TheCrick @ BIOASTER @ uniofleicester # # CoronaVaccine dangerous2 # TBI # hepc # disabled # MutantFam @ BorisJohnson @ MattHancock @ CMO_England 😷 @ DAVEYSUICIDE @ petedoherty thoughts ? # HepCantWait @ BrokenByTheNHS @ thepenof @ robertBird5 # DisabilityTwitter # # NHS @ HepatitisCTrust","['COVID19', 'CoronaVaccine', 'TBI', 'hepc', 'disabled', 'MutantFam', 'HepCantWait', 'DisabilityTwitter', 'CovidVaccine', 'NHS']",-0.2,0.3,-0.0291666666666667,0.341666666666667," TheCrick  BIOASTER  uniofleicester   CoronaVaccine dangerous2  TBI  hepc  disabled  MutantFam  BorisJohnson  MattHancock  CMOEngland   DAVEYSUICIDE  petedoherty thoughts   HepCantWait  BrokenByTheNHS  thepenof  robertBird5  DisabilityTwitter   NHS  HepatitisCTrust","['coronavaccine', 'tbi', 'mutantfam', 'cmoengland', 'hepcantwait', 'robertbird5', 'disabilitytwitter']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,5,27,"Thu"
141,0.178439277329165,"Mask","Maryland","Flowbee enthusiast . Life coach . tweets ’ looking .",997,911,24111,"False",2021-05-25,"Drinking bleach real reason numbers decreasing . #","['CovidVaccine']",0.2,0.3,0,0,"Drinking bleach real reason numbers decreasing  ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,5,25,"Tue"
169,0.160950068681595,"Mask","Bengaluru, India","Providing quality primary care financial protection 600 million Indians !",379,41,188,"False",2021-05-24,"Waiting turn # 💉 following safety protocols site - social distancing , compulsory # MasksOn sanitisers . Going Strong 💪 ","['CovidVaccine', 'MasksOn']",0.155555555555556,0.3,0.2,0.25,"Waiting turn   following safety protocols site  social distancing  compulsory  MasksOn sanitisers  Going Strong  ","['maskson', 'strong']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,5,24,"Mon"
173,0.197666232241514,"Case/Vaccination Statistics","Islamabad.Pakistan","Host Political show 10Tak GTV Pakistan , journalist Pol . Foreign affairs Analyst/ Views expressed personal . RT equal endorsement .",4559,813,13981,"False",2021-05-24,"@ nytimes report @ salmanmasood highlights grey areas # Pakistan ... @ OfficialNcoc may take notice ... chill ... .. every one govt making money.. # VaccinationForAll state responsibility ... ","['CovidVaccine', 'VaccinationForAll']",-0.05,0.1,-0.03125,0.19375," nytimes report  salmanmasood highlights grey areas  Pakistan   OfficialNcoc may take notice  chill   every one govt making money  VaccinationForAll state responsibility  ","['pakistan', 'vaccinationforall']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,5,24,"Mon"
304,0.133532540340562,"COVID-19 in India","Gurgaon 🌍 🌏 🌎 world","Diversified Consultant…Designer…Interior…Furniture…Fashion…Green+Smart Architecture+Techs…❤️Nature…Unity , Honest Productive Governance…Historian…Foodie…Writing…",6605,4906,81559,"False",2021-05-24,"New guideline # # VaccineGap : First Dose Second Dose  ","['COVIDVaccine', 'VaccineGap']",0.128787878787879,0.262626262626263,0.6,0.9,"New guideline   VaccineGap  First Dose Second Dose  ","['new', 'vaccinegap']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,5,24,"Mon"
321,0.157047772929225,"US government","Johannesburg South Africa","Ex-SAPS| Current COO South Africa 's Leading Financial Crimes Investigation CO|RT endorsement",1284,660,973,"False",2021-05-25,"@ FraudWatchZA let ’ call # Fraud # CORRUPTION # # EVDS evident administering complicit facilitating . Systems fail last line audit person injecting @ GautengHealth ","['Fraud', 'CORRUPTION', 'CovidVaccine', 'EVDS']",-0.0833333333333333,0.205555555555556,0,0.2," FraudWatchZA let  call  Fraud  CORRUPTION   EVDS evident administering complicit facilitating  Systems fail last line audit person injecting  GautengHealth ","['fraudwatchza', 'fraud', 'corruption', 'systems', 'gautenghealth']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,5,25,"Tue"
339,0.124974673125639,"Education","Nashik, India","Dream Trillion",70,206,122,"False",2021-05-25,"understand theory behind clicking photo getting vaccinated receipt par # ModiJi ki photo hogi… tumhari photo kahi ho . # # CovidVaccineIndia","['ModiJi', 'CovidVaccine', 'CovidVaccineIndia']",-0.4,0.7,0,0,"understand theory behind clicking photo getting vaccinated receipt par  ModiJi ki photo hogi tumhari photo kahi ho    CovidVaccineIndia","['modiji', 'covidvaccineindia']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,5,25,"Tue"
344,0.19795388856939,"Government Response","United States","Hi , professional Graphic designer , Photo editor & Logo designer .I responsible finish work time .",53,224,12,"False",2021-05-25,"Introduction Max Gains offer specialized support workouts range dietary supplements . range dietary supplements designed cater specialized areas workout goals. # # health # USA ","['CovidVaccine', 'health', 'USA']",0,0,0.1,0.35,"Introduction Max Gains offer specialized support workouts range dietary supplements  range dietary supplements designed cater specialized areas workout goals   health  USA ","['usa']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,5,25,"Tue"
