"X","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
49,"UK","The JHI is the official journal of the Healthcare Infection Society. We are global leaders in the publication of research relating to all aspects of IPC.",3525,262,1299,"False",2022-05-25,"In press: #COVID19 vaccination strategy for hospital staff in Germany: a cross-sectional study in March-April 2021.
https://t.co/m7azVlu19R
#vaccination #COVIDvaccine https://t.co/dw4g0Cndi8","['COVID19', 'vaccination', 'COVIDvaccine']",0,0,0,0,"In press COVID19 vaccination strategy for hospital staff in Germany a crosssectional study in MarchApril 2021

vaccination COVIDvaccine ","['covid19', 'germany', 'covidvaccine']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"","SHUT UP",20234,102,9090,"False",2022-05-30,"Mask phenna abhi bhi hai zaruri, aur vaccine bhi so go and get yourself vaccinated asap if you haven’t already 
#JeeloDobara #GetVaccinated #CovidVaccine","['JeeloDobara', 'GetVaccinated', 'CovidVaccine']",0,0,0,0,"Mask phenna abhi bhi hai zaruri aur vaccine bhi so go and get yourself vaccinated asap if you havent already 
JeeloDobara GetVaccinated CovidVaccine","['mask', 'jeelodobara']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"Blackpool, Fylde & Wyre, Lancs","Latest news from #Blackpool Teaching Hospitals. Not monitored 24/7. For health assistance dial 111. Please support our charity @BlueSkiesFund
https://t.co/3J5nx57Nt2",12729,1948,18654,"True",2022-05-24,"""""It wasn't the same with virtual lessons as being in school. It's nice to be able to get back out there and talk to people.""""

Noah, 13 had his #CovidVaccine and is glad to feel better being around his friends and family

Book or walk in for yours today: https://t.co/bwKZtEPPRQ https://t.co/wqE4JoRU0X","['CovidVaccine']",0.35,0.541666666666667,0.5,0.9,"It wasnt the same with virtual lessons as being in school Its nice to be able to get back out there and talk to people

Noah 13 had his CovidVaccine and is glad to feel better being around his friends and family

Book or walk in for yours today  ","['covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
227,"Richmond, Virginia","News where you live. 
Share news tips: (804) 330-8888 or email us at news@wric.com 
Like us on Facebook: 8News",106054,1645,10182,"True",2022-05-22,"#COVID boosters now available for children ages 5 to 11 years old in #Virginia. https://t.co/Nm2JJKxPVf

#Health #Covid19 #COVIDvaccine #Virginianews","['COVID', 'Virginia', 'Health', 'Covid19', 'COVIDvaccine', 'Virginianews']",0.25,0.3,-0.306818181818182,0.75,"COVID boosters now available for children ages 5 to 11 years old in Virginia 

Health Covid19 COVIDvaccine Virginianews","['covid', 'virginia', 'covid19 covidvaccine virginianews']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654,"Australia","trust and fly",32,77,252,"False",2022-05-13,"NSW Health statistics for week ending 7th May shows over 60% of all covid deaths are at least triple jabbed. 
#covid #covidvaccine #covidvaccinedeathrisk #Undeniable https://t.co/vqiXEH97Sr","['covid', 'covidvaccine', 'covidvaccinedeathrisk', 'Undeniable']",-0.3,0.4,0.8,0.9,"NSW Health statistics for week ending 7th May shows over 60 of all covid deaths are at least triple jabbed 
covid covidvaccine covidvaccinedeathrisk Undeniable ","['nsw']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
954,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",39,0,0,"False",2022-05-25,"45+ #BBMP #Bengaluru #CovidVaccine Availability for 25/05 at 11:30AM
FREE Slots 0
PAID Slots 0","['BBMP', 'Bengaluru', 'CovidVaccine']",0.4,0.8,0.2,0.4,"45 BBMP Bengaluru CovidVaccine Availability for 2505 at 1130AM
FREE Slots 0
PAID Slots 0","['bbmp bengaluru', 'free', 'paid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,"Canada","Canada's Fitness for Duty experts and provider of workplace medical testing and assessments.",1079,1378,3331,"False",2022-06-01,"A timely article from @CBCNews that shares advice from experts on: what you can expect if you get COVID 🦠  and how you can take care of yourself at home. 👨‍👩‍👦

#TakeControl #COVIDdetect #PeaceOfMind #COVIDTesting #COVID19 #COVIDVaccine #RapidAntigenTest

https://t.co/3NoniVziz1","['TakeControl', 'COVIDdetect', 'PeaceOfMind', 'COVIDTesting', 'COVID19', 'COVIDVaccine', 'RapidAntigenTest']",0,0,0,0,"A timely article from CBCNews that shares advice from experts on what you can expect if you get COVID   and how you can take care of yourself at home 

TakeControl COVIDdetect PeaceOfMind COVIDTesting COVID19 COVIDVaccine RapidAntigenTest

","['cbcnews', 'covid', 'takecontrol']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",39,0,0,"False",2022-05-20,"45+ #RURAL #Bengaluru #CovidVaccine Availability for 20/05 at 08:30AM
FREE Slots 0
PAID Slots 0","['RURAL', 'Bengaluru', 'CovidVaccine']",0.2,0.4,0.2,0.4,"45 RURAL Bengaluru CovidVaccine Availability for 2005 at 0830AM
FREE Slots 0
PAID Slots 0","['rural bengaluru', 'free', 'paid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1338,"Phoenix, AZ","Providertech automates healthcare workflows to send text and voice messages leading to improved outcomes and enhanced patient engagement.",173,207,6946,"False",2022-06-03,"For those that got the J&amp;J vaccine, the question of immunity is all but certain. 
#COVIDVaccine #COVID19 #COVID_19 #healthcare
https://t.co/VKCA6c4tkb","['COVIDVaccine', 'COVID19', 'COVID_19', 'healthcare']",0.214285714285714,0.571428571428571,0,0,"For those that got the JampJ vaccine the question of immunity is all but certain 
COVIDVaccine COVID19 COVID19 healthcare
","['jampj', 'covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1463,"Change Your Life ➨","Ask yourself these three questions, Tatiana Metanova, and you will know who you are. Ask: What do believe in? What do you hope for? What do you love?",302,20,43006,"False",2022-05-13,"Here's When COVID Will End, Experts Predict

#covidvaccine #health #coronavirustips #coronavirus #news
https://t.co/TRc1fkly0w","['covidvaccine', 'health', 'coronavirustips', 'coronavirus', 'news']",0,0,0.5,0.6,"Heres When COVID Will End Experts Predict

covidvaccine health coronavirustips coronavirus news
","['covid will']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
