"X","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
1,"Chicago","Official Twitter of Mercy Home for Boys & Girls, a solution for kids in crisis since 1887.",4352,2087,1780,"True",2021-12-03,"We asked our coworkers why they're getting a COVID-19 vaccine. 😷 

#FeelGoodFriday #MercyHomeCares #Covid19… https://t.co/pQluEcDum4","['FeelGoodFriday', 'MercyHomeCares', 'Covid19']",0,0,0,0,"We asked our coworkers why theyre getting a COVID19 vaccine  

FeelGoodFriday MercyHomeCares Covid19 ","['covid19', 'mercyhomecares covid19']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"India","Follow us for news, photos, videos and the latest trends from India and around the world. http://t.co/IZXefx3rSt",2232084,373,110,"True",2021-12-04,"DNA: Top News of the Day | April 12, 2021

#COVID19 #coronavirus #SputnikV #COVIDVaccine #Delhi #BAFTA #IPL2021… https://t.co/XsSxjURu1O","['COVID19', 'coronavirus', 'SputnikV', 'COVIDVaccine', 'Delhi', 'BAFTA', 'IPL2021']",0.5,0.5,0.5,0.9,"DNA Top News of the Day  April 12 2021

COVID19 coronavirus SputnikV COVIDVaccine Delhi BAFTA IPL2021 ","['dna', 'top news', 'covid19', 'sputnikv', 'delhi bafta']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,"","Mom | Wife| MIS/bariatric surgeon @UFSurgery | MPH 🚧 | Passion for health equity | Views are mine 🙋🏽‍♀️ #ForeverToThee #Wahoowa #GoGators #LiftAsYouClimb",1050,712,8404,"False",2021-12-01,"My experience following dose #2 of the Pfizer-BioNTech #CovidVaccine has not been as pleasant as after dose #1, but… https://t.co/yaQvoUfoQF","['CovidVaccine']",0.366666666666667,0.533333333333333,0,0,"My experience following dose 2 of the PfizerBioNTech CovidVaccine has not been as pleasant as after dose 1 but ","['pfizerbiontech']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",32,0,0,"False",2021-11-15,"18-44 #RURAL #Bengaluru #CovidVaccine Availability for 15/11 at 10:00AM
FREE Slots 
#COVISHIELD - Dose1:101, Dose2:750
#COVAXIN - Dose1:744, Dose2:749
PAID Slots 
#COVISHIELD - Dose1:50, Dose2:46","['RURAL', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN', 'COVISHIELD']",0.2,0.4,0.2,0.4,"1844 RURAL Bengaluru CovidVaccine Availability for 1511 at 1000AM
FREE Slots 
COVISHIELD  Dose1101 Dose2750
COVAXIN  Dose1744 Dose2749
PAID Slots 
COVISHIELD  Dose150 Dose246","['rural bengaluru', 'free slots', 'covishield dose1101 dose2750', 'slots covishield dose150 dose246']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"Reston, Virginia","GWU MPH in public health communications; work at US Pharmacopeia; PBS NewsHour & Duke alum; knit, weave, sew. Opinions mine alone. she/her",1556,1631,19618,"False",2021-12-03,"@forbestonow @MollyJongFast @USPharmacopeia Patricia Slattum – uses the toolkit as vaccine administrator for the Vi… https://t.co/c5IixGP2HS","[]",0,0,0,0.0666666666666667,"forbestonow MollyJongFast USPharmacopeia Patricia Slattum  uses the toolkit as vaccine administrator for the Vi ","['mollyjongfast', 'patricia slattum']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"Somewhere on earth, I think.","The pursuit of #Continuous #Progressive #Improvement. Informative, thought-provoking and sometimes off the cuff tweets.",391,233,2358,"False",2021-11-24,"#CovidVaccine 
#VaccinePassports 
#StopVaccinePassports 
#Tyranny 
#ItWasNeverAboutSafety 

This 👇👇👇 https://t.co/hMujyWEbZw","['CovidVaccine', 'VaccinePassports', 'StopVaccinePassports', 'Tyranny', 'ItWasNeverAboutSafety']",0,0,0.4,0.3,"CovidVaccine 
VaccinePassports 
StopVaccinePassports 
Tyranny 
ItWasNeverAboutSafety 

This  ","['covidvaccine', 'vaccinepassports', 'tyranny itwasneveraboutsafety']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,"Edinburgh, Scotland","Proud mum of one. Passionate about preserving our beautiful planet, the great outdoors & delivering digital health & care solutions that make a difference.",211,451,19279,"False",2021-11-11,"Covid booster done, no hanging about, good banter with Royal Navy jabbers, job very well done! Thanks @NHS_Lothian @NHSNSS #CovidVaccine #nhsscotland https://t.co/O1UX75kiav","['CovidVaccine', 'nhsscotland']",0.383333333333333,0.366666666666667,0.48,0.72,"Covid booster done no hanging about good banter with Royal Navy jabbers job very well done Thanks NHSLothian NHSNSS CovidVaccine nhsscotland ","['covid', 'royal navy', 'thanks nhslothian']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,"Global","EHS Professional I Lead Assessor I Safety Expert | Researcher I Marathon Runner I Cyclist | 🏊🚴🏃🏏 | Views personal",4864,2656,4976,"False",2021-11-14,"Even after you’re vaccinated, keep taking precautions #Covid_19 #vaccinated #CovidVaccine #COVIDBooster https://t.co/A6fV3xbMqp","['Covid_19', 'vaccinated', 'CovidVaccine', 'COVIDBooster']",0,0,0.05,0.2,"Even after youre vaccinated keep taking precautions Covid19 vaccinated CovidVaccine COVIDBooster ","['covid19', 'covidvaccine']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196,"Bristol, England","Independent Pharmacy in Longwell Green,South Glos.Providing NHS & Private services.Passionately caring for our community.We are @BrisTravClinic 💉✈️🏖️",214,348,1175,"False",2021-12-04,"The Covid-19 vaccination program continues to progress well, and people who are running scams know this too. The… https://t.co/h4M5FHGu7x","[]",0,0,0,0.25,"The Covid19 vaccination program continues to progress well and people who are running scams know this too The ","['covid19']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,"Ontario, BC and Alberta","One of Canada's largest and most effective #employmentlaw, labour and #disabilitylaw firms • #DiscoverYourRights",1764,1077,2319,"False",2021-11-15,"Canadian Employment lawyer Chris Justice is LIVE and discussing your workplace rights.  Join us and discover your workplace rights  https://t.co/T7AGgtY5wl #Employmentlaw #Canada #Employment #COVIDVaccine #Vaccination","['Employmentlaw', 'Canada', 'Employment', 'COVIDVaccine', 'Vaccination']",0.136363636363636,0.5,0.55,0.65,"Canadian Employment lawyer Chris Justice is LIVE and discussing your workplace rights  Join us and discover your workplace rights   Employmentlaw Canada Employment COVIDVaccine Vaccination","['canadian', 'employment', 'chris justice', 'live', 'employmentlaw canada']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
