"X","misinformation","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
29585,5.12220740332663e-09,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",38,0,0,"False",2022-12-05,"18-44 #RURAL #Bengaluru #CovidVaccine Availability for 12/05 at 07:00AM
FREE Slots 
#COVISHIELD - Dose1:0, Dose2:1
PAID Slots 0","['RURAL', 'Bengaluru', 'CovidVaccine', 'COVISHIELD']",0.2,0.4,0.2,0.4,"1844 RURAL Bengaluru CovidVaccine Availability for 1205 at 0700AM
FREE Slots 
COVISHIELD  Dose10 Dose21
PAID Slots 0","['rural bengaluru', 'free slots', 'covishield dose10 dose21']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42985,0.0952846404777234,"USA","Andhravilas Gives you  #Tollywood #Bollywood film News,#AndhraPradesh #Telangana News,#National    #Health #Business  #Trending Visit
https://t.co/vJFjY4CwOT",2607,92,27,"False",2022-12-06,"Vigil App, cops in plainclothes: Goa drive to make its beaches clean and safe https://t.co/3nrvUpB1Dw #CovidVaccine #Breakingnews #Indiapolitics #AndhraPolitics #NewsFeed #RadheShyam #KCR #Lockdown 

Panaji, June 12 - Focusing on the revival of tourism after the drop due to th…","['CovidVaccine', 'Breakingnews', 'Indiapolitics', 'AndhraPolitics', 'NewsFeed', 'RadheShyam', 'KCR', 'Lockdown']",0.247222222222222,0.525,0,0,"Vigil App cops in plainclothes Goa drive to make its beaches clean and safe  CovidVaccine Breakingnews Indiapolitics AndhraPolitics NewsFeed RadheShyam KCR Lockdown 

Panaji June 12  Focusing on the revival of tourism after the drop due to th","['vigil', 'app', 'covidvaccine breakingnews indiapolitics', 'panaji']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61302,0.0930499765741479,"Mohali, India","Official Twitter account of PTC NEWS, the leading Punjabi News channel, a source of all news related to Punjab and Punjabiyat worldwide.",42880,6,205,"True",2022-12-01,"#Covaxin can neutralise #Delta, #Omicron variants of #Covid19: #BharatBiotech

#Covid
#CovidVaccine 
#CovidVaccination 

https://t.co/OQq0ltU2va","['Covaxin', 'Delta', 'Omicron', 'Covid19', 'BharatBiotech', 'Covid', 'CovidVaccine', 'CovidVaccination']",0,0,0,0.4,"Covaxin can neutralise Delta Omicron variants of Covid19 BharatBiotech

Covid
CovidVaccine 
CovidVaccination 

","['covaxin', 'delta omicron', 'covid19 bharatbiotech covid']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80756,0.204097440287108,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",38,0,0,"False",2022-12-04,"45+ #BBMP #Bengaluru #CovidVaccine Availability for 12/04 at 05:30PM
FREE Slots 0
PAID Slots 0","['BBMP', 'Bengaluru', 'CovidVaccine']",0.4,0.8,0.2,0.4,"45 BBMP Bengaluru CovidVaccine Availability for 1204 at 0530PM
FREE Slots 0
PAID Slots 0","['bbmp bengaluru', 'free', 'paid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0.112137012412768,"St Louis, MO, Planet Earth","Space & Rehab (Space Rehab!) Simulation & safety. Scicomm. STEAM mentorship. Access & Equity. Live, love & care for others. You Have Powers. Use Them for Good.",2901,722,46666,"False",2022-12-01,"This could have been the US. 
It could have been everyone on Earth.
For those of us still here, it can be. 
For the sake of everyone we know and everyone we don't: get vaccinated &amp; boosted. 
Ask everyone you know &amp; don't know to do the same.

#COVID19 #CovidVaccine #VaccinesWork https://t.co/uQ98IjZTWA","['COVID19', 'CovidVaccine', 'VaccinesWork']",0,0.125,0.445454545454545,0.566666666666667,"This could have been the US 
It could have been everyone on Earth
For those of us still here it can be 
For the sake of everyone we know and everyone we dont get vaccinated amp boosted 
Ask everyone you know amp dont know to do the same

COVID19 CovidVaccine VaccinesWork ","['covid19']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1.02066665553796e-08,"Maryland, USA","What is science, and how does it work? What are the limits of science? What masquerades as science? Why do some people attack science? Why should you care?",26694,25615,7438,"False",2022-12-05,"How can you even do science in this environment? #COVID19vaccine #COVIDvaccine Please click on the link: https://t.co/pbXlfCJN8f https://t.co/rQbIbxktW2","['COVID19vaccine', 'COVIDvaccine']",0,0,0,0,"How can you even do science in this environment COVID19vaccine COVIDvaccine Please click on the link  ","['covid19vaccine']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,9.93205239913790e-09,"England 🇬🇧   Australia 🇦🇺","Thankyou to those who are following me❤ I love #photography📸 #travelling 🛫enjoying life 🥂 and a good cup of coffee ☕ 🚫DM
       


 ",736,618,79657,"False",2022-11-09,"@Sgtnewsnetwork It takes courage to stand up to the Government. Well done!
#covidvaccine","['covidvaccine']",0,0,0.4,0.433333333333333,"Sgtnewsnetwork It takes courage to stand up to the Government Well done
covidvaccine","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,0.229870908541996,"South","HCP, teacher, wife to HCP, Mom, Daughter, Sister. Sharing  information and life.",50,533,2972,"False",2022-12-01,"Grateful n thankful to have the sweetest husband n best friend caring for me while I recover from COVID.  #CovidVaccine","['CovidVaccine']",1,0.3,0,0,"Grateful n thankful to have the sweetest husband n best friend caring for me while I recover from COVID  CovidVaccine","['grateful', 'covid']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,1.00124678151317e-09,"𝓟𝓞𝓦𝓔𝓡 𝑜𝒻 𝓎𝑜𝓊𝓇 𝒷𝑜𝒹𝓎'𝓈 𝔹𝕚𝕠𝔼𝕟𝕖𝕣𝕘𝕪 ➔","Make the most of yourself....for that is all there is of you. 🇺🇸",96,67,3269,"False",2022-12-05,"Virus Expert Just Warned of Possible New Surge

#news #covidvaccine #coronavirus #health
https://t.co/rITyX9tWpR","['news', 'covidvaccine', 'coronavirus', 'health']",0.0681818181818182,0.727272727272727,0.5,0.5,"Virus Expert Just Warned of Possible New Surge

news covidvaccine coronavirus health
","['virus', 'expert just warned', 'possible new']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,0.0395826528541386,"Earth / Jordkloden","Samisk/Finn kall hva du vill men det er flertall av mine gena, litt viking. 
Sami/Finn call what you want but that is the majority of my genes, little viking.⚽",118,781,15193,"False",2022-12-06,"#CovidVaccine #vaccinedontwork clearly https://t.co/Dko5WQxmEi","['CovidVaccine', 'vaccinedontwork']",0.1,0.383333333333333,-0.1875,0.5,"CovidVaccine vaccinedontwork clearly ","['covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
761,0.293224400339687,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",40,0,0,"False",2022-12-06,"45+ #RURAL #Bengaluru #CovidVaccine Availability for 12/06 at 09:30AM
FREE Slots 0
PAID Slots 0","['RURAL', 'Bengaluru', 'CovidVaccine']",0.2,0.4,0.2,0.4,"45 RURAL Bengaluru CovidVaccine Availability for 1206 at 0930AM
FREE Slots 0
PAID Slots 0","['rural bengaluru', 'free', 'paid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893,0.124422050815144,"","Bastard Wrangler in training. Fast and bulbous. Amateur composter.",0,15,46,"False",2022-12-01,"@IgorStancic1 @Taniabanks24 @smh All this cos he had a #CovidVaccine on sly and doesn’t want to admit to it. Where is proof of antibodies anyway?","['CovidVaccine']",0,0,-0.025,0.425,"IgorStancic1 Taniabanks24 smh All this cos he had a CovidVaccine on sly and doesnt want to admit to it Where is proof of antibodies anyway","['igorstancic1 taniabanks24']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,0.0237826830185575,"Scotland, United Kingdom","Previous account with 1500 followers nuked for #WrongThink 😒 Still find myself in an #Orwellian nightmare, surrounded by masked, vaxxinated sheep 🐑😱",554,419,7141,"False",2022-12-01,"#KayBurley talking to a London GP who has refused to take the #CovidVaccine #ClotShot … and the line goes down #WrongThink #JustSayNo https://t.co/vFO65SJQyb","['KayBurley', 'CovidVaccine', 'ClotShot', 'WrongThink', 'JustSayNo']",-0.155555555555556,0.288888888888889,-0.166666666666667,0.166666666666667,"KayBurley talking to a London GP who has refused to take the CovidVaccine ClotShot  and the line goes down WrongThink JustSayNo ","['london', 'covidvaccine', 'wrongthink']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
980,0.0736252060925719,"Egypt","Judge me when you are perfect",28,39,11,"False",2022-12-02,"British magazine: Risk of omecron recurrence is 5 times higher than delta https://t.co/VyvBiirLRr #COVID #COVID-19 #LongCovid #BA2 #HIV #CovidVaccine #10 YEARS #100DaysOfCode #10 MINUTES #Long Covid #10xThrive #60 Minutes #49ers #Aaron Donald #abuse #advertising #altcoins","['COVID', 'COVID', 'LongCovid', 'BA2', 'HIV', 'CovidVaccine', '100DaysOfCode', 'Long', '10xThrive', '49ers', 'Aaron', 'abuse', 'advertising', 'altcoins']",0.0666666666666667,0.3,1,1,"British magazine Risk of omecron recurrence is 5 times higher than delta  COVID COVID19 LongCovid BA2 HIV CovidVaccine 10 YEARS 100DaysOfCode 10 MINUTES Long Covid 10xThrive 60 Minutes 49ers Aaron Donald abuse advertising altcoins","['british', 'covid', 'minutes long', 'aaron donald']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984,0.10376661581481,"Toronto, Ontario","Writer of words for books, blogs, music & jokes.",309,624,28398,"False",2022-12-01,"BREAKING: New #iPhone way better than current iPhone. In fact, current iPhone sucks 🐴⚾⚾
#PfizerCEO #OmicronVirus #Pfizer #vaccine #CovidVaccine #Covid_19","['iPhone', 'PfizerCEO', 'OmicronVirus', 'Pfizer', 'vaccine', 'CovidVaccine', 'Covid_19']",0.0672727272727273,0.410909090909091,0,0,"BREAKING New iPhone way better than current iPhone In fact current iPhone sucks 
PfizerCEO OmicronVirus Pfizer vaccine CovidVaccine Covid19","['iphone', 'pfizerceo', 'covidvaccine covid19']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,0.0250279853126196,"","@nationals fan since 2005 and founding member of the @chaddukes show",116,968,8239,"False",2022-12-01,"These morons lied to you… #CovidVaccine #COVID19 https://t.co/FHdBgo1UuQ","['CovidVaccine', 'COVID19']",-0.8,1,0,0,"These morons lied to you CovidVaccine COVID19 ","['covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,0.0351272095761138,"London, England","Vegan, love animals, nature, arts, music, dancing, yoga and kung-fu.",438,940,3273,"False",2022-12-01,"#Petition: Open a Public Inquiry into Covid-19 Vaccine Safety https://t.co/4z9PFr0KW7

#COVID19 #covid #CovidVaccine #CovidVaccination #covidvax #NoVaccinePassports #novaccinepassportsanywhere #NoVaccineApartheid #NoVaccineMandates","['Petition', 'COVID19', 'covid', 'CovidVaccine', 'CovidVaccination', 'covidvax', 'NoVaccinePassports', 'novaccinepassportsanywhere', 'NoVaccineApartheid', 'NoVaccineMandates']",0,0.283333333333333,0.5,0.6,"Petition Open a Public Inquiry into Covid19 Vaccine Safety 

COVID19 covid CovidVaccine CovidVaccination covidvax NoVaccinePassports novaccinepassportsanywhere NoVaccineApartheid NoVaccineMandates","['public inquiry', 'covid19 vaccine safety', 'covidvaccine', 'novaccineapartheid']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,2.49939832642487e-09,"Trichy,Tamil Nadu India","Director & Neurologist at ABC Hospital Tiruchirappalli - Emeritus Professor at TN MGR Medical University +91 9443159940",872,454,3397,"False",2022-12-01,"Got #Vaccinated with #BoosterDose  of #CovidVaccine #COVISHIELD vaccination against #COVID19 on 12.01.2022 in the hands of Trichy Corporation @TrichyCorp Vaccination unit team after 11 months of my 2nd dose - M.A.Aleem Neurologist #Trichy #Tamilnadu #India https://t.co/1FmZpPT1to","['Vaccinated', 'BoosterDose', 'CovidVaccine', 'COVISHIELD', 'COVID19', 'Trichy', 'Tamilnadu', 'India']",0,0,0,0,"Got Vaccinated with BoosterDose  of CovidVaccine COVISHIELD vaccination against COVID19 on 12012022 in the hands of Trichy Corporation TrichyCorp Vaccination unit team after 11 months of my 2nd dose  MAAleem Neurologist Trichy Tamilnadu India ","['got', 'vaccinated', 'boosterdose', 'covidvaccine', 'covid19', 'trichy corporation', 'trichycorp vaccination', 'maaleem neurologist trichy tamilnadu india']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,3.36600889606915e-09,"La Grande, OR","When defeat comes, accept it as a signal that your plans are not sound, rebuild those plans, and set sail once more toward your coveted goal.",72,42,3404,"False",2022-12-05,"Dr. Fauci Just Issued This Omicron Warning

#coronavirustips #dr.fauci #coronavirus #health #news #covidvaccine
https://t.co/N9rWIuEWsR","['coronavirustips', 'dr', 'coronavirus', 'health', 'news', 'covidvaccine']",0,0,0.15,0.45,"Dr Fauci Just Issued This Omicron Warning

coronavirustips drfauci coronavirus health news covidvaccine
","['omicron warning']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1637,0.114745385431437,"","I love my kids, I pray to god and enjoy hanging with loved ones. I go to protests against government on covid19, give out leaflets and talk to people about it.",1250,1641,3205,"False",2022-12-03,"Come along and speak to people and give out leaflets with outreach on national day of action. #outreach #london #nationaldayofaction #COVID19 #CovidVaccine #LeaveOurKidsAlone https://t.co/qQFBcB9A09","['outreach', 'london', 'nationaldayofaction', 'COVID19', 'CovidVaccine', 'LeaveOurKidsAlone']",0.1,0.1,0.533333333333333,0.633333333333333,"Come along and speak to people and give out leaflets with outreach on national day of action outreach london nationaldayofaction COVID19 CovidVaccine LeaveOurKidsAlone ","['covid19']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712,0.0326070266674356,"","photography, travel, hotel reviewer, travel writer, food, wine & football. All photos are my own.",1451,440,1110,"False",2022-12-01,"@ChelseaFC Hopefully the fan is ok, but this is happening far to often #CovidVaccine #together","['CovidVaccine', 'together']",0.3,0.75,0.6,1,"ChelseaFC Hopefully the fan is ok but this is happening far to often CovidVaccine together","['chelseafc']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810,0.086707185342926,"Bhubaneswar","Argus News(https://t.co/79dFkqrU9C) from Digital to Satellite has emerged as a platform that Voices 4.5 crore Odias.",13768,158,8,"False",2022-12-01,"Target is to complete administration of 2nd dose of #CovidVaccine this month in State. Door-step #VaccinationDrive underway for those yet to get 1st dose. 10 mobile clinics each having 12 teams carrying out vaccination in each block:Family Welfare Director Bijay Panigrahi #Odisha https://t.co/q4VddfJXil","['CovidVaccine', 'VaccinationDrive', 'Odisha']",0.05,0.2,0,0,"Target is to complete administration of 2nd dose of CovidVaccine this month in State Doorstep VaccinationDrive underway for those yet to get 1st dose 10 mobile clinics each having 12 teams carrying out vaccination in each blockFamily Welfare Director Bijay Panigrahi Odisha ","['target', 'covidvaccine', 'doorstep', 'blockfamily welfare', 'bijay panigrahi odisha']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
