"X","misinformation","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
32739,4.01298420344241e-09,"Kozhikode, Kerala","The online publication of Mathrubhumi was started on 5th September 1997. Now it publishes informative channels such as Entertainment, sports, health, education,",93502,7,10,"True",2020-10-15,"Russia approves 2nd virus vaccine after early trials https://t.co/tLGp5XDzP7 #covidvaccine","['covidvaccine']",0.05,0.15,0,0.5,"Russia approves 2nd virus vaccine after early trials  covidvaccine","['russia']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60942,5.94706598008306e-09,"Chennai","I am a GCTian,  thamizh Blogger since 2004. Interests: Cricket, Chess, Sujatha, J.Archer, DivyaPrabandham and of course political discourse :)",8049,790,28388,"False",2020-10-22,"https://t.co/kiz3QTPsXP 
This is most #unethical, illegal to make #covidvaccine a promise in the campaign or manife… https://t.co/BhjBVc6rQc","['unethical', 'covidvaccine']",0,0.5,0.25,0.55," 
This is most unethical illegal to make covidvaccine a promise in the campaign or manife ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62134,0.136261533469707,"Valapady-Salem - Chennai","President INRLF , Vice President INTUC, Tamilnadu| Alumni CIT, ASU|Co Founder https://t.co/LDt3vHm4YY",742,1641,12524,"False",2020-10-22,"@Pawankhera BJP is Blackmailing voters with #CovidVaccine ,  Bihar voters should question BJP and their allies why… https://t.co/YMJa9qbtm4","['CovidVaccine']",0,0,0,0,"Pawankhera BJP is Blackmailing voters with CovidVaccine   Bihar voters should question BJP and their allies why ","['pawankhera', 'bjp', 'covidvaccine bihar', 'bjp']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80844,0.0419714048711305,"Nicosia","Editor-Journo @ Cyprus News Agency, views my own, RTs not endorsement, sarcasm is my middle name, honesty&intuition too!",4479,4930,8698,"False",2020-10-20,"#covid_19 What does it mean when a #CovidVaccine is in phase III? How many have been approved for limited use? Find… https://t.co/GIwtYWOLTv","['covid_19', 'CovidVaccine']",0.0386904761904762,0.443452380952381,0.3,0.5,"covid19 What does it mean when a CovidVaccine is in phase III How many have been approved for limited use Find ","['covidvaccine', 'iii']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99165,0.0632518502462766,"India","Political & Social Analyst. #IndiaFirst Privilege - PM @narendramodi ji follows me. All views are Strictly Personal. RTs are not endorsements #VandeMataram",8316,167,28444,"False",2020-11-08,"Russian sovereign wealth fund is reportedly saying will be labelled “Sputnik V” for international markets:

Russian… https://t.co/Xr8xz5UYTJ","[]",0,0,0.0111111111111111,0.155555555555556,"Russian sovereign wealth fund is reportedly saying will be labelled Sputnik V for international markets

Russian ","['russian', 'sputnik v', 'russian']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99908,0.0326778022470678,"Jamshedpur, India","I'm just a boy, standing in front of the world, asking you to follow me.

I am also srkian & msdian 😇",150,38,12681,"False",2020-11-08,"Breaking : #Russia released world's first #CovidVaccine.

#Putin said """"Russian health ministry has approved vaccine… https://t.co/8AoSJdEmWc","['Russia', 'CovidVaccine', 'Putin']",0.125,0.166666666666667,0,0,"Breaking  Russia released worlds first CovidVaccine

Putin said Russian health ministry has approved vaccine ","['russia', 'covidvaccine', 'putin', 'russian']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4.65242913896892e-09,"Washington, DC","Network Photojournalist at NBC Network News-Washington DC bureau. Passionate about Photography, Triathlons and Marathon Running (In no specific order).",272,310,848,"False",2020-10-13,"Johnson &amp; Johnson Temporarily Pauses All Dosing in Our Janssen COVID-19 Vaccine Candidate Clinical Trials after an… https://t.co/PmuOiWi1CH","[]",0,0,-0.025,0.4875,"Johnson amp Johnson Temporarily Pauses All Dosing in Our Janssen COVID19 Vaccine Candidate Clinical Trials after an ","['johnson', 'johnson temporarily', 'janssen covid19 vaccine candidate clinical trials']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
168,0.0603045622827072,"Washington, DC","@Newsy Pentagon Reporter. Former @FoxNews SE Regional Reporter, @USAirForce Broadcaster/Anchor & D.C. @FoxNews Associate Producer. @SyracuseU Grad. God is #1",2961,1644,2532,"True",2020-10-16,"It's also available to all LTCF staff members who have not been vaccinated for COVID-19. #OperationWarpSpeed @Newsy… https://t.co/puIfMc21kr","['OperationWarpSpeed']",0.4,0.4,0,0,"Its also available to all LTCF staff members who have not been vaccinated for COVID19 OperationWarpSpeed Newsy ","['covid19']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,0.0364147879804064,"North Carolina, USA","",3944,1561,1,"False",2020-10-14,"Bill Gates Says World Won’t Return to Normal Until “A Lot of People” Take a Second COVID Vaccine… https://t.co/lCqvtVNx5v","[]",0.075,0.325,0,0,"Bill Gates Says World Wont Return to Normal Until A Lot of People Take a Second COVID Vaccine ","['bill', 'gates says', 'normal', 'covid vaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
415,0.103880611946734,"london","columnist for https://t.co/ENon5VCZ03, former correspondent in moscow, paris, washington &, btw, not russian by birth or heritage. mod.langs @lmhoxford",1487,291,280,"False",2020-10-17,"don't join the establishment crowd of #russia-bashers @thetimes letters re #CovidVaccine (or anything else) w/out a… https://t.co/ozBrU3NdGt","['russia', 'CovidVaccine']",0,0,0,0,"dont join the establishment crowd of russiabashers thetimes letters re CovidVaccine or anything else wout a ","['covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
547,0.0550057273335351,"Bristol, England","#Mum. Boy 10 yrs & Girl 4 years. WAS HR Manager & Yoga Teacher.  Now #pBlogger #SAHM #Vlogger  
https://t.co/AtmLXqiuCJ",9480,10099,91944,"False",2020-10-14,"500k sharks could be killed for vaccine ingredient via @RobertKennedyJr Instagram #Squalene #horseShoeCrabs… https://t.co/yXHNsfFQQt","['Squalene', 'horseShoeCrabs']",-0.2,0,0,0,"500k sharks could be killed for vaccine ingredient via RobertKennedyJr Instagram Squalene horseShoeCrabs ","['robertkennedyjr instagram squalene', 'horseshoecrabs']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673,0.00745886099553902,"Twitter","Proud Father and Husband. Vote!!",108,420,22758,"False",2020-10-10,"@NYGovCuomo #StaySafeStayHealthy everyone. 

Don’t get lazy. 

#StayHome as much as possible until we have a much b… https://t.co/rBx8Xc0Ofj","['StaySafeStayHealthy', 'StayHome']",-0.0166666666666667,0.733333333333333,1,1,"NYGovCuomo StaySafeStayHealthy everyone 

Dont get lazy 

StayHome as much as possible until we have a much b ","['nygovcuomo']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,1.16090221405457e-09,"नई दिल्ली, भारत","Jesus Lover | Social Worker",244,1789,2619,"False",2020-10-22,"@BJP4India @nsitharaman @PMOIndia
As you have announced #Covidvaccine free, just a question?
When will covid vaccin… https://t.co/60VcLzB4Tg","['Covidvaccine']",0.4,0.8,0.0333333333333333,0.0666666666666667,"BJP4India nsitharaman PMOIndia
As you have announced Covidvaccine free just a question
When will covid vaccin ","['bjp4india', 'pmoindia', 'covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
833,0.0366667859833955,"New Delhi, India","",12,85,1237,"False",2020-11-08,"#Russia #CovidVaccine
Russia announced first covid 19 vaccine.. Everyone to putin right now https://t.co/PysefX4otZ","['Russia', 'CovidVaccine']",0.267857142857143,0.43452380952381,0,0,"Russia CovidVaccine
Russia announced first covid 19 vaccine Everyone to putin right now ","['russia', 'covidvaccine russia']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966,2.22044604925031e-16,"Spain","With EU all the way! Campaigning for #citizensrights and #VotesForLife #HoldThemToAccount #StillEuropean",22150,16425,72052,"False",2020-10-13,"Johnson &amp; Johnson halts vaccine trial due to unexplained illness 
https://t.co/QC7vqyGKjK

#CovidVaccine","['CovidVaccine']",-0.0875,0.1875,0,0,"Johnson amp Johnson halts vaccine trial due to unexplained illness 


CovidVaccine","['johnson', 'johnson', 'covidvaccine']",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1224,0.0398977767894439,"ਤੂੰ ਰਿਸ਼ਤਾ ਕਰਾਉਣਾ 🤪","☬ਮਨ👇🏻ਮੱਤ👆🏻☬
                            𝗥𝗝𝟭𝟯🏡
𝘞𝘌 𝘉𝘙𝘌𝘈𝘒🥊𝘉𝘖𝘕𝘌𝘚 𝘕𝘖𝘛 ♥️ 𝘏𝘌𝘈𝘙𝘛𝘚
@SidhuMooseWala🎧
          👻𝘚𝘪𝘥𝘩𝘶_𝘴13",11,18,137,"False",2020-11-08,"Russia launches world's first Covid-19 vaccine

Everyone's reaction 👇🏻

#RussianVaccine #CovidVaccine… https://t.co/H7v69Goup9","['RussianVaccine', 'CovidVaccine']",0.25,0.333333333333333,0,0,"Russia launches worlds first Covid19 vaccine

Everyones reaction 

RussianVaccine CovidVaccine ","['russia', 'covid19', 'russianvaccine']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,2.22044604925031e-16,"California","Wife to my amazing husband, teacher, photographer - Canadian living in tRump nightmare #VoteBlueToSaveAmerica 
#RestoreDemocracy",1956,4694,142429,"False",2020-10-16,"@thehill Biden plans to give FREE covid vaccines to ALL Americans. I'm with Biden all the way! #BidenHarris
#covidvaccine","['BidenHarris', 'covidvaccine']",0.5,0.8,0.6,0.9,"thehill Biden plans to give FREE covid vaccines to ALL Americans Im with Biden all the way BidenHarris
covidvaccine","['biden', 'free', 'all americans im', 'biden', 'bidenharris']",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1332,0.0227785238748068,"","Breaking News, Bollywood, Latest Political News, National, Sports, Entertainment, Education, Technology & Daily Events
#CoronavirusVaccine",230,0,8218,"False",2020-11-08,"Russia becomes first country to register COVID-19 vaccine.

#CovidVaccine","['CovidVaccine']",0.25,0.333333333333333,0.166666666666667,0.333333333333333,"Russia becomes first country to register COVID19 vaccine

CovidVaccine","['russia', 'covid19', 'covidvaccine']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1361,0.0664269950977422,"Shanghai and Beijing","BBC camera journalist in China. Previously producing and shooting documentaries in Westminster. Any views are my own.",5024,5130,19632,"False",2020-10-17,"Hundreds queue in Yiwu, China for experimental Covid-19 vaccine #covid19 #china #CovidVaccine  https://t.co/GpmqwZZLDX","['covid19', 'china', 'CovidVaccine']",0.1,0.4,0.216666666666667,0.583333333333333,"Hundreds queue in Yiwu China for experimental Covid19 vaccine covid19 china CovidVaccine  ","['yiwu china']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
