"X","misinformation","dominant_topic","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media","year","month","day","day_of_week"
3,0.15968077295427,"Mask","","” First ignore , laugh , fight , win. ” Passions : # Votingrights # BlackLivesMatter # IStandWithPalestine",1915,860,52127,"False",2021-10-19,"@ JoyAnnReid @ NIH 👿Questions : Could caused # ColinPowell ’ death ? Could caused relapse multiple Myeloma ? Could # related Colin Powell ’ death way ? questions even asked ?","['ColinPowell', 'covidvaccine']",0,0.2,0.45,0.277777777777778," JoyAnnReid  NIH Questions  Could caused  ColinPowell  death  Could caused relapse multiple Myeloma  Could  related Colin Powell  death way  questions even asked ","['joyannreid', 'nih questions could', 'colinpowell', 'could', 'myeloma could', 'colin powell']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,10,19,"Tue"
9,0.244514217586051,"US government","Denver, CO","Loves , Family pups , Lake , friends , travel , peace .",96,498,7396,"False",2021-10-20,"@ seanhannity Great news ! imagine US death rates would w/o half us , including u , ’ vaxed ? # FauxNews # GetVaccinated # Covid_19 #","['FauxNews', 'GetVaccinated', 'Covid_19', 'CovidVaccine']",0.416666666666667,0.458333333333333,0,0," seanhannity Great news  imagine US death rates would wo half us  including u   vaxed   FauxNews  GetVaccinated  Covid19 ","['great', 'us', 'fauxnews']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,10,20,"Wed"
28,0.173086021743646,"Mask","Denver","DAY FRANKLIN ( ADF ) : paper , lock - day everyday . , TODAY game played field .",194,1153,13501,"False",2021-11-03,"flu come back yet ? virus going around # Rona Rona variant ? # # #","['Rona', 'CovidVaccine', 'COVID19', 'coronavirus']",0,0,-0.3,0.5,"flu come back yet  virus going around  Rona Rona variant    ","['rona rona']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,11,3,"Wed"
68,0.173876917219352,"Education","England, United Kingdom","Supporting victims survivors violent crime recover trauma . Registered Charity 1170511 . Memory Josh 27.02.94-11.10.15",2885,2952,6715,"False",2021-10-21,"Young people tell us want . asked would like share thoughts . short film written directed , say . # # mythsvfacts ","['covidvaccine', 'mythsvfacts']",0.05,0.35,-0.275,0.625,"Young people tell us want  asked would like share thoughts  short film written directed  say    mythsvfacts ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,10,21,"Thu"
100,0.123686029189586,"Mask","Cheshire,UK","Working communities partners ensure get best possible care",7246,548,2044,"True",2021-11-05,"# typically mild children younger people , unpleasant . ’ make informed choice children # .  # RealVaxxFacts ","['Covid19', 'CovidVaccine', 'RealVaxxFacts']",-0.105555555555556,0.483333333333333,0.5,0.65," typically mild children younger people  unpleasant   make informed choice children     RealVaxxFacts ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,11,5,"Fri"
132,0.193231826779202,"Trial Results","","invasion primitive invaders ancestors must stopped 🏴󠁧󠁢󠁥󠁮󠁧󠁿✊🏻",17,75,38,"False",2021-10-21,"Spike protein # takes away cells protect cancer # Aberfan # Covid_19 # TrafalgarDay # ScottishIndependence5 # TheBachelorette # ThursdayThoughts ","['CovidVaccine', 'Aberfan', 'Covid_19', 'TrafalgarDay', 'ScottishIndependence5', 'TheBachelorette', 'ThursdayThoughts']",0,0,0,0,"Spike protein  takes away cells protect cancer  Aberfan  Covid19  TrafalgarDay  ScottishIndependence5  TheBachelorette  ThursdayThoughts ","['spike', 'aberfan covid19']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,10,21,"Thu"
191,0.232049463248246,"Gratitude and Optimism","Nagaland","Chief Minister Nagaland . Former Member Parliament ( Lok Sabha ) ",72890,59,893,"True",2021-10-21,"Congratulations everyone # 100CroreVaccinations . indeed proud moment India . Grateful dedicated health workers worked hard towards achieving incredible milestone . # VaccineCentury # # togetherstronger","['100CroreVaccinations', 'VaccineCentury', 'CovidVaccine', 'togetherstronger']",0.469444444444444,0.813888888888889,0,0,"Congratulations everyone  100CroreVaccinations  indeed proud moment India  Grateful dedicated health workers worked hard towards achieving incredible milestone   VaccineCentury   togetherstronger","['india', 'vaccinecentury']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,10,21,"Thu"
202,0.245953621138624,"Mask","Tristan da Cunha","Immunity : Natural/Pure Blood Status : Uncompromised Anti-vaxxer , 'Anti-Experimental called vax kinda guy !",596,866,5244,"False",2021-10-31,"children experiment ... awake yet ? # auspol # COVID19Vic # COVID19Aus # # # auspol2021 # CovidUK # covid19sa # covid19nsw # covid19qld # covid19wa # covid19nt # covid19tas ","['auspol', 'COVID19Vic', 'COVID19Aus', 'COVIDVaccine', 'COVID19', 'auspol2021', 'CovidUK', 'covid19sa', 'covid19nsw', 'covid19qld', 'covid19wa', 'covid19nt', 'covid19tas']",0,0,0,0,"children experiment  awake yet   auspol  COVID19Vic  COVID19Aus    auspol2021  CovidUK  covid19sa  covid19nsw  covid19qld  covid19wa  covid19nt  covid19tas ","['covid19vic', 'coviduk']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,10,31,"Sun"
252,0.173017955892532,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",29,0,0,"False",2021-10-16,"18-44 # URBAN # Bengaluru # Availability 16/10 03:00PM FREE Slots 0 PAID Slots # COVISHIELD - Dose1:1023 , Dose2:675 # COVAXIN - Dose1:660 , Dose2:659 # SPUTNIKV - Dose1:121 , Dose2:17","['URBAN', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN', 'SPUTNIKV']",0.2,0.4,0.133333333333333,0.266666666666667,"1844  URBAN  Bengaluru  Availability 1610 0300PM FREE Slots 0 PAID Slots  COVISHIELD  Dose11023  Dose2675  COVAXIN  Dose1660  Dose2659  SPUTNIKV  Dose1121  Dose217","['urban bengaluru', 'free', 'paid slots', 'covishield dose11023 dose2675']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,10,16,"Sat"
267,0.247081077463156,"Gratitude and Optimism","Boston, MA","Weekend Evening Anchor | Reporter @ boston25 Morning News . @ BostonCollege Alum . Send story ideas : nicole.oliverio @ boston25.com",14261,1562,20739,"True",2021-11-04,"# BREAKING : @ MassGovernor says pediatricians play biggest role administering . knows parents want speak family 's doctors 's best . #","['BREAKING', 'COVIDVaccine']",1,0.3,0,0," BREAKING   MassGovernor says pediatricians play biggest role administering  knows parents want speak family s doctors s best  ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,11,4,"Thu"
331,0.161856059239811,"Vaccine Availability","Bengaluru, India","Hourly updates FREE PAID 18+ 45+ slot availability across # Bengaluru BBMP , URBAN & RURAL",32,0,0,"False",2021-11-02,"45+ # URBAN # Bengaluru # Availability 02/11 01:30PM FREE Slots 0 PAID Slots # COVISHIELD - Dose1:99 , Dose2:87 # COVAXIN - Dose1:98 , Dose2:99 # SPUTNIKV - Dose1:94 , Dose2:10","['URBAN', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN', 'SPUTNIKV']",0.2,0.4,0.133333333333333,0.266666666666667,"45  URBAN  Bengaluru  Availability 0211 0130PM FREE Slots 0 PAID Slots  COVISHIELD  Dose199  Dose287  COVAXIN  Dose198  Dose299  SPUTNIKV  Dose194  Dose210","['urban bengaluru', 'free', 'paid slots', 'covishield dose199 dose287', 'dose198 dose299', 'dose194 dose210']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,11,2,"Tue"
380,0.164457478813981,"Clinic Updates and Information","Glasgow, Scotland","Common sense advocate . blog aims focus social challenges potential solutions . Please visit , read comment !",315,1002,482,"False",2021-11-02," # hesitancy exists side effect denial . Openness helps everyone . #","['COVID19', 'COVIDVaccine']",0,0,-0.0888888888888889,0.522222222222222,"  hesitancy exists side effect denial  Openness helps everyone  ","['openness']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,11,2,"Tue"
396,0.191254564618117,"Trial Results","","el jefe de los mejores hombres…",6,94,953,"False",2021-11-08,"# Regeneron safe effective # . Longer lasting immunity stops transmission . mandating # . 🤔","['Regeneron', 'vaccine', 'CovidVaccine']",0.366666666666667,0.433333333333333,0,0," Regeneron safe effective   Longer lasting immunity stops transmission  mandating   ","['regeneron']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,11,8,"Mon"
427,0.112639832248461,"US government","Chicago, Illinois, USA","MBA , Acctg , Finance , Tech , Leadership . # LGBT/ # Equality/ # Egalitarian/ # Progressive/ # AntiFacist . 📚🗽🏳️‍🌈🎸🎵 Lang : 🇺🇸🇳🇱🇩🇪🇫🇷🇯🇵 . # Resistance # Occupy",24670,17969,8251,"False",2021-11-06,"Opinion | # AaronRodgers n't refuse # . also bought bad science . | @ NBCNews  via @ NBCNewsTHINK # COVIDiot","['AaronRodgers', 'CovidVaccine', 'COVIDiot']",-0.7,0.666666666666667,0,0,"Opinion   AaronRodgers nt refuse   also bought bad science    NBCNews  via  NBCNewsTHINK  COVIDiot","['opinion', 'aaronrodgers', 'nbcnews', 'nbcnewsthink']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,11,6,"Sat"
432,0.193330240595023,"Trial Results","#Noise #Community #QoL #MeToo","Copy/paste lot/Track # Fxbg/ # FredericksburgVA # NoiseAssault/Older threads retroactively scrambled ( thx @ Twitter ) /No lists/ # BLM/ # ATCK Also @ GinaInTheBurg",353,1183,7565,"False",2021-10-18,"Dr. Leana Wenn : Colin Powell multiple co-morbidities : age 84 plus Parkinson 's & ; blood cancer called multiple myeloma . study shown patients w/multiple myeloma , 45 % receiving # mount adequate immune response . #","['COVIDvaccine', 'COVID19']",0.111111111111111,0.111111111111111,0,0,"Dr Leana Wenn  Colin Powell multiple comorbidities  age 84 plus Parkinson s   blood cancer called multiple myeloma  study shown patients wmultiple myeloma  45  receiving  mount adequate immune response  ","['colin powell', 'parkinson']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,10,18,"Mon"
458,0.196390983025623,"Clinic Updates and Information","Stafford","consumer champion ; giving local people voice promote sustain quality health social care services . Contact us 0800 051 8371",2801,1485,1917,"False",2021-10-28,"Less 10 % 12-15 yr olds vaccine‼️ People aged 12-15 able # via booking service # halfterm . means booking attending local site . Protect love get vaccinated.❣️ ","['covidvaccine', 'halfterm']",0.146666666666667,0.338333333333333,0.0166666666666667,0.0333333333333333,"Less 10  1215 yr olds vaccine People aged 1215 able  via booking service  halfterm  means booking attending local site  Protect love get vaccinated ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,10,28,"Thu"
483,0.178526354783858,"Mask","Portland, OR","# twitch # affiliate # lifestreamer ; # painter # memes # fitness # bodybuilding # videogames # skincare # nailart # videoediting # guitar .",18,46,371,"False",2021-10-25,"Bled roughly 3 tablespoons clots 20 minutes yesterday . # bleeding 50 days row . Thank @ TheDivaCup making able prove actual fuckton blood 'm losing . hormones fucked right ","['CovidVaccine']",0.0171428571428571,0.472142857142857,0,0,"Bled roughly 3 tablespoons clots 20 minutes yesterday   bleeding 50 days row  Thank  TheDivaCup making able prove actual fuckton blood m losing  hormones fucked right ","['thank']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,10,25,"Mon"
489,0.158490772838199,"Mask","United States"," # ElGringo",6988,6187,4639,"False",2021-10-18,"@ CheriJacobus hell tell whether board plane . # save life , immune system . # ColinPowell trader dead fully vaccinated .","['CovidVaccine', 'ColinPowell']",-0.2,0.4,0,0," CheriJacobus hell tell whether board plane   save life  immune system   ColinPowell trader dead fully vaccinated ","['cherijacobus', 'colinpowell']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,10,18,"Mon"
902,0.196408918930279,"Government Response","🇩🇯SL🇬🇧🇪🇺Hoyo(MotherLand)","Modern colonisation viruses & diseases new system Boycott businesses required pass SocialPolicy/MentalHealth HUMANITY/Choice",640,4132,11256,"False",2021-10-23,"# BillGates promoting # # currently touring Europe","['BillGates', 'Covid19', 'CovidVaccine']",0,0.4,0.168181818181818,0.377272727272727," BillGates promoting   currently touring Europe","['europe']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,10,23,"Sat"
