"X","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
117,"Bradford, West Yorkshire","NHS Bradford District and Craven Clinical Commissioning Group (CCG) plans, buys & monitors local health services. We monitor tweets Mon-Fri 9-5pm.",7508,1229,7161,"True",2022-11-01,"❄️Get protected this winter ❄️

A booster jab will strengthen your protection from #COVID19.
 
To find details about Bradford District &amp; Craven walk-in clinics or how to book an appointment go to 👇
https://t.co/Yklrk7W0SN

#GetBoostedNow #CovidVaccine #COVID https://t.co/Dham0F6prB","['COVID19', 'GetBoostedNow', 'CovidVaccine', 'COVID']",0,0,0,0,"Get protected this winter 

A booster jab will strengthen your protection from COVID19
 
To find details about Bradford District amp Craven walkin clinics or how to book an appointment go to 


GetBoostedNow CovidVaccine COVID ","['get', 'covid19', 'bradford district', 'craven', 'getboostednow']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
136,"𝓓𝓲𝓼𝓬𝓸𝓿𝓮𝓻 𝓗𝓸𝔀 𝓣𝓸 𝓐𝓬𝓽𝓲𝓿𝓪𝓽𝓮 𝓣𝓱𝓮 𝓐𝓫𝓾𝓷𝓭𝓪𝓷𝓬𝓮 𝓢𝔀𝓲𝓽𝓬𝓱 ➔","🇺🇸 Don't be pushed around by the fears in your mind. Be led by the dreams in your heart. 🇺🇸",89,41,3331,"False",2022-11-05,"Virus Expert Just Issued This COVID Update

#covidvaccine #news #coronavirustips #health #coronavirus
https://t.co/9v9HkPHqXD","['covidvaccine', 'news', 'coronavirustips', 'health', 'coronavirus']",0,0,0,0,"Virus Expert Just Issued This COVID Update

covidvaccine news coronavirustips health coronavirus
","['virus', 'expert just issued', 'covid update']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",40,0,0,"False",2022-11-01,"18-44 #RURAL #Bengaluru #CovidVaccine Availability for 11/01 at 10:00AM
FREE Slots 
#COVISHIELD - Dose1:102, Dose2:0
#COVAXIN - Dose1:101, Dose2:99
PAID Slots 
#COVISHIELD - Dose1:49, Dose2:48","['RURAL', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN', 'COVISHIELD']",0.2,0.4,0.2,0.4,"1844 RURAL Bengaluru CovidVaccine Availability for 1101 at 1000AM
FREE Slots 
COVISHIELD  Dose1102 Dose20
COVAXIN  Dose1101 Dose299
PAID Slots 
COVISHIELD  Dose149 Dose248","['rural bengaluru', 'free slots', 'covishield dose1102 dose20', 'dose299 paid slots', 'covishield dose149 dose248']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,"","Aqua Buddha fundamentalist/ proud Human-American",56,151,25266,"False",2022-11-01,"He's not wrong.
 #CovidVaccine #RobertKennedyJr #Rights 
https://t.co/aKrCxl7fb3","['CovidVaccine', 'RobertKennedyJr', 'Rights']",0.25,0.9,0.8,1,"Hes not wrong
 CovidVaccine RobertKennedyJr Rights 
","['covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
377,"USA","Benjamin Franklin, Philadelphia Federal Convention of 1787: “A republic if you can keep it.” America is on a precipice.",1462,1101,93569,"False",2022-11-04,"@HalfwayPost @blamellors That #CovidVaccine love potion will turn you gay every time.","['CovidVaccine']",0.458333333333333,0.591666666666667,0,0,"HalfwayPost blamellors That CovidVaccine love potion will turn you gay every time","['halfwaypost', 'covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
513,"France","Asking questions, finding answers & reading signs...",771,2,3,"False",2022-11-01,"#Quebec public health director Horacio #Arruda resigns, admitting 'erosion' of public opinion!
https://t.co/zGG4fNNBie
#CovidVaccine #covidcases #covidvariant #COVID19France #VaccinezVous #VaccineDeaths #VaccineDeath #VaccineMandates #MandatoryVaccinations #CovidVaxExposed","['Quebec', 'Arruda', 'CovidVaccine', 'covidcases', 'covidvariant', 'COVID19France', 'VaccinezVous', 'VaccineDeaths', 'VaccineDeath', 'VaccineMandates', 'MandatoryVaccinations', 'CovidVaxExposed']",0,0.0666666666666667,0,0,"Quebec public health director Horacio Arruda resigns admitting erosion of public opinion

CovidVaccine covidcases covidvariant COVID19France VaccinezVous VaccineDeaths VaccineDeath VaccineMandates MandatoryVaccinations CovidVaxExposed","['quebec', 'horacio arruda', 'covidvaccine', 'covid19france']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
586,"Chicago, IL","Storyteller, 60 + times Moth Slam winner, Guatemalan, UNDOCUMENTED, poet, writer, t-shirt designer, dancer, ex-Uber/Lyft driver. https://t.co/pl9JxUgU8o",9447,739,115547,"False",2022-11-01,"@CharisHamilton8 @sorrells4texas Getting the #CovidVaccine would improved your chances of NOT dying of Covid

#GetVaccinatedNow #VaccineMandates

https://t.co/SEy0ymkEwA

https://t.co/KqIYcnLwkB","['CovidVaccine', 'GetVaccinatedNow', 'VaccineMandates']",0,0,0,0,"CharisHamilton8 sorrells4texas Getting the CovidVaccine would improved your chances of NOT dying of Covid

GetVaccinatedNow VaccineMandates



","['covidvaccine', 'not', 'covid']",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
632,"South east London","NHS South East London CCG is clinically led and responsible for planning, buying and monitoring most of the health services used by south east London residents",1929,1031,793,"True",2022-11-02,"Are you or a family member looking to get vaccinated over half-term?

We have #COVIDVaccine walk-ins available for at-risk 5-11s, the 12-15 age group and over 16s. 

Take action to protect yourself and your loved ones https://t.co/DBxxId1O2a

#SELondon https://t.co/4FODBM3v4m","['COVIDVaccine', 'SELondon']",0.4,0.433333333333333,0.35,0.525,"Are you or a family member looking to get vaccinated over halfterm

We have COVIDVaccine walkins available for atrisk 511s the 1215 age group and over 16s 

Take action to protect yourself and your loved ones 

SELondon ","['covidvaccine', 'selondon']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
878,"United States","U.S. Veteran, Voter In A Stolen Election, Citizen of A Captive Nation",82,102,5563,"False",2022-11-01,"2/2 DR Malone - US engaged in psyop’s To drive fear - We have a coordinated global attack On the peoples minds

#covid #CovidVaccine #COVID19 https://t.co/cZj5SVBrJh","['covid', 'CovidVaccine', 'COVID19']",0,0,0.1,0.3,"22 DR Malone  US engaged in psyops To drive fear  We have a coordinated global attack On the peoples minds

covid CovidVaccine COVID19 ","['malone us', 'covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",38,0,0,"False",2022-11-05,"45+ #URBAN #Bengaluru #CovidVaccine Availability for 11/05 at 09:30AM
FREE Slots 0
PAID Slots 0","['URBAN', 'Bengaluru', 'CovidVaccine']",0.2,0.4,0.2,0.4,"45 URBAN Bengaluru CovidVaccine Availability for 1105 at 0930AM
FREE Slots 0
PAID Slots 0","['urban bengaluru', 'free', 'paid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
