"X","misinformation","dominant_topic","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media","year","month","day","day_of_week"
75,0.112058025428403,"Case/Vaccination Statistics","Sydney, Australia","monthly magazine dedicated inspiring business world | Host annual Executive Year Awards # executiveawards ",6368,3595,1388,"False",2020-09-15,"Almost twice many people could die rich countries buy first two billion doses vaccine.… ","[]",0.375,0.527777777777778,0.5,1,"Almost twice many people could die rich countries buy first two billion doses vaccine ","['almost']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,15,"Tue"
273,0.124538201288187,"Government Response","Portugal","ALS patients need # Nurown want live Os doentes de ELA - Esclerose Lateral Amiotrófica precisam de # Nurown , pelo direito à vida .",456,1606,3400,"False",2020-09-12,"@ SKyriakidesEU @ EU_Health @ vonderleyen @ DrTedros ) # : 90 % survival rate # : 1 ) ’ vacc… ","['COVID', 'covidvaccine']",0,0,0.136363636363636,0.5," SKyriakidesEU  EUHealth  vonderleyen  DrTedros    90  survival rate   1   vacc ","['skyriakideseu', 'euhealth', 'drtedros']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,12,"Sat"
328,0.222665777035201,"Case/Vaccination Statistics","United States","Break news echo chamber across-the-spectrum coverage key news topics . Born @ UVA . Real human account ( come chat us ! ) . Sub : ",353,43,37,"False",2020-09-15,"China 's receives first foreign approval - compare reports China U.S. # China… ","['China']",0.0625,0.229166666666667,0,0.575,"China s receives first foreign approval  compare reports China US  China ","['china', 'china', 'china']",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,15,"Tue"
365,0.162367182889178,"Government Response","India","Brings news breaks : Exclusive political , entertainment , sports insight , unbiased-nonaligned . also Instagram : ",5369732,243,4426,"True",2020-09-23,"Hopes high answers least one several candidates tested US could come year 's en… ","[]",-0.0466666666666667,0.313333333333333,0,0.1,"Hopes high answers least one several candidates tested US could come year s en ","['hopes', 'us']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,23,"Wed"
482,0.152733140000019,"US government","","Wife , mom , journalist ( order ) ; # gator , yogi , wannabe runner , # worldTraveler RT/fave ≠endorsement",6021,1871,2006,"True",2020-09-30,"“ ’ political thing ” - @ realDonaldTrump # PresidentialDebate2020 ... Talking the… ","['PresidentialDebate2020']",0,0.1,0,0,"  political thing    realDonaldTrump  PresidentialDebate2020  Talking the ","['realdonaldtrump']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,30,"Wed"
50302,0.134115544008699,"US government","USA~""""True Blue"""" In AZ! ","LIVE ! # VoteEarly # WearMasks Support @ JoeBiden Speak truth GOP lies ! ~ Please call Congress : 202-224-3121 'll Follow Back soon Twitter let 's !",4211,4992,30902,"False",2020-09-16,"@ MSNBC take advice doctors comes medical conditions . pay attention `` '' updated '' '' m… ","[]",0,0,0.1065341,0.25," MSNBC take advice doctors comes medical conditions  pay attention   updated   m ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,16,"Wed"
63597,0.124710345812028,"Trial Results","Chennai, India","Serving authentic , fresh & # Galatta news Movies , Celebrities , social happenings & lots . Website link -  Queries Contact 7338992111",208564,1333,4321,"False",2020-09-15,"Government approves # # emergency use ! # Sinopham # # # UAE # GalattaCares ","['COVID', 'vaccine', 'Sinopham', 'CovidVaccine', 'COVID19', 'UAE', 'GalattaCares']",0,0,0.2777778,0.4388889,"Government approves   emergency use   Sinopham    UAE  GalattaCares ","['sinopham uae']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,15,"Tue"
67241,0.224341493911802,"US government","india","Filmmaker AHIMSA-Gandhi : Power Powerless , New Delhi Times , Journalist & Jihadi-Murder Daniel Pearl - National & Intnl Awards & Emmy Nominated",4494,934,63004,"False",2020-09-09,"Astrologers predicted September Drug appear Corona disappear absolutely Righ… ","[]",0.2,0.9,-0.1818182,0.6772727,"Astrologers predicted September Drug appear Corona disappear absolutely Righ ","['corona']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,9,"Wed"
84023,0.12976368836821,"Trial Results","","STOCK TRADING , GENERATING MONEY TOTAL DISASTER",522,707,358,"False",2020-09-20,"$ ENZC ENZOLYTICS NEWS BIO TECH MERGER . FUNDING SARS 2 # HIV TRIALS CHIMPS # STOCKS… ","['COVIDVACCINE', 'STOCKS']",0,0,0,0.75," ENZC ENZOLYTICS NEWS BIO TECH MERGER  FUNDING SARS 2  HIV TRIALS CHIMPS  STOCKS ","['enzc', 'enzolytics']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,20,"Sun"
85374,0.123200840088307,"Vaccination Experiences","New Delhi, India","Jagran English new age Trending News site . Check  latest & top trends across globe .",6712,35,77,"True",2020-09-14,"“ ’ going take four five years everyone gets planet ” # CovidVaccine… ","['CovidVaccine']",0,0,0.2840909,0.4636364,"  going take four five years everyone gets planet   CovidVaccine ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,14,"Mon"
