"X","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
36,"","I'm a bot in MD looking for CVS COVID #vaccine appointments",1606,9,123,"False",2021-10-04,"4 Safeways show #CovidVaccine slots in MD:
10 King Street, Waldorf
4701 Sangamore Road, Bethesda
751 S. Salisbury B… https://t.co/9K7Sf5rpoa","['CovidVaccine']",0,0,0,0,"4 Safeways show CovidVaccine slots in MD
10 King Street Waldorf
4701 Sangamore Road Bethesda
751 S Salisbury B ","['covidvaccine', 'street waldorf', 'sangamore road bethesda', 'salisbury b']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,"","Random tweets, I have my opinions on politics, lgbtq, race topics, ect u may like my thoughts u may not but my personal opinions it's not meant for u to like😜",61,84,4054,"False",2021-10-04,"@UrbanDevelmtGrp @fbthemag @DMX They thnk black ppl r being paranoid but we have every right 2b. If they can tell u… https://t.co/cV8DqKnCxw","[]",0.0595238095238095,0.48452380952381,-0.25,0.4,"UrbanDevelmtGrp fbthemag DMX They thnk black ppl r being paranoid but we have every right 2b If they can tell u ","[]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,"Oxford🇬🇧, Council of Europe","Ethical, 🇪🇺🌱,Sustainable Stewardship #ClimateCrisis #FossilFuels #PR
ex-NW🇬🇧 ,Lived/worked in🇨🇭;🇫🇷; 🇬🇧(E/SE/SW). PhD Sci & Techn. Food & Agri.",3190,3218,38634,"False",2021-10-02,"Pfizer #CovidVaccine works against all variants, but not likely to be 100% effective for all.
Variation between ind… https://t.co/hs9H2OuJsk","['CovidVaccine']",0.3,0.9,0.2,0.6,"Pfizer CovidVaccine works against all variants but not likely to be 100 effective for all
Variation between ind ","['pfizer', 'covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
212,"Maryland, D.C. Surburbia","AKA krysalys. Wife, ADHD, demi mama of 20's autistic son, amateur writer, picture framer, sci-fi/fantasy nerd, literally a granola-eating tree hugger.",241,264,31449,"False",2021-10-04,"Aaaaaaand is spreading to my throat lymph glands. AWESOME. 
#CovidVaccine","['CovidVaccine']",1,1,-0.225,0.225,"Aaaaaaand is spreading to my throat lymph glands AWESOME 
CovidVaccine","['aaaaaaand', 'awesome']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,"St Louis, Phoenix, Las Vegas ","DONALD TRUMP IS A DOMESTIC TERRORIST #TrumpIsGUILTY #LockHimUp #ArrestTrumpNow #TrumpCrimeFamilyForPrison #TraitorsSupportTraitorTrump #GOPTraitors #VoteBlue",21225,21091,2205,"False",2021-09-12,"#COVIDIOTS New Gender Gap: More Men Refuse #COVIDVaccine, More Men Spread #COVID, More Men Die from COVID https://t.co/XeVzApnkSd via @dailysoundnfury","['COVIDIOTS', 'COVIDVaccine', 'COVID']",0.409090909090909,0.488636363636364,0,0.1,"COVIDIOTS New Gender Gap More Men Refuse COVIDVaccine More Men Spread COVID More Men Die from COVID  via dailysoundnfury","['covidiots new', 'covid']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,"🇬🇷","",305,185,24503,"False",2021-09-11,"For this next task , everyone should be vaccinated with Covids vaccine #vaccinated #COVID19 #COVID #vaccine #GetVaccinated #CovidVaccine #SquidGame https://t.co/hhHFNZ9Cii","['vaccinated', 'COVID19', 'COVID', 'vaccine', 'GetVaccinated', 'CovidVaccine', 'SquidGame']",0,0,0,0,"For this next task  everyone should be vaccinated with Covids vaccine vaccinated COVID19 COVID vaccine GetVaccinated CovidVaccine SquidGame ","['covids', 'covid19', 'getvaccinated']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
280,"Belfast, Northern Ireland","What do Tories, think tanks & their blue tick covid covidiots have in common? financial motivation to Overload the nhs to privatise it. You have been warned.",2490,4641,95013,"False",2021-10-01,"Haha!!! The great unraveling of the grifters. Sure you love to see it 😁😁 #IvorCummings #TobyYoung #KBF #Yeadon you… https://t.co/MVnWFTbSJI","['IvorCummings', 'TobyYoung', 'KBF', 'Yeadon']",0.54765625,0.634722222222222,-0.1,0.2,"Haha The great unraveling of the grifters Sure you love to see it  IvorCummings TobyYoung KBF Yeadon you ","['ivorcummings', 'tobyyoung']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"","🏳️‍🌈 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧🇪🇺 #FBPE
 ⛔MAGA'S #Resist #bluewave🌊  Labour voter #toryhater.Voted Remain. #ToriesOut.  Love Michelle Obama & VP Harris 👌",4607,4835,734,"False",2021-10-04,"Get the #vaccination #CovidVaccine https://t.co/YiNQVsdBv1","['vaccination', 'CovidVaccine']",0,0,0.5,0.6,"Get the vaccination CovidVaccine ","['covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
546,"Lincolnshire & East Yorkshire","BBC News, weather and sport for East Yorkshire and Lincolnshire. If you have a story call 01482 314400 or email looknorth@bbc.co.uk",79644,985,1707,"True",2021-10-02,"The first #covid-19 jabs will be given at @CityHallHull today. 
#Coronavirus #CovidVaccine https://t.co/xMXYrS1Ty4","['covid', 'Coronavirus', 'CovidVaccine']",0.25,0.333333333333333,0,0,"The first covid19 jabs will be given at CityHallHull today 
Coronavirus CovidVaccine ","['cityhallhull', 'coronavirus']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,"","Im me
Take or leave 🤷‍♀️",475,433,8201,"False",2021-10-04,"Such is the real risk-benefit analysis of the #Covid_19 
‘ #CovidVaccine ’. 

Either the #EMA lacks the subject-mat… https://t.co/C7cMqGhNMa","['Covid_19', 'CovidVaccine', 'EMA']",0.1,0.4,0,0,"Such is the real riskbenefit analysis of the Covid19 
 CovidVaccine  

Either the EMA lacks the subjectmat ","['such', 'covid19', 'ema']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
