"X","misinformation","user_location","user_description","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","polarity_text","subjectivity_text","polarity_description","subjectivity_description","cleaned_text","entities","Organizations","Locations","Symptoms","COVID","Vaccination","Politics","Conspiracy","Slurs","Masks","Miscellaneous","origin","vaccine_conspiracy","government","pharma","Five_G","gates","nwo","media"
19005,6.07302309813513e-09,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",40,0,0,"False",2022-10-03,"18-44 #BBMP #Bengaluru #CovidVaccine Availability for 10/03 at 10:00AM
FREE Slots 
#COVISHIELD - Dose1:6414, Dose2:12
#COVAXIN - Dose1:13, Dose2:11
PAID Slots 
#COVISHIELD - Dose1:2411, Dose2:49
#SPUTNIKV - Dose1:210, Dose2:1080","['BBMP', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN', 'COVISHIELD', 'SPUTNIKV']",0.4,0.8,0.2,0.4,"1844 BBMP Bengaluru CovidVaccine Availability for 1003 at 1000AM
FREE Slots 
COVISHIELD  Dose16414 Dose212
COVAXIN  Dose113 Dose211
PAID Slots 
COVISHIELD  Dose12411 Dose249
SPUTNIKV  Dose1210 Dose21080","['bbmp bengaluru', 'free slots', 'covishield dose16414 dose212', 'dose113 dose211', 'slots covishield dose12411 dose249']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19728,6.82667574739953e-09,"51.892735,-0.485479","Operational Manager - Psychiatric Liaison Service - NHS - Views Are My Own",245,1225,13777,"False",2022-10-07,"Wardown Park #healthchecks #covidvaccine https://t.co/ENI6WMUMWj","['healthchecks', 'covidvaccine']",0,0,0.6,1,"Wardown Park healthchecks covidvaccine ","['wardown', 'park']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61049,0.104468691221917,"Washington, DC","Director @ONeillInstitute; O'Neill Chair in Global Health Law @GeorgetownLaw; Director @WHO Center on Global Health Law; Global Editor @JAMA_current; @theNASEM",17894,784,513,"True",2022-10-01,"Might @Scotus rule tomorrow on Biden’s vaccine mandates? Huge stakes for Biden’s #CovidVaccine strategy and the future of public health","['CovidVaccine']",0.133333333333333,0.363888888888889,-0.025,0.025,"Might Scotus rule tomorrow on Bidens vaccine mandates Huge stakes for Bidens CovidVaccine strategy and the future of public health","['might', 'scotus', 'bidens', 'huge', 'bidens covidvaccine']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66582,0.136261533469707,"USA","Andhravilas Gives you  #Tollywood #Bollywood film News,#AndhraPradesh #Telangana News,#National    #Health #Business  #Trending Visit
https://t.co/vJFjY4CwOT",2598,92,27,"False",2022-09-09,"Hyderabad's Balapur Ganesh laddu auctioned for record Rs 24.60 lakh https://t.co/EfBZxQSnl3 #Modi #Breakingnews #Indiapolitics #AndhraPolitics #NewsFeed #HarGharTiranga #Telangana #CovidVaccine #Politics 

Hyderabad, Sep 9 - Balapur Ganesh laddu was auctioned on Friday for an …","['Modi', 'Breakingnews', 'Indiapolitics', 'AndhraPolitics', 'NewsFeed', 'HarGharTiranga', 'Telangana', 'CovidVaccine', 'Politics']",0,0,0,0,"Hyderabads Balapur Ganesh laddu auctioned for record Rs 2460 lakh  Modi Breakingnews Indiapolitics AndhraPolitics NewsFeed HarGharTiranga Telangana CovidVaccine Politics 

Hyderabad Sep 9  Balapur Ganesh laddu was auctioned on Friday for an ","['hyderabads', 'balapur ganesh', 'modi breakingnews indiapolitics', 'harghartiranga telangana', 'balapur ganesh']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71611,0.0812579196250293,"Connecticut","Executive Editor Hartford Courant.  https://t.co/AXCnxqD1nH  Reach me at hbennett@ https://t.co/AXCnxqD1nH  (RT not endorsements)",10418,5911,11039,"False",2022-10-01,"Will Connecticut restaurants require vaccination? Many fear the repercussions New York has already seen https://t.co/zP8EKczE37 @SusanDunne #restaurant #food #business #Connecticut #covid19 #CovidVaccine","['restaurant', 'food', 'business', 'Connecticut', 'covid19', 'CovidVaccine']",0.318181818181818,0.477272727272727,0,0,"Will Connecticut restaurants require vaccination Many fear the repercussions New York has already seen  SusanDunne restaurant food business Connecticut covid19 CovidVaccine","['new york', 'susandunne', 'connecticut', 'covidvaccine']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75470,0.027373839387501,"CHICAGO","N.O.E  God better then my God",158,549,628,"False",2022-10-04,"#phizer how many people got lumps in there arms now just askin for a friend #VaccineSideEffects #Moderna #pfizerdocuments #CovidVaccine #CrimesAgainstHumanity #VaccineDeaths #COVID19 #COVID #CovidIsNotOver #coronavirus #Omicron #BA2 #XE #CoronavirusUpdates #LongCovid #SARSCoV2","['phizer', 'VaccineSideEffects', 'Moderna', 'pfizerdocuments', 'CovidVaccine', 'CrimesAgainstHumanity', 'VaccineDeaths', 'COVID19', 'COVID', 'CovidIsNotOver', 'coronavirus', 'Omicron', 'BA2', 'XE', 'CoronavirusUpdates', 'LongCovid', 'SARSCoV2']",0.5,0.5,0.5,0.5,"phizer how many people got lumps in there arms now just askin for a friend VaccineSideEffects Moderna pfizerdocuments CovidVaccine CrimesAgainstHumanity VaccineDeaths COVID19 COVID CovidIsNotOver coronavirus Omicron BA2 XE CoronavirusUpdates LongCovid SARSCoV2","['moderna', 'covidvaccine', 'omicron ba2 xe']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.293224400339687,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",40,0,0,"False",2022-10-03,"45+ #RURAL #Bengaluru #CovidVaccine Availability for 10/03 at 08:30AM
FREE Slots 0
PAID Slots 0","['RURAL', 'Bengaluru', 'CovidVaccine']",0.2,0.4,0.2,0.4,"45 RURAL Bengaluru CovidVaccine Availability for 1003 at 0830AM
FREE Slots 0
PAID Slots 0","['rural bengaluru', 'free', 'paid']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.0636647347652848,"Ireland","Mum of 2,Carer/passionate advocate,raising awareness of Disability esp severe/profound,Rare disease. #Connolly4Kids! We have a Health Crisis! #HealthFirst",3047,4972,65397,"False",2022-10-01,"@TodaywithClaire Thank you @KarinaButler15 for all you have done &amp; you have worked so hard over the last 2 years. #CovidVaccine @HSELive @paulreiddublin @DonnellyStephen","['CovidVaccine']",-0.145833333333333,0.304166666666667,0,0,"TodaywithClaire Thank you KarinaButler15 for all you have done amp you have worked so hard over the last 2 years CovidVaccine HSELive paulreiddublin DonnellyStephen","['todaywithclaire', 'karinabutler15', 'covidvaccine', 'donnellystephen']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,3.01373548606204e-09,"Grand Bay, AL","Go on with what your heart tells you, or you will lose all. 🇺🇸",52,45,3160,"False",2022-10-05,"Virus Expert Just Said How to Stay Alive Out There

#health #news #coronavirustips #covidvaccine #coronavirus
https://t.co/TQAWwpnejr","['health', 'news', 'coronavirustips', 'covidvaccine', 'coronavirus']",0.1,0.4,0,0,"Virus Expert Just Said How to Stay Alive Out There

health news coronavirustips covidvaccine coronavirus
","['virus', 'expert just', 'alive out']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,3.01268078348654e-09,"clifton park, NY","Talent is helpful in writing, but guts are absolutely essential. 🇺🇸",60,116,3130,"False",2022-10-05,"Vaccine Mistakes You Can’t Afford to Make

#coronavirustips #coronavirus #covidvaccine #health #news
https://t.co/wMOZNQxuq0","['coronavirustips', 'coronavirus', 'covidvaccine', 'health', 'news']",0,0,0,0.3,"Vaccine Mistakes You Cant Afford to Make

coronavirustips coronavirus covidvaccine health news
","['vaccine', 'afford']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
