,dominant_topic,month
0,11,2021-12
1,5,2022-10
2,3,2021-10
3,2,2021-02
4,3,2021-07
5,2,2021-01
6,2,2021-01
7,9,2021-12
8,6,2021-10
9,4,2021-08
10,7,2021-11
11,6,2021-07
12,5,2022-05
13,7,2021-11
14,4,2021-04
15,2,2021-02
16,0,2021-02
17,6,2021-03
18,5,2021-08
19,4,2021-08
20,2,2021-02
21,3,2021-07
22,11,2022-02
23,2,2021-05
24,4,2022-01
25,11,2021-01
26,10,2021-01
27,3,2021-03
28,2,2021-02
29,7,2021-05
30,0,2021-02
31,11,2021-05
32,0,2021-04
33,9,2022-02
34,2,2021-04
35,9,2021-10
36,9,2021-06
37,7,2021-01
38,5,2021-01
39,6,2021-03
40,11,2021-01
41,4,2022-02
42,10,2022-10
43,6,2020-08
44,2,2021-08
45,4,2021-03
46,6,2020-08
47,6,2021-03
48,2,2022-05
49,11,2020-09
50,3,2021-04
51,0,2020-12
52,5,2022-04
53,3,2021-07
54,4,2021-01
55,6,2021-07
56,0,2021-09
57,4,2021-03
58,4,2021-07
59,10,2021-02
60,0,2021-04
61,5,2021-12
62,2,2021-07
63,1,2021-02
64,7,2021-07
65,0,2021-01
66,3,2021-03
67,11,2021-10
68,2,2021-04
69,8,2021-07
70,6,2021-01
71,4,2021-08
72,7,2021-04
73,11,2021-01
74,8,2020-09
75,7,2021-06
76,7,2022-04
77,3,2022-02
78,6,2021-04
79,2,2021-02
80,6,2021-03
81,1,2021-01
82,6,2020-11
83,3,2021-02
84,4,2021-07
85,6,2021-08
86,11,2021-01
87,4,2021-12
88,6,2021-06
89,0,2021-07
90,6,2022-06
91,3,2022-05
92,3,2021-07
93,2,2021-08
94,0,2022-05
95,8,2021-01
96,4,2021-12
97,6,2021-05
98,4,2021-08
99,3,2021-05
100,5,2021-11
101,0,2021-03
102,6,2021-08
103,9,2021-01
104,7,2021-07
105,3,2021-07
106,3,2022-05
107,6,2021-04
108,11,2021-07
109,10,2021-01
110,7,2021-08
111,3,2022-12
112,4,2021-04
113,1,2021-12
114,4,2020-12
115,3,2021-01
116,7,2022-11
117,6,2022-02
118,8,2021-07
119,0,2021-11
120,0,2021-11
121,11,2021-08
122,10,2021-07
123,1,2021-11
124,0,2021-02
125,11,2020-09
126,4,2022-03
127,2,2021-08
128,6,2021-07
129,10,2021-01
130,2,2021-07
131,4,2021-10
132,6,2021-01
133,2,2021-08
134,6,2020-09
135,11,2022-11
136,2,2021-03
137,3,2022-10
138,1,2021-03
139,0,2021-04
140,3,2021-05
141,7,2021-08
142,0,2021-01
143,6,2021-05
144,6,2021-01
145,1,2021-08
146,10,2021-01
147,9,2021-06
148,9,2020-08
149,4,2020-10
150,9,2022-07
151,8,2022-01
152,6,2021-03
153,4,2022-05
154,3,2021-10
155,10,2021-11
156,8,2021-08
157,8,2021-01
158,8,2021-07
159,3,2021-04
160,4,2020-12
161,11,2022-12
162,7,2021-12
163,8,2021-02
164,10,2021-01
165,3,2021-11
166,6,2022-10
167,9,2020-10
168,3,2021-05
169,4,2021-10
170,9,2020-12
171,3,2021-06
172,8,2021-05
173,2,2022-11
174,1,2021-07
175,2,2021-01
176,2,2020-09
177,11,2021-01
178,4,2021-09
179,4,2021-01
180,2,2021-02
181,2,2021-09
182,2,2022-01
183,5,2021-07
184,2,2021-07
185,11,2021-03
186,1,2022-10
187,11,2022-07
188,4,2022-09
189,5,2021-05
190,10,2021-10
191,9,2021-01
192,0,2021-03
193,2,2021-02
194,6,2021-08
195,11,2021-12
196,5,2022-01
197,0,2021-04
198,1,2021-08
199,6,2021-01
200,0,2021-03
201,3,2021-10
202,3,2021-02
203,1,2021-11
204,7,2021-07
205,10,2021-05
206,9,2022-05
207,6,2021-07
208,6,2021-07
209,6,2021-07
210,0,2020-12
211,0,2021-10
212,4,2021-12
213,10,2021-04
214,6,2021-07
215,4,2021-06
216,7,2021-02
217,4,2021-08
218,3,2021-03
219,6,2021-12
220,3,2021-04
221,5,2022-11
222,4,2021-07
223,1,2021-03
224,7,2021-07
225,10,2021-06
226,7,2022-05
227,3,2021-03
228,0,2021-03
229,6,2021-01
230,9,2020-12
231,2,2021-08
232,4,2020-11
233,10,2021-08
234,0,2021-06
235,4,2021-07
236,1,2021-02
237,10,2021-03
238,5,2021-01
239,3,2022-06
240,11,2021-02
241,7,2022-01
242,3,2021-02
243,6,2022-01
244,8,2021-01
245,0,2022-08
246,4,2021-07
247,8,2021-08
248,4,2021-09
249,0,2020-08
250,6,2021-12
251,5,2021-10
252,7,2021-08
253,11,2021-02
254,0,2021-07
255,6,2021-08
256,2,2021-08
257,4,2021-04
258,3,2022-11
259,2,2021-01
260,10,2021-02
261,6,2021-06
262,11,2021-01
263,0,2021-09
264,0,2021-02
265,10,2022-12
266,10,2021-04
267,2,2022-01
268,6,2021-01
269,3,2021-09
270,0,2021-02
271,11,2021-08
272,2,2020-12
273,7,2021-07
274,11,2021-08
275,6,2021-09
276,11,2021-07
277,0,2021-11
278,8,2020-11
279,10,2021-10
280,1,2021-07
281,7,2021-01
282,8,2021-11
283,2,2021-01
284,0,2021-02
285,9,2022-01
286,9,2021-07
287,5,2021-08
288,3,2021-01
289,8,2021-02
290,10,2021-07
291,10,2021-03
292,9,2021-04
293,2,2021-01
294,6,2021-01
295,4,2021-03
296,6,2021-12
297,1,2021-01
298,4,2021-06
299,2,2021-07
300,7,2020-08
301,6,2021-02
302,4,2021-12
303,9,2021-05
304,10,2020-12
305,2,2021-12
306,10,2021-07
307,0,2021-10
308,1,2021-01
309,2,2021-04
310,8,2022-04
311,3,2021-01
312,6,2021-01
313,7,2021-08
314,0,2021-12
315,1,2021-04
316,4,2022-05
317,0,2021-06
318,4,2021-11
319,3,2021-01
320,6,2021-05
321,2,2020-11
322,3,2021-08
323,3,2022-02
324,11,2021-11
325,8,2021-01
326,10,2021-11
327,8,2020-09
328,6,2021-08
329,4,2021-01
330,5,2021-02
331,4,2020-12
332,3,2021-09
333,0,2020-12
334,2,2021-09
335,5,2021-03
336,9,2021-06
337,0,2020-10
338,11,2021-05
339,9,2021-02
340,7,2021-06
341,4,2020-11
342,4,2021-08
343,2,2021-05
344,3,2020-12
345,7,2021-08
346,1,2021-04
347,10,2021-12
348,3,2021-05
349,3,2021-09
350,3,2021-12
351,0,2021-01
352,6,2021-03
353,1,2022-03
354,3,2022-03
355,10,2021-01
356,3,2021-07
357,5,2021-08
358,3,2021-01
359,9,2022-01
360,10,2022-03
361,11,2020-12
362,10,2021-01
363,4,2022-01
364,2,2020-09
365,3,2020-12
366,4,2021-09
367,8,2021-01
368,3,2021-01
369,9,2021-09
370,6,2022-01
371,3,2021-08
372,1,2021-01
373,0,2021-01
374,3,2021-11
375,6,2021-07
376,10,2022-11
377,2,2021-03
378,0,2021-09
379,7,2021-02
380,5,2022-10
381,9,2021-12
382,2,2021-11
383,9,2020-05
384,6,2021-01
385,6,2021-12
386,10,2021-01
387,11,2021-01
388,8,2021-03
389,5,2022-04
390,3,2021-01
391,0,2021-07
392,2,2021-09
393,0,2021-04
394,2,2021-05
395,4,2021-08
396,11,2021-01
397,3,2020-12
398,9,2021-12
399,11,2021-03
400,0,2022-10
401,0,2021-02
402,4,2020-08
403,1,2021-01
404,8,2021-12
405,0,2021-03
406,2,2021-03
407,4,2020-11
408,3,2021-01
409,7,2022-03
410,9,2020-11
411,7,2021-06
412,4,2022-12
413,7,2021-07
414,1,2020-10
415,6,2021-03
416,2,2021-01
417,3,2020-09
418,7,2021-06
419,6,2021-03
420,9,2021-01
421,0,2021-08
422,11,2021-07
423,10,2021-03
424,1,2020-12
425,10,2021-07
426,6,2021-06
427,6,2021-10
428,8,2021-09
429,0,2022-01
430,11,2022-07
431,4,2021-10
432,1,2021-07
433,11,2021-03
434,2,2021-08
435,6,2021-07
436,4,2021-07
437,0,2021-08
438,0,2020-09
439,11,2021-01
440,4,2021-02
441,2,2021-02
442,2,2021-01
443,1,2021-09
444,0,2021-01
445,4,2021-08
446,10,2021-01
447,7,2021-07
448,10,2021-11
449,5,2021-12
450,10,2021-01
451,11,2021-05
452,3,2022-02
453,10,2021-06
454,7,2021-08
455,9,2021-03
456,8,2021-06
457,7,2021-10
458,8,2021-06
459,1,2020-12
460,7,2021-10
461,1,2021-04
462,4,2020-11
463,3,2022-04
464,10,2021-01
465,0,2020-12
466,6,2021-03
467,7,2021-02
468,11,2021-04
469,4,2021-02
470,3,2021-12
471,5,2021-03
472,5,2021-08
473,1,2021-07
474,8,2021-01
475,6,2020-09
476,9,2021-12
477,2,2021-04
478,0,2021-03
479,10,2021-09
480,6,2021-01
481,6,2020-09
482,3,2021-10
483,5,2022-10
484,4,2020-11
485,7,2021-04
486,0,2021-11
487,3,2021-06
488,3,2021-10
489,8,2020-12
490,3,2022-03
491,6,2021-12
492,3,2021-08
493,7,2021-12
494,9,2022-04
495,10,2021-02
496,4,2021-06
497,11,2021-01
498,7,2022-03
499,8,2021-04
500,0,2021-12
501,11,2021-08
502,0,2022-04
503,2,2021-11
504,0,2020-12
505,7,2021-02
506,9,2020-08
507,0,2021-07
508,4,2020-12
509,1,2021-10
510,8,2021-06
511,9,2022-08
512,6,2022-11
513,2,2021-03
514,6,2022-10
515,10,2021-09
516,10,2021-10
517,10,2022-09
518,9,2021-05
519,4,2021-03
520,9,2021-08
521,11,2021-01
522,10,2021-02
523,6,2021-07
524,1,2021-05
525,9,2020-05
526,2,2021-03
527,2,2021-01
528,11,2021-01
529,11,2021-01
530,10,2021-01
531,11,2021-09
532,10,2021-01
533,8,2020-11
534,9,2021-11
535,7,2022-01
536,9,2021-03
537,3,2022-02
538,0,2021-03
539,3,2021-02
540,7,2021-12
541,8,2021-06
542,5,2022-06
543,0,2021-01
544,7,2020-12
545,8,2021-10
546,1,2020-10
547,11,2022-07
548,6,2021-02
549,9,2022-09
550,5,2021-08
551,10,2020-11
552,8,2022-10
553,1,2021-07
554,0,2020-12
555,5,2022-01
556,10,2022-09
557,8,2021-07
558,2,2021-10
559,3,2021-11
560,10,2021-07
561,11,2021-02
562,1,2021-08
563,3,2021-01
564,7,2021-07
565,11,2021-07
566,9,2021-02
567,2,2021-01
568,9,2021-02
569,10,2021-02
570,2,2021-08
571,8,2020-11
572,4,2020-09
573,2,2021-03
574,8,2021-02
575,0,2021-04
576,4,2020-11
577,5,2021-07
578,6,2020-12
579,0,2021-01
580,6,2021-08
581,0,2021-08
582,11,2021-02
583,1,2021-07
584,11,2021-07
585,3,2022-11
586,2,2021-11
587,9,2022-09
588,2,2021-01
589,11,2021-02
590,3,2021-02
591,11,2021-09
592,4,2021-01
593,4,2021-07
594,7,2021-11
595,5,2022-09
596,2,2022-03
597,7,2022-02
598,8,2021-02
599,2,2021-12
600,0,2021-03
601,7,2021-08
602,8,2020-12
603,3,2021-05
604,4,2021-02
605,3,2021-04
606,8,2021-12
607,7,2021-08
608,10,2021-12
609,5,2021-02
610,6,2021-08
611,7,2021-08
612,2,2021-07
613,4,2021-05
614,3,2021-02
615,11,2020-09
616,9,2021-01
617,3,2020-09
618,6,2021-07
619,7,2021-10
620,8,2021-07
621,2,2021-01
622,6,2021-06
623,3,2022-02
624,8,2020-12
625,5,2022-04
626,8,2021-08
627,0,2021-03
628,6,2021-03
629,0,2021-07
630,0,2021-07
631,10,2022-11
632,8,2021-04
633,9,2021-03
634,6,2021-07
635,4,2021-02
636,2,2021-03
637,1,2021-01
638,2,2021-09
639,3,2021-01
640,0,2021-02
641,8,2021-12
642,8,2020-11
643,3,2020-12
644,2,2021-02
645,3,2021-07
646,10,2021-05
647,0,2021-12
648,9,2022-06
649,4,2020-12
650,6,2020-12
651,0,2021-08
652,9,2021-06
653,8,2022-05
654,2,2021-02
655,3,2021-07
656,6,2021-07
657,3,2021-04
658,3,2021-01
659,0,2021-07
660,8,2021-07
661,6,2021-10
662,8,2021-02
663,10,2021-01
664,1,2021-08
665,0,2020-09
666,11,2021-01
667,2,2021-03
668,11,2021-08
669,2,2021-04
670,11,2022-02
671,0,2021-01
672,10,2020-10
673,4,2021-01
674,3,2021-03
675,7,2021-11
676,11,2020-12
677,0,2021-01
678,3,2022-01
679,5,2021-07
680,0,2021-04
681,0,2021-04
682,2,2021-01
683,0,2021-04
684,1,2021-01
685,0,2021-02
686,0,2021-04
687,11,2020-09
688,6,2021-08
689,11,2021-06
690,8,2021-01
691,5,2022-03
692,4,2021-10
693,11,2021-03
694,5,2022-01
695,8,2021-03
696,3,2021-08
697,7,2021-01
698,1,2021-03
699,6,2021-07
700,10,2021-05
701,0,2021-03
702,11,2021-01
703,1,2021-09
704,3,2022-10
705,10,2021-02
706,7,2021-09
707,0,2021-02
708,1,2021-01
709,4,2021-01
710,7,2021-07
711,0,2021-03
712,8,2020-12
713,8,2021-01
714,6,2021-03
715,8,2021-01
716,3,2020-09
717,10,2021-01
718,9,2020-11
719,5,2021-09
720,8,2021-07
721,3,2021-08
722,6,2022-05
723,0,2021-11
724,0,2021-01
725,10,2021-12
726,8,2021-08
727,3,2021-12
728,9,2022-02
729,6,2022-12
730,2,2021-01
731,2,2020-09
732,3,2021-07
733,3,2020-12
734,2,2021-08
735,10,2021-12
736,6,2021-02
737,8,2021-01
738,0,2021-12
739,0,2021-01
740,3,2021-07
741,6,2020-11
742,3,2021-07
743,7,2022-01
744,4,2020-08
745,9,2021-07
746,1,2021-06
747,11,2021-01
748,9,2021-03
749,4,2021-06
750,6,2021-11
751,7,2021-07
752,2,2021-01
753,3,2021-06
754,4,2022-02
755,0,2021-06
756,0,2021-09
757,8,2021-02
758,2,2021-03
759,9,2020-12
760,5,2022-12
761,7,2021-03
762,3,2021-11
763,9,2021-04
764,4,2021-02
765,3,2020-12
766,6,2021-08
767,4,2021-12
768,6,2021-02
769,5,2022-01
770,9,2021-05
771,11,2021-09
772,0,2021-09
773,6,2021-10
774,2,2021-08
775,0,2021-05
776,10,2021-10
777,0,2020-12
778,3,2022-09
779,1,2021-07
780,9,2021-10
781,9,2021-01
782,2,2021-07
783,3,2021-10
784,6,2021-07
785,10,2021-08
786,3,2021-03
787,10,2021-01
788,9,2021-07
789,0,2021-01
790,0,2021-05
791,6,2020-08
792,2,2021-04
793,2,2021-01
794,7,2020-12
795,2,2021-01
796,6,2021-08
797,9,2020-10
798,5,2021-04
799,11,2021-12
800,7,2021-05
801,6,2021-07
802,0,2021-07
803,3,2021-03
804,5,2022-04
805,3,2021-09
806,7,2021-05
807,10,2021-02
808,10,2021-08
809,4,2021-05
810,9,2021-10
811,7,2021-07
812,2,2022-01
813,3,2021-01
814,5,2021-12
815,4,2021-01
